Instance,Root Objective,Best Bound,Best Integer,Root Gap (%),Root Time (s),Total Gap (%),Total Time (s)
sfsarp-30-15-1,160.9271,154.0845,146.3390,9.9687,1.35,5.2928,7200.00
sfsarp-30-15-2,133.2319,132.6653,127.3410,4.6261,2.85,4.1811,7200.00
sfsarp-30-15-3,176.4366,174.1201,167.1410,5.5615,3.11,4.1756,7200.01
sfsarp-30-15-4,164.4115,161.9680,147.5310,11.4420,4.27,9.7857,7200.00
sfsarp-30-15-5,146.0230,143.7909,137.0210,6.5698,2.04,4.9408,7200.00
sfsarp-40-20-1,230.8159,228.6506,183.3230,25.9067,11.79,24.7255,7200.00
sfsarp-40-20-2,250.9737,243.3568,225.8250,11.1364,11.81,7.7634,7200.00
sfsarp-40-20-3,202.9105,199.6181,184.6280,9.9023,22.11,8.1191,7200.00
sfsarp-40-20-4,224.3859,218.4454,194.6830,15.2571,9.87,12.2057,7200.00
sfsarp-40-20-5,234.6012,225.2141,216.8690,8.1765,10.00,3.8480,7200.00
