Instance,Root Objective,Best Bound,Best Integer,Root Gap (%),Root Time (s),Total Gap (%),Total Time (s)
sarp-16-8-A-11,18.6332,18.6332,17.9070,4.0554,0.06,4.0554,0.06
sarp-16-8-A-12,26.6605,26.6605,26.6130,0.1785,0.21,0.1785,0.21
sarp-16-8-B-11,50.3336,43.4350,43.3920,15.9974,0.23,0.0991,0.86
sarp-16-8-B-12,47.1200,40.0590,39.9760,17.8707,0.24,0.2076,2.40
sarp-16-8-C-11,184.4690,166.1680,166.1020,11.0577,0.38,0.0397,21.07
sarp-16-8-C-12,156.7702,133.6090,133.5110,17.4212,0.43,0.0734,17.11
sarp-50-25-A-11,146.8011,137.3295,119.4280,22.9202,12.87,14.9894,7200.00
sarp-50-25-A-12,164.0475,159.0127,141.6670,15.7980,16.68,12.2440,7200.03
sarp-50-25-B-11,202.6862,198.8558,182.2400,11.2194,45.18,9.1175,7200.01
sarp-50-25-B-12,199.4865,190.4372,175.3290,13.7784,35.13,8.6171,7200.00
sarp-50-25-C-11,688.7909,681.4734,616.6990,11.6900,26.48,10.5034,7200.00
sarp-50-25-C-12,720.3514,712.7779,658.1540,9.4503,31.35,8.2996,7200.00
