Instance,Root Objective,Best Bound,Best Integer,Root Gap (%),Root Time (s),Total Gap (%),Total Time (s)
ghsarp-10-5-0,48.8605,48.8605,45.9556,6.3211,0.12,6.3211,0.32
ghsarp-10-5-1,44.6825,44.2740,44.1875,1.1202,0.13,0.1958,0.13
ghsarp-10-5-2,58.3368,50.3229,50.2861,16.0098,0.11,0.0732,3.10
ghsarp-10-5-3,41.9298,41.9298,40.4464,3.6676,0.19,3.6676,0.20
ghsarp-10-5-4,53.6985,47.2253,42.3507,26.7948,0.09,11.5101,1.21
ghsarp-12-6-0,72.1753,63.1534,63.0921,14.3967,0.12,0.0972,125.17
ghsarp-12-6-1,65.1543,65.1543,62.0350,5.0283,0.24,5.0283,0.39
ghsarp-12-6-2,64.0380,64.0380,59.8099,7.0692,0.26,7.0692,0.66
ghsarp-12-6-3,60.1131,48.5803,48.4845,23.9842,0.16,0.1976,44.87
ghsarp-12-6-4,69.8122,61.5867,57.0874,22.2900,0.14,7.8814,15.73
ghsarp-6-3-0,37.0219,37.0219,36.1313,2.4649,0.04,2.4649,0.04
ghsarp-6-3-1,30.8238,30.8238,30.5186,1.0000,0.03,1.0000,0.03
ghsarp-6-3-2,17.9152,17.9152,17.8761,0.2187,0.09,0.2187,0.09
ghsarp-6-3-3,32.7963,32.7963,32.1287,2.0779,0.02,2.0779,0.02
ghsarp-6-3-4,33.0394,33.0394,31.2007,5.8931,0.06,5.8931,0.07
ghsarp-8-4-0,24.4334,24.4334,23.6670,3.2383,0.04,3.2383,0.04
ghsarp-8-4-1,36.8554,36.8554,35.7640,3.0517,0.05,3.0517,0.05
ghsarp-8-4-2,40.8621,40.8621,36.4333,12.1559,0.06,12.1559,0.26
ghsarp-8-4-3,38.7282,38.7282,38.1655,1.4744,0.02,1.4744,0.02
ghsarp-8-4-4,22.3446,22.3446,20.0886,11.2302,0.05,11.2302,0.06
