Instance,Root Objective,Best Bound,Best Integer,Root Gap (%),Root Time (s),Total Gap (%),Total Time (s)
sarp-10-5-A-1,29.2090,29.2090,24.8380,17.5980,0.10,17.5980,0.20
sarp-10-5-A-2,19.4836,19.2460,19.2290,1.3240,0.06,0.0884,0.06
sarp-10-5-B-1,45.6158,41.0840,41.0450,11.1361,0.15,0.0950,0.55
sarp-10-5-B-2,62.6107,47.9250,47.8950,30.7249,0.13,0.0626,7.64
sarp-10-5-C-1,126.5261,126.5254,121.5540,4.0904,0.21,4.0899,0.29
sarp-10-5-C-2,106.5220,103.1976,100.7800,5.6976,0.11,2.3989,0.42
sarp-12-6-A-1,40.6314,23.6890,23.6000,72.1669,0.26,0.3771,58.18
sarp-12-6-A-2,46.6744,33.2360,33.1750,40.6915,0.21,0.1839,12.13
sarp-12-6-B-1,50.5193,43.4450,43.3940,16.4200,0.19,0.1175,0.98
sarp-12-6-B-2,57.7731,53.6698,50.1520,15.1960,0.11,7.0143,1.78
sarp-12-6-C-1,129.4866,110.0790,110.0600,17.6509,0.15,0.0173,14.56
sarp-12-6-C-2,142.9520,139.8377,132.6400,7.7744,0.20,5.4265,2.23
sarp-6-3-A-1,28.6327,28.6327,28.0080,2.2304,0.01,2.2304,0.01
sarp-6-3-A-2,34.7870,34.7870,34.1220,1.9489,0.01,1.9489,0.01
sarp-6-3-B-1,51.2438,51.2438,49.1670,4.2240,0.15,4.2240,0.16
sarp-6-3-B-2,42.9796,41.6350,41.5630,3.4083,0.10,0.1732,0.11
sarp-6-3-C-1,52.4907,52.4907,50.6310,3.6730,0.02,3.6730,0.02
sarp-6-3-C-2,76.8547,76.8488,72.4140,6.1324,0.10,6.1242,0.11
sarp-8-4-A-1,25.5649,25.5649,24.7640,3.2341,0.04,3.2341,0.04
sarp-8-4-A-2,24.6628,23.3140,23.3130,5.7899,0.11,0.0043,0.12
sarp-8-4-B-1,50.4304,50.4300,49.0800,2.7514,0.12,2.7506,0.15
sarp-8-4-B-2,37.3787,37.3787,35.1880,6.2257,0.02,6.2257,0.02
sarp-8-4-C-1,100.5555,100.5518,91.8350,9.4958,0.06,9.4918,0.17
sarp-8-4-C-2,127.2959,106.2830,106.2660,19.7899,0.10,0.0160,2.31
