Instance,Root Objective,Best Bound,Best Integer,Root Gap (%),Root Time (s),Total Gap (%),Total Time (s)
sfsarp-16-8-1,66.6032,63.5753,63.5174,4.8582,0.29,0.0912,21.77
sfsarp-16-8-2,80.4963,74.8261,74.7712,7.6568,0.28,0.0734,1712.07
sfsarp-16-8-3,100.8161,95.3769,95.2804,5.8099,0.36,0.1013,283.03
sfsarp-16-8-4,79.6044,73.3792,73.3111,8.5844,0.22,0.0929,1812.05
sfsarp-16-8-5,74.0147,70.8077,70.7686,4.5869,0.31,0.0553,63.21
sfsarp-20-10-1,106.0217,99.2073,99.1115,6.9721,0.53,0.0967,7200.00
sfsarp-20-10-2,91.4901,83.7391,83.7351,9.2613,0.50,0.0048,429.75
sfsarp-20-10-3,99.3171,90.9456,90.8855,9.2772,0.33,0.0661,7200.01
sfsarp-20-10-4,99.5699,94.5284,87.6126,13.6479,3.40,7.8936,7200.00
sfsarp-20-10-5,91.9069,86.2576,80.9489,13.5369,2.90,6.5581,7200.00
