Instance,Root Objective,Best Bound,Best Integer,Root Gap (%),Root Time (s),Total Gap (%),Total Time (s)
sarp-20-10-A-11,33.3984,25.9280,25.8580,29.1608,0.28,0.2707,6.74
sarp-20-10-A-12,30.8761,30.8761,26.7250,15.5326,0.27,15.5326,0.59
sarp-20-10-B-11,66.5593,51.2840,51.2730,29.8135,0.47,0.0215,16.62
sarp-20-10-B-12,74.2423,59.4500,59.4330,24.9176,0.42,0.0286,33.34
sarp-20-10-C-11,200.2818,178.8151,175.7160,13.9804,0.56,1.7637,42.02
sarp-20-10-C-12,243.9048,219.1230,219.0790,11.3319,0.59,0.0201,203.80
sarp-30-15-A-11,70.7686,68.2000,68.1150,3.8958,0.93,0.1248,6.86
sarp-30-15-A-12,77.5975,72.4520,72.3670,7.2277,1.29,0.1175,40.12
sarp-30-15-B-11,111.2914,97.8730,97.8590,13.7263,1.87,0.0143,284.09
sarp-30-15-B-12,118.1895,96.1220,96.0510,23.0487,2.20,0.0739,3099.40
sarp-30-15-C-11,374.6409,350.4184,339.4130,10.3791,2.70,3.2425,7200.00
sarp-30-15-C-12,357.9547,343.9908,309.5220,15.6476,5.23,11.1361,7200.02
sarp-40-20-A-11,99.4816,94.9180,94.8810,4.8488,7.39,0.0390,59.04
sarp-40-20-A-12,107.6106,94.6655,88.2610,21.9232,10.55,7.2563,7200.00
sarp-40-20-B-11,144.2126,137.0082,129.7700,11.1294,4.89,5.5777,7200.00
sarp-40-20-B-12,129.0287,121.5040,120.5950,6.9934,3.46,0.7538,3453.73
sarp-40-20-C-11,529.3276,514.1028,453.2730,16.7790,8.24,13.4201,7200.00
sarp-40-20-C-12,534.7401,520.2036,470.8920,13.5590,12.77,10.4720,7200.00
