Instance,Root Objective,Best Bound,Best Integer,Root Gap (%),Root Time (s),Total Gap (%),Total Time (s)
sfsarp-50-25-1,291.0069,286.9664,270.9170,7.4155,29.19,5.9241,7200.00
sfsarp-50-25-2,266.9400,265.3379,246.5460,8.2719,32.94,7.6221,7200.00
sfsarp-50-25-3,350.4220,348.9453,327.4460,7.0167,39.81,6.5658,7200.01
sfsarp-50-25-4,254.5970,252.3946,234.8210,8.4217,43.17,7.4838,7200.00
sfsarp-50-25-5,381.5884,372.8752,356.2350,7.1170,60.95,4.6711,7200.00
sfsarp-60-30-1,360.4274,358.9010,325.2000,10.8325,148.99,10.3632,7200.02
sfsarp-60-30-2,332.3886,329.7565,308.6120,7.7044,91.09,6.8515,7200.00
sfsarp-60-30-3,308.8144,306.1370,293.6750,5.1552,84.93,4.2435,7200.00
sfsarp-60-30-4,381.3648,375.2693,340.9860,11.8418,199.85,10.0542,7200.00
sfsarp-60-30-5,340.3351,338.5641,301.8380,12.7542,69.20,12.1675,7200.00
