Instance,Root Objective,Best Bound,Best Integer,Root Gap (%),Root Time (s),Total Gap (%),Total Time (s)
sfsarp-20-10-11,98.9395,94.5986,94.5115,4.6851,0.41,0.0922,29.43
sfsarp-20-10-21,83.4034,81.9658,81.9351,1.7920,0.46,0.0375,3.81
sfsarp-20-10-31,90.2753,88.7815,88.6855,1.7926,0.33,0.1082,1.39
sfsarp-20-10-41,89.5122,82.4017,82.3126,8.7467,0.73,0.1082,1273.67
sfsarp-20-10-51,87.4707,79.1429,79.0490,10.6538,0.53,0.1188,519.56
sfsarp-30-15-11,150.3694,144.7580,144.7390,3.8900,1.81,0.0131,1120.73
sfsarp-30-15-21,129.6734,129.0243,124.9410,3.7877,1.53,3.2682,7200.00
sfsarp-30-15-31,169.7669,162.7172,162.6410,4.3814,3.49,0.0469,1411.92
sfsarp-30-15-41,153.4487,149.6167,145.4310,5.5131,1.95,2.8781,7200.00
sfsarp-30-15-51,139.1144,135.5373,135.5210,2.6515,1.28,0.0120,6190.72
sfsarp-40-20-11,221.1216,218.6492,181.4230,21.8818,10.24,20.5190,7200.00
sfsarp-40-20-21,237.2361,234.9992,197.7250,19.9829,9.50,18.8515,7200.00
sfsarp-40-20-31,194.1976,190.3904,175.8280,10.4475,20.87,8.2822,7200.00
sfsarp-40-20-41,204.1037,200.9632,185.3830,10.0984,11.65,8.4043,7200.00
sfsarp-40-20-51,224.9648,220.5495,211.4690,6.3819,10.12,4.2940,7200.00
