Instance,Root Objective,Best Bound,Best Integer,Root Gap (%),Root Time (s),Total Gap (%),Total Time (s)
sarp-16-8-A-7,51.6600,41.2570,41.1620,25.5041,0.57,0.2308,35.80
sarp-16-8-A-8,62.3903,55.5689,52.6590,18.4798,0.58,5.5259,2.76
sarp-16-8-B-7,87.5776,79.1230,73.7060,18.8202,0.44,7.3495,13.33
sarp-16-8-B-8,89.0540,89.6635,88.3120,0.8402,0.29,1.5304,0.29
sarp-16-8-C-7,381.1967,344.4610,344.4220,10.6772,0.58,0.0113,813.52
sarp-16-8-C-8,301.9664,266.6120,266.5550,13.2848,0.60,0.0214,502.88
sarp-50-25-A-7,161.3850,150.7192,129.5520,24.5716,13.87,16.3388,7200.00
sarp-50-25-A-8,166.8970,157.9977,111.8020,49.2791,21.48,41.3192,7200.00
sarp-50-25-B-7,254.5520,240.0391,198.8580,28.0069,22.70,20.7088,7200.00
sarp-50-25-B-8,240.8355,233.9541,191.7480,25.6000,27.00,22.0112,7200.01
sarp-50-25-C-7,1302.5188,1294.8783,1178.1600,10.5553,45.73,9.9068,7200.00
sarp-50-25-C-8,1235.5854,1230.4315,1133.1500,9.0399,37.82,8.5851,7200.00
