Instance,LB,UB,Time,exp value,cutoff value,,,,,
sarp-10-5-A-1.txt,35.9985,35.9985,4859,35.9986,36,OK,OK,,,
sarp-10-5-A-2.txt,19.2693,42,68721,41.62044,42,Not,Not,,,
sarp-10-5-B-1.txt,22.8668,22.8668,1443,22.8668,23,OK,OK,Legenda,,
sarp-10-5-B-2.txt,20.479,20.479,1901,20.479,21,OK,OK,,,
sarp-10-5-C-1.txt,19.3647,19.3647,33522,19.364,20,OK,OK,,,
sarp-10-5-C-2.txt,22.7472,22.7472,24325,22.7472,23,OK,OK,,,
sarp-5-10-A-1.txt,14.1592,14.1592,29,14.1593,15,OK,OK,,,
sarp-5-10-A-2.txt,3.05882,3.05882,10,3.0588,4,OK,OK,,,
sarp-5-10-B-1.txt,N,N,N,-3.6262,-3,OK,#VALUE!,,,
sarp-5-10-B-2.txt,-1.76507,-1.76507,7,-1.765,-1,OK,OK,,,
sarp-5-10-C-1.txt,N,N,N,-37.3008,-37,OK,#VALUE!,,,
sarp-5-10-C-2.txt,N,N,N,-18.451,-18,OK,#VALUE!,,,
sarp-5-5-A-1.txt,18.8129,18.8129,644,18.8129,19,OK,OK,,,
sarp-5-5-A-2.txt,19.9862,19.9862,216,19.98626,20,OK,OK,,,
sarp-5-5-B-1.txt,-5.53356,-5.53356,5,-5.5336,-5,OK,OK,,,
sarp-5-5-B-2.txt,13.2354,13.2354,38,13.2354,14,OK,OK,,,
sarp-5-5-C-1.txt,-7.48775,-7.48775,1038,-7.48779999999999,-7,OK,OK,,,
sarp-5-5-C-2.txt,-8.56389,-8.56389,324,-8.652,-8,OK,Not,Routes in different vehicles,,
sarp-5-6-A-1.txt,-2.30267,-2.30267,3,8.7319,9,OK,Not,,,
sarp-5-6-A-2.txt,N,N,N,24.55671,25,OK,#VALUE!,,,
sarp-5-6-B-1.txt,N,N,N,6.3338,7,OK,#VALUE!,,,
sarp-5-6-B-2.txt,9.24422,9.24422,30,9.2442,10,OK,OK,,,
sarp-5-6-C-1.txt,N,N,N,-4.2248,-4,OK,#VALUE!,,,
sarp-5-6-C-2.txt,-7.05117,-7.05117,4,-7.05120000000001,-7,OK,OK,,,
sarp-5-7-A-1.txt,18.9763,18.9763,884,18.97638,19,OK,OK,,,
sarp-5-7-A-2.txt,7.24461,7.24461,2,7.2446,8,OK,OK,,,
sarp-5-7-B-1.txt,5.45345,5.45345,3,20.7162,21,OK,Not,,,
sarp-5-7-B-2.txt,N,N,N,-8.7647,-8,OK,#VALUE!,,,
sarp-5-7-C-1.txt,N,N,N,-24.5501,-24,OK,#VALUE!,,,
sarp-5-7-C-2.txt,N,N,N,-7.05540000000001,-7,OK,#VALUE!,,,
sarp-5-8-A-1.txt,N,N,N,10.8516,11,OK,#VALUE!,,,
sarp-5-8-A-2.txt,1.0629,1.0629,7,1.0629,2,OK,OK,,,
sarp-5-8-B-1.txt,N,N,N,10.8244,11,OK,#VALUE!,,,
sarp-5-8-B-2.txt,N,N,N,-4.4089,-4,OK,#VALUE!,,,
sarp-5-8-C-1.txt,N,N,N,-29.3361,-29,OK,#VALUE!,,,
sarp-5-8-C-2.txt,N,N,N,8.1408,9,OK,#VALUE!,,,
sarp-5-9-A-1.txt,14,14,13,13.7674,14,OK,Not,,,
sarp-5-9-A-2.txt,14.3458,14.3458,3,17.10069,18,OK,Not,,,
sarp-5-9-B-1.txt,-9.20037,-9.20037,90,-9.2004,-9,OK,OK,,,
sarp-5-9-B-2.txt,-14.3298,-14.3298,5,30.95009,31,OK,Not,,,
sarp-5-9-C-1.txt,N,N,N,-14.2424,-14,OK,#VALUE!,,,
sarp-5-9-C-2.txt,N,N,N,-5.69949999999999,-5,OK,#VALUE!,,,
sarp-6-5-A-1.txt,21.1965,21.1965,215,21.1965,22,OK,OK,,,
sarp-6-5-A-2.txt,20.7847,20.7847,16,20.7847,21,OK,OK,,,
sarp-6-5-B-1.txt,-0.425945,-0.425945,8,-0.425899999999999,0,OK,OK,,,
sarp-6-5-B-2.txt,22.6297,22.6297,3863,22.4988,23,OK,Not,,,
sarp-6-5-C-1.txt,-0.312691,-0.312691,2256,-0.3127,0,OK,OK,,,
sarp-6-5-C-2.txt,0.176605,0.176605,8056,0.176599999999993,1,OK,OK,,,
