0	  10.6167
1	  10.3833
2	  11.0500
3	  16.3167
4	  15.7500
5	  14.8333
6	  11.7500
7	  11.9667
8	  16.6167
9	  14.8500
10	  15.6667
11	   9.8833
12	   9.4000
13	  13.3667
14	  14.5833
15	  15.8500
16	  11.7000
17	  12.3833
18	  11.4500
19	  13.4667
20	  13.6500
21	   9.6000
22	  17.2500
23	  15.6667
24	  10.9667
25	  12.1500
26	  14.2167
27	  12.8833
28	  16.5667
29	  11.9833
30	  13.2500
31	   9.8500
32	  13.0333
33	  14.9833
34	  14.7000
35	  11.4667
36	  12.4833
37	  17.1167
38	  11.9667
39	   9.6500
40	  12.5000
41	  10.3000
42	  10.2000
43	  12.5667
44	  12.2000
45	  13.3167
46	  16.9500
47	  14.5667
48	  16.3833
49	  11.0833
