Instance,LB,UB,Time
ghsarp-10-5-0.txt,19.7785,19.7785,21578
ghsarp-10-5-1.txt,4.97951,4.97951,3027
ghsarp-10-5-2.txt,26.1784,26.1784,27664
ghsarp-10-5-3.txt,9.76623,13.3795,172366
ghsarp-10-5-4.txt,11.2692,11.2692,46161
ghsarp-10-5-5.txt,8.82796,14.6781,176943
ghsarp-10-5-6.txt,13.5239,13.5239,18383
ghsarp-10-5-7.txt,10.7695,10.7695,2149
ghsarp-10-5-8.txt,-2.83054,-2.83054,7943
ghsarp-10-5-9.txt,20.6236,20.6236,2467
ghsarp-5-10-0.txt,6.08891,6.08891,1269
ghsarp-5-10-1.txt,-11.8309,-11.8309,1514
ghsarp-5-10-2.txt,13.3708,13.3708,21523
ghsarp-5-10-3.txt,4.09682,4.09682,28504
ghsarp-5-10-4.txt,-3.28243,-3.28243,272
ghsarp-5-10-5.txt,-7.61015,-7.61015,127
ghsarp-5-10-6.txt,3.63787,3.63787,1241
ghsarp-5-10-7.txt,-8.56995,-8.56995,3
ghsarp-5-10-8.txt,-7.87985,-7.87985,164
ghsarp-5-10-9.txt,2.09883,2.09883,2996
ghsarp-5-5-0.txt,13.1871,13.1871,2070
ghsarp-5-5-1.txt,-0.307104,-0.307104,90
ghsarp-5-5-2.txt,-3.01522,-3.01522,54
ghsarp-5-5-3.txt,11.8141,11.8141,178
ghsarp-5-5-4.txt,4.37953,4.37953,860
ghsarp-5-5-5.txt,4.39661,4.39661,130
ghsarp-5-5-6.txt,10.5777,10.5777,61
ghsarp-5-5-7.txt,7.87781,7.87781,189
ghsarp-5-5-8.txt,14.4334,14.4334,983
ghsarp-5-5-9.txt,7.20916,7.20916,58
ghsarp-5-6-0.txt,-3.63528,-3.63528,410
ghsarp-5-6-1.txt,5.04246,5.04246,145
ghsarp-5-6-2.txt,12.6925,12.6925,22
ghsarp-5-6-3.txt,5.46423,5.46423,3026
ghsarp-5-6-4.txt,5.04083,5.04083,149
ghsarp-5-6-5.txt,14.2581,14.2581,48106
ghsarp-5-6-6.txt,12.7548,12.7548,3866
ghsarp-5-6-7.txt,11.3219,11.3219,5753
ghsarp-5-6-8.txt,0.751129,0.751129,2083
ghsarp-5-6-9.txt,-2.1117,-2.1117,248
ghsarp-5-7-0.txt,5.13443,5.13443,699
ghsarp-5-7-1.txt,8.51423,8.51423,564
