Instance Name , n, m, served, prof Customer, prof Parcel, costs, K, Sol Time, Sol Val, sol Stat, LB, UB, GAP, vrps, e(h), et(%), e(km), ed(%) 
sarp-10-5-A-1,10,5,5,63.403,0,49.91,3,0.02,13.493,Optimal,13.493,13.493,-1.3165e-14,49.91,1.11707,0.259001,45.8,0.616143
sarp-10-5-A-2,10,5,5,68.759,0,57.822,3,0.01,10.937,Optimal,10.937,10.937,-1.62417e-14,57.822,1.81951,0.38447,74.6,0.815004
sarp-10-5-B-1,10,5,5,67.832,0,51.428,3,0.01,16.404,Optimal,16.404,16.404,0,51.428,1.6878,0.38416,69.2,0.89137
sarp-10-5-B-2,10,5,5,80.81,0,67.39,2,0,13.42,Optimal,13.42,13.42,-5.29466e-14,67.39,1.14634,0.218774,47,0.418398
sarp-10-5-C-2,10,5,5,169.699,0,100.878,4,0.02,68.821,Optimal,68.821,68.821,0,100.878,2.67805,0.381736,109.8,0.593086
sarp-5-10-A-1,5,10,5,25.882,0,22.172,2,0.01,3.71,Optimal,3.71,3.71,0,22.172,0.578049,0.287738,23.7,0.76165
sarp-5-10-A-2,5,10,5,29.693,0,20.562,2,0.01,9.131,Optimal,9.131,9.131,0,20.562,0.504878,0.262468,20.7,0.749547
sarp-5-10-B-1,5,10,5,29.075,0,20.378,1,0,8.697,Optimal,8.697,8.697,0,20.378,0.507317,0.265081,20.8,0.764238
sarp-5-10-B-2,5,10,5,34.122,0,26.266,2,0.01,7.856,Optimal,7.856,7.856,0,26.266,0.556098,0.249817,22.8,0.569763
sarp-5-10-C-1,5,10,5,65.125,0,38.18,2,0.01,26.945,Optimal,26.945,26.945,0,38.18,1.15122,0.402845,47.2,0.716056
sarp-5-10-C-2,5,10,5,71.82,0,43.884,2,0,27.936,Optimal,27.936,27.936,0,43.884,0.75122,0.237715,30.8,0.393275
sarp-5-5-A-1,5,5,5,29.281,0,27.416,2,0,1.865,Optimal,1.865,1.865,0,27.416,0.780488,0.341273,32,0.752646
sarp-5-5-A-2,5,5,5,31.856,0,41.124,1,0,-9.268,Optimal,-9.268,-9.268,-0,41.124,0.192683,0.0639331,7.9,0.109242
sarp-5-5-B-1,5,5,5,38.757,0,33.028,2,0,5.729,Optimal,5.729,5.729,-1.55032e-14,33.028,0.795122,0.307644,32.6,0.595797
sarp-5-5-B-2,5,5,5,35.564,0,25.76,2,0,9.804,Optimal,9.804,9.804,-3.62374e-14,25.76,0.487805,0.221811,20,0.513919
sarp-5-5-C-1,5,5,5,85.931,0,54.464,3,0,31.467,Optimal,31.467,31.467,-2.25806e-14,54.464,1.85854,0.499454,76.2,0.752097
sarp-5-5-C-2,5,5,5,90.875,0,61.87,2,0.01,29.005,Optimal,29.005,29.005,0,61.87,1.33659,0.324901,54.8,0.466714
sarp-5-6-A-1,5,6,5,41.641,0,39.744,3,0.01,1.897,Optimal,1.897,1.897,0,39.744,1.26829,0.431297,52,0.75018
sarp-5-6-A-2,5,6,5,39.787,0,28.106,2,0,11.681,Optimal,11.681,11.681,0,28.106,0.407317,0.175297,16.7,0.379402
sarp-5-6-B-1,5,6,5,48.954,0,40.112,2,0,8.842,Optimal,8.842,8.842,0,40.112,0.590244,0.199396,24.2,0.345139
sarp-5-6-B-2,5,6,5,47.512,0,32.062,2,0,15.45,Optimal,15.45,15.45,0,32.062,1.00488,0.396662,41.2,0.783022
sarp-5-6-C-1,5,6,5,95.407,0,50.37,3,0.01,45.037,Optimal,45.037,45.037,-3.15537e-14,50.37,1.69512,0.483759,69.5,0.752029
sarp-5-6-C-2,5,6,5,91.184,0,47.242,3,0.01,43.942,Optimal,43.942,43.942,0,47.242,1.33659,0.40039,54.8,0.640062
