0	   4.9833
1	  20.6333
2	  15.2667
3	  20.0167
4	   8.8667
5	   1.6667
6	   3.8500
7	  11.2833
8	   3.4500
9	  13.4000
10	   5.6833
11	   7.2333
12	   5.0667
13	   3.7667
14	  13.5333
15	   0.8500
16	   5.0833
17	   9.7500
18	   7.5667
19	  17.7000
20	  15.5500
21	  13.2000
22	   4.9500
23	   0.5167
24	  20.7500
25	   2.3167
26	   7.1000
27	  20.4167
28	   2.6333
29	   1.5000
30	   6.6500
31	  17.9833
32	  21.6500
33	  21.4167
34	  15.8500
35	  19.2167
36	  11.7833
37	  19.2000
38	   8.3333
39	  14.7333
40	  10.4500
41	   2.7167
42	  10.6667
43	   4.2167
44	   5.9833
45	   2.0500
46	   4.5833
47	  21.4333
48	  11.3000
49	   0.8500
50	  16.9667
51	  15.5667
52	   2.7667
53	  10.6167
54	   4.7833
55	   1.3500
56	  12.4333
57	  11.3833
58	  21.2667
59	   3.7667
