Instance,Served,Sol Value,LB,UB,Time,Empty hours,Empty kms
sarp-10-10-A-1,10,-19.948,-19.948,-19.948,381150.0,1.1439024390243901,46.9
sarp-10-10-A-2,10,0.348,0.348,0.348,582838.0,1.2536585365853659,51.4
sarp-10-10-B-1,10,-27.968,-27.968,-27.968,284949.0,0.8414634146341463,34.5
sarp-10-10-B-2,10,-16.672,-16.672,-16.672,475439.0,0.9463414634146343,38.8
sarp-10-10-C-1,10,-32.924,-32.924,-32.924,493504.0,0.7975609756097559,32.7
sarp-10-10-C-2,10,-49.07,-49.07,-49.07,681160.0,0.9121951219512195,37.4
sarp-10-15-A-1,-1,-1,-1e+12,2.1,251921.0,-1,-1
sarp-10-15-A-2,-1,-1,-1e+12,-20,378496.0,-1,-1
sarp-10-15-B-1,-1,-1,-1e+12,-33,255457.0,-1,-1
sarp-10-15-B-2,-1,-1,-1e+12,-20.9,253229.0,-1,-1
sarp-10-15-C-1,-1,-1,-1e+12,-120.9,250578.0,-1,-1
sarp-10-15-C-2,-1,-1,-1e+12,-130.1,377721.0,-1,-1
sarp-10-20-A-1,-1,-1,-1e+12,-15.8,510731.0,-1,-1
sarp-10-20-A-2,-1,-1,-1e+12,-34.5,390236.0,-1,-1
sarp-10-20-B-1,-1,-1,-1e+12,-59.7,381386.0,-1,-1
sarp-10-20-B-2,-1,-1,-1e+12,-57.6,381512.0,-1,-1
sarp-10-20-C-1,-1,-1,-1e+12,-133.2,378644.0,-1,-1
sarp-10-20-C-2,-1,-1,-1e+12,-170.8,396266.0,-1,-1
sarp-10-30-A-1,-1,-1,-1e+12,-44.5,251389.0,-1,-1
sarp-10-30-A-2,-1,-1,-1e+12,-54.3,387127.0,-1,-1
sarp-10-30-B-1,-1,-1,-1e+12,-87.8,388612.0,-1,-1
sarp-10-30-B-2,-1,-1,-1e+12,-75.7,255454.0,-1,-1
sarp-10-30-C-1,-1,-1,-1e+12,-244.6,644396.0,-1,-1
sarp-10-30-C-2,-1,-1,-1e+12,-295.5,254443.0,-1,-1
