Instance,Served,Sol Value,LB,UB,Time,Empty hours,Empty kms
sarp-10-10-A-1,5,28.345,28.345,28.345,4769.0,1.5243902439024388,62.5
sarp-10-10-A-2,9,17.804,17.804,17.804,3555.0,1.4951219512195122,61.3
sarp-10-10-B-1,9,0.889,0.889,0.889,3599.0,1.146341463414634,46.99999999999999
sarp-10-10-B-2,10,2.472,2.472,2.472,3756.0,1.6512195121951219,67.69999999999999
sarp-10-10-C-1,8,-42.989,-42.989,-42.989,5559.0,0.8902439024390243,36.5
sarp-10-10-C-2,10,-25.806,-25.806,-25.806,6471.0,0.7195121951219511,29.499999999999996
sarp-10-15-A-1,-1,-1,-1e+12,1,518336.0,-1,-1
sarp-10-15-A-2,-1,-1,-1e+12,0.5,389477.0,-1,-1
sarp-10-15-B-1,-1,-1,-1e+12,-21.2,395351.0,-1,-1
sarp-10-15-B-2,13,-10.144,-10.144,-10.144,1324495.0,1.670731707317073,68.5
sarp-10-15-C-1,-1,-1,-1e+12,-93.8,403029.0,-1,-1
sarp-10-15-C-2,13,-47.353,-47.353,-47.353,2000210.0,0.7365853658536585,30.199999999999996
sarp-10-20-A-1,-1,-1,-1e+12,19.1,259734.0,-1,-1
sarp-10-20-A-2,-1,-1,-1e+12,-0.6,395828.0,-1,-1
sarp-10-20-B-1,-1,-1,-1e+12,-4.5,275203.0,-1,-1
sarp-10-20-B-2,-1,-1,-1e+12,-28.7,402997.0,-1,-1
sarp-10-20-C-1,-1,-1,-1e+12,-156.6,637295.0,-1,-1
sarp-10-20-C-2,-1,-1,-1e+12,-107.5,526630.0,-1,-1
sarp-10-30-A-1,-1,-1,-1e+12,22.6,259463.0,-1,-1
sarp-10-30-A-2,-1,-1,-1e+12,10.9,315579.0,-1,-1
sarp-10-30-B-1,-1,-1,-1e+12,-38.1,256825.0,-1,-1
sarp-10-30-B-2,-1,-1,-1e+12,-28.7,467853.0,-1,-1
sarp-10-30-C-1,-1,-1,-1e+12,-236,542978.0,-1,-1
sarp-10-30-C-2,-1,-1,-1e+12,-217.8,401883.0,-1,-1
sarp-15-10-A-1,6,52.828,52.828,52.828,4574.0,2.4780487804878053,101.60000000000001
sarp-15-10-A-2,8,37.746,37.746,37.746,3801.0,1.717073170731707,70.39999999999999
sarp-15-10-B-1,9,16.661,16.661,16.661,27356.0,1.9317073170731707,79.20000000000002
sarp-15-10-B-2,8,27.262,27.262,27.262,5860.0,1.248780487804878,51.2
sarp-15-10-C-1,9,-13.214,-13.214,-13.214,8819.0,1.8780487804878045,77.0
sarp-15-10-C-2,9,-26.754,-26.754,-26.754,6143.0,0.9439024390243902,38.699999999999996
sarp-15-15-A-1,12,13.305,13.305,13.305,1485399.0,1.5975609756097562,65.5
sarp-15-15-A-2,-1,-1,-1e+12,23.9,512055.0,-1,-1
sarp-15-15-B-1,-1,-1,-1e+12,7.2,390084.0,-1,-1
sarp-15-15-B-2,-1,-1,-1e+12,10.4,528334.0,-1,-1
sarp-15-15-C-1,15,-133.422,-133.422,-133.422,3284030.0,1.402439024390244,57.49999999999999
sarp-15-15-C-2,13,-35.343,-35.343,-35.343,2183951.0,0.5073170731707316,20.799999999999997
sarp-15-20-A-1,-1,-1,-1e+12,10.5,536257.0,-1,-1
sarp-15-20-A-2,-1,-1,-1e+12,22.1,391011.0,-1,-1
sarp-15-20-B-1,-1,-1,-1e+12,1.8,402127.0,-1,-1
sarp-15-20-B-2,-1,-1,-1e+12,-23.2,533490.0,-1,-1
sarp-15-20-C-1,-1,-1,-1e+12,-147,524151.0,-1,-1
sarp-15-20-C-2,-1,-1,-1e+12,-122.7,388230.0,-1,-1
sarp-15-30-A-1,-1,-1,-1e+12,18.4,395261.0,-1,-1
sarp-15-30-A-2,-1,-1,-1e+12,17.9,528011.0,-1,-1
sarp-15-30-B-1,-1,-1,-1e+12,5.5,409428.0,-1,-1
sarp-15-30-B-2,-1,-1,-1e+12,5.5,466014.0,-1,-1
sarp-15-30-C-1,-1,-1,-1e+12,-215.2,782860.0,-1,-1
sarp-15-30-C-2,-1,-1,-1e+12,-216.3,589150.0,-1,-1
sarp-20-10-A-1,10,20.309,20.309,20.309,8860.0,2.1585365853658534,88.49999999999999
sarp-20-10-A-2,8,81.382,81.382,81.382,11342.0,4.360975609756097,178.79999999999995
sarp-20-10-B-1,8,62.808,62.808,62.808,9125.0,2.4756097560975605,101.5
sarp-20-10-B-2,10,30.539,30.539,30.539,12124.0,3.029268292682927,124.19999999999999
sarp-20-10-C-1,9,-23.822,-23.822,-23.822,11523.0,2.680487804878048,109.9
sarp-20-10-C-2,10,-52.917,-52.917,-52.917,11004.0,2.2463414634146344,92.1
sarp-20-15-A-1,-1,-1,-1e+12,38.3,516173.0,-1,-1
sarp-20-15-A-2,-1,-1,-1e+12,39.3,508134.0,-1,-1
sarp-20-15-B-1,-1,-1,-1e+12,10.2,647663.0,-1,-1
sarp-20-15-B-2,-1,-1,-1e+12,15.4,519769.0,-1,-1
sarp-20-15-C-1,-1,-1,-1e+12,-59.6,663199.0,-1,-1
sarp-20-15-C-2,-1,-1,-1e+12,-71.5,527529.0,-1,-1
sarp-20-20-A-1,-1,-1,-1e+12,44.8,405623.0,-1,-1
sarp-20-20-A-2,-1,-1,-1e+12,47.2,390393.0,-1,-1
sarp-20-20-B-1,-1,-1,-1e+12,25.9,518256.0,-1,-1
sarp-20-20-B-2,-1,-1,-1e+12,38.4,415622.0,-1,-1
sarp-20-20-C-1,-1,-1,-1e+12,-137.8,707300.0,-1,-1
sarp-20-20-C-2,-1,-1,-1e+12,-146.6,676547.0,-1,-1
sarp-20-30-A-1,-1,-1,-1e+12,0.8,786900.0,-1,-1
sarp-20-30-A-2,-1,-1,-1e+12,52.7,432355.0,-1,-1
sarp-20-30-B-1,-1,-1,-1e+12,13.2,556769.0,-1,-1
sarp-20-30-B-2,-1,-1,-1e+12,-11.1,533052.0,-1,-1
sarp-20-30-C-1,-1,-1,-1e+12,-126.7,540001.0,-1,-1
sarp-20-30-C-2,-1,-1,-1e+12,-238.5,660954.0,-1,-1
sarp-30-10-A-1,9,60.159,60.159,60.159,22780.0,3.4390243902439033,141.0
sarp-30-10-A-2,9,58.356,58.356,58.356,11071.0,4.02439024390244,164.99999999999997
sarp-30-10-B-1,5,65.109,65.109,65.109,15028.0,2.7829268292682925,114.09999999999998
sarp-30-10-B-2,7,65.335,65.335,65.335,15955.0,4.0097560975609765,164.39999999999998
sarp-30-10-C-1,10,-9.385,-9.385,-9.385,23474.0,3.041463414634146,124.70000000000002
sarp-30-10-C-2,10,-38.906,-38.906,-38.906,25712.0,3.302439024390244,135.4
