Instance,exec time,UB,LB,served parcels,idel time,idel distance,Status
sarp-10-10-A-1,1220.24,52.0937,52.09,9.0,1.7171,70.4,Optimal
sarp-10-10-A-2,105.39,44.349,44.349,10.0,2.4585,100.8,Optimal
sarp-10-10-B-1,7198.49,62.1442,59.61,9.0,1.7024,69.8,Feasible
sarp-10-10-B-2,941.27,67.9398,67.935,10.0,1.9342,79.3,Optimal
sarp-10-10-C-1,7176.85,113.767,107.097,10.0,1.7878,73.3,Feasible
sarp-10-10-C-2,7177.23,146.9544,118.825,10.0,1.9927,81.7,Feasible
sarp-10-15-A-1,7181.31,48.7213,37.459,15.0,3.278,134.4,Feasible
sarp-10-15-A-2,87.61,55.404,55.404,15.0,2.4951,102.3,Optimal
sarp-10-15-B-1,7191.65,92.7854,66.898,14.0,2.9317,120.2,Feasible
sarp-10-15-B-2,7169.4,82.6483,63.457,15.0,2.9341,120.3,Feasible
sarp-10-15-C-1,7157.05,245.675,176.997,15.0,2.4707,101.3,Feasible
sarp-10-15-C-2,7163.1,248.447,196.379,15.0,1.8927,77.6,Feasible
sarp-10-20-A-1,7171.41,58.6726,55.06,19.0,2.9293,120.1,Feasible
sarp-10-20-A-2,188.38,74.589,74.584,20.0,2.4195,99.2,Optimal
sarp-10-20-B-1,7165.75,101.679,89.744,20.0,2.378,97.5,Feasible
sarp-10-20-B-2,7160.81,108.4175,90.567,20.0,2.7,110.7,Feasible
sarp-10-20-C-1,7165.8,251.396,194.421,20.0,2.8976,118.8,Feasible
sarp-10-20-C-2,7161.5,280.266,202.722,20.0,2.4927,102.2,Feasible
sarp-10-30-A-1,7160.77,97.481,66.375,29.0,3.8366,157.3,Feasible
sarp-10-30-A-2,7170.44,101.1686,94.867,30.0,2.9146,119.5,Feasible
sarp-10-30-B-1,7166.66,132.879,111.121,30.0,3.2415,132.9,Feasible
sarp-10-30-B-2,7158.23,123.025,97.411,30.0,3.4024,139.5,Feasible
sarp-10-30-C-1,7167.11,366.43,248.744,30.0,3.5,143.5,Feasible
sarp-10-30-C-2,7169.38,397.163,121.112,19.0,5.878,241.0,Feasible
sarp-15-10-A-1,279.29,52.0984,52.095,10.0,2.1902,89.8,Optimal
sarp-15-10-A-2,128.81,75.775,75.775,10.0,1.9927,81.7,Optimal
