Instance,SumCol2,SumCol3,SumCol4,Col5_from_csv2,Col6_from_csv2,Col7_from_csv2,Status
csarp,,,,,,,
sarp-10-10-A-1,1.66,50.759,52.37,10.0,1.8634,76.4,Optimal
sarp-10-10-A-2,1.55,39.129,42.417,10.0,2.561,105.0,Optimal
sarp-10-10-B-1,1.08,59.546,59.546,10.0,2.3073,94.6,Optimal
sarp-10-10-B-2,1.44,62.585,63.177,9.0,2.0098,82.4,Optimal
sarp-10-10-C-1,1.1,101.801,102.497,10.0,1.9537,80.1,Optimal
sarp-10-10-C-2,1.34,123.392,125.449,10.0,2.0634,84.6,Optimal
sarp-10-15-A-1,3.12,25.797,33.363,12.0,2.878,118.0,Optimal
sarp-10-15-A-2,3.26,36.476,36.476,10.0,2.6,106.6,Optimal
sarp-10-15-B-1,2.53,52.981,58.446,11.0,2.6341,108.0,Optimal
sarp-10-15-B-2,5.23,46.945,56.054,13.0,2.9439,120.7,Optimal
sarp-10-15-C-1,2.52,181.896,194.838,13.0,2.6585,109.0,Optimal
sarp-10-15-C-2,3.07,187.961,206.436,14.0,2.0634,84.6,Optimal
sarp-10-20-A-1,13.35,35.232,48.914,18.0,3.0902,126.7,Optimal
sarp-10-20-A-2,7.17,48.892,64.129,18.0,2.6171,107.3,Optimal
sarp-10-20-B-1,9.36,61.079,73.829,16.0,2.0902,85.7,Optimal
sarp-10-20-B-2,6.89,60.691,78.454,17.0,2.8488,116.8,Optimal
sarp-10-20-C-1,9.26,169.763,191.09,16.0,1.7854,73.2,Optimal
sarp-10-20-C-2,10.38,172.217,193.018,17.0,2.5756,105.6,Optimal
sarp-10-30-A-1,14.93,26.643,37.405,17.0,3.4781,142.6,Optimal
sarp-10-30-A-2,19.35,48.444,61.399,18.0,2.5024,102.6,Optimal
sarp-10-30-B-1,21.24,60.417,80.487,20.0,2.7,110.7,Optimal
sarp-10-30-B-2,22.91,47.862,59.151,16.0,2.8707,117.7,Optimal
sarp-10-30-C-1,36.53,189.6,238.853,22.0,2.5,102.5,Optimal
sarp-10-30-C-2,12.22,164.304,180.33,15.0,3.2415,132.9,Optimal
