4	5	6	5	720				
0	6.3	8.7	p	0	10	110	8.8	12.4
1	1	5.7	p	0	11	111	0.4	3.4
2	25.8	4.6	p	0	12	112	22.1	4.2
3	7.3	4.5	p	0	13	113	8	10
4	1	1.5	p	0	14	114	5.7	4
5	32	5.5	p	0	15	115	40	7
6	25.5	7.4	g	1	0	720	25.5	7.4
7	24	3.3	g	1	0	720	24	3.3
8	8.3	8.2	g	1	0	720	8.3	8.2
9	0	6	g	1	0	720	0	6
10	7.8	5.5	g	1	0	720	7.8	5.5
11	22.7	7.3	g	-1	0	720	22.7	7.3
12	27.1	1.2	g	-1	0	720	27.1	1.2
13	7.2	3.1	g	-1	0	720	7.2	3.1
14	6	0	g	-1	0	720	6	0
15	7	9.5	g	-1	0	720	7	9.5
16	0.5	8	s	0	0	240	0.5	8
17	29.1	7.8	s	0	0	240	29.1	7.8
