
Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
grubhub-12-1.tsp ,4.07886,0.894959,0.323252,3.92341,16.3746,2.63309,28.2281,14.4496,3.17045,1.14514,13.899,58.0079,9.32789
grubhub-12-2.tsp ,3.80423,0.906667,0.311057,2.44488,17.882,5.44,30.7889,12.3559,2.94479,1.01029,7.94079,58.0796,17.6687
grubhub-12-4.tsp ,4.17285,0,0,4.24634,34.9815,0,43.4007,9.61471,0,0,9.78405,80.6012,0
grubhub-13-9.tsp ,4.33041,0.411057,0.404228,3.29268,20.7662,-0.306829,28.8977,14.9853,1.42245,1.39882,11.3943,71.861,-1.06178
grubhub-14-1.tsp ,5.00244,0.723252,0.465203,4.09659,21.0153,0.979593,32.2824,15.4959,2.24039,1.44104,12.6899,65.0984,3.03445

Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
grubhub-12-1.tsp ,3.58732,0.694959,0.323252,3.61512,18.1453,2.65894,29.0249,12.3595,2.39436,1.11371,12.4553,62.5163,9.16091
grubhub-12-2.tsp ,3.24407,1.28211,0.522114,2.45268,17.1303,4.25309,28.8844,11.2312,4.43878,1.8076,8.49138,59.3065,14.7245
grubhub-12-4.tsp ,3.35317,0.604715,0.411057,3.86195,23.7246,4.04764,36.0032,9.31354,1.67962,1.14172,10.7267,65.896,11.2425
grubhub-13-9.tsp ,3.53024,1.28894,0.77626,3.05951,21.7512,1.83382,32.24,10.9499,3.99796,2.40775,9.4898,67.4666,5.68803
grubhub-14-1.tsp ,3.43041,1.71073,1.1922,3.36146,14.7967,5.63748,30.129,11.3857,5.67802,3.95697,11.1569,49.1113,18.7111

Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
