
Instance,c(km),p(km),b(km),e(km),Total,c(%),p(%),b(%),e(%)
grubhub-15-0.tsp ,73.62,108.26,46.04,128.1,356.02,20.6786,30.4084,12.9319,35.9811
grubhub-15-1.tsp ,72.92,66.94,35.32,102.88,278.06,26.2246,24.0739,12.7023,36.9992
grubhub-15-2.tsp ,89.72,56.62,30.64,142.68,319.66,28.0673,17.7126,9.58518,44.6349
grubhub-15-3.tsp ,101.66,32.52,16.04,156.28,306.5,33.168,10.6101,5.23328,50.9886
grubhub-15-4.tsp ,56.52,63.7,26.94,147.74,294.9,19.1658,21.6005,9.1353,50.0983

Instance,c(km),p(km),b(km),e(km),Total,c(%),p(%),b(%),e(%)
grubhub-15-0.tsp ,56.96,108.58,42.24,107.34,315.12,18.0757,34.4567,13.4044,34.0632
grubhub-15-1.tsp ,43.5,79.62,37.44,81.22,241.78,17.9916,32.9308,15.4852,33.5925
grubhub-15-2.tsp ,44.38,105.86,52.06,105.56,307.86,14.4156,34.3858,16.9103,34.2883
grubhub-15-3.tsp ,59.64,66.3,35.08,117.94,278.96,21.3794,23.7668,12.5753,42.2785
grubhub-15-4.tsp ,31.78,80.8,37.08,121.18,270.84,11.7339,29.8331,13.6907,44.7423
