Instance Name , n, m, served, prof Customer, prof Parcel, costs, K, Sol Time, Sol Val, sol Stat, LB, UB, GAP, vrps, e(h), et(%), e(km), ed(%) 
sfsarp-10-5-1,10,5,5,52.1112,34.7953,42.0748,3,2.43,44.8316,Optimal,44.8316,44.8316,0,7.27954,1.48837,0.267003,61.023,0.484125
sfsarp-10-5-2,10,5,5,54.736,20.4695,32.6131,3,0.53,42.5924,Optimal,42.5924,42.5924,0,12.1436,1.26307,0.243603,51.786,0.470423
sfsarp-10-5-3,10,5,5,40.286,22.6897,25.0847,3,1.5,37.891,Optimal,37.891,37.892,0.00277888,2.39499,0.975805,0.234147,40.008,0.585195
sfsarp-10-5-4,10,5,5,43.9322,53.0993,52.969,3,0.9,44.0625,Optimal,44.0625,44.0625,0,-0.13027,1.40032,0.241351,57.413,0.424081
sfsarp-10-5-5,10,5,5,46.6568,19.2461,43.2248,3,3.54,22.6781,Optimal,22.6781,22.679,0.00400719,23.9788,2.1289,0.394101,87.285,0.733617
sfsarp-12-6-1,12,6,6,60.8666,20.805,30.7754,3,688.44,50.8962,Optimal,50.8962,50.9007,0.00893173,9.97041,1.10746,0.198734,45.406,0.430487
sfsarp-12-6-2,12,6,5,73.7908,18.9058,29.0587,3,14.31,63.6379,Optimal,63.6379,63.6442,0.00989925,10.1529,0.90978,0.155043,37.301,0.299804
sfsarp-12-6-3,12,6,6,59.1167,43.8275,43.1301,3,86.71,59.8142,Optimal,59.8142,59.8183,0.00699027,-0.69745,1.15054,0.186995,47.172,0.364928
sfsarp-12-6-4,12,6,6,68.3006,26.3693,41.0969,3,6.79,53.573,Optimal,53.573,53.573,0,14.7276,1.67578,0.260297,68.707,0.487436
sfsarp-12-6-5,12,6,6,53.4942,23.3124,30.6507,3,0.85,46.1559,Optimal,46.1559,46.1559,0,7.33832,0.791268,0.150703,32.442,0.351595
sfsarp-6-3-1,6,3,3,29.3888,11.843,18.94,3,0.04,22.2917,Optimal,22.2917,22.2917,0,7.09709,0.863415,0.294686,35.4,0.603807
sfsarp-6-3-2,6,3,3,25.9614,11.6869,11.4692,3,0.03,26.1791,Optimal,26.1791,26.1791,0,-0.21773,0.375732,0.157396,15.405,0.423517
sfsarp-6-3-3,6,3,3,35.8987,47.5587,62.9768,3,0.06,20.4807,Optimal,20.4807,20.4807,-1.73467e-14,15.4181,0.979171,0.176636,40.146,0.242163
sfsarp-6-3-4,6,3,2,32.6235,6.66275,13.3207,3,0.01,25.9656,Optimal,25.9656,25.9656,0,6.65793,0.620976,0.238493,25.46,0.488798
sfsarp-6-3-5,6,3,3,29.8739,32.2601,36.8708,3,0.17,25.2631,Optimal,25.2631,25.2631,-1.40628e-14,4.61072,0.993073,0.25454,40.716,0.413533
sfsarp-8-4-1,8,4,4,30.7747,21.0785,18.1636,3,0.35,33.6897,Optimal,33.6897,33.6897,0,-2.91497,0.731902,0.230825,30.008,0.625128
sfsarp-8-4-2,8,4,4,30.9981,14.9324,16.2421,3,0.02,29.6884,Optimal,29.6884,29.6884,0,1.30976,0.638,0.207245,26.158,0.591569
sfsarp-8-4-3,8,4,4,36.62,17.2547,21.4986,3,0.05,32.3762,Optimal,32.3762,32.3762,0,4.24384,0.655366,0.18216,26.87,0.410179
sfsarp-8-4-4,8,4,4,31.4165,21.0586,20.3913,3,0.03,32.0838,Optimal,32.0838,32.0838,0,-0.66727,0.754732,0.227576,30.944,0.573334
sfsarp-8-4-5,8,4,4,45.1512,17.6614,21.0537,3,0.32,41.7589,Optimal,41.7589,41.7589,0,3.39232,0.902976,0.229227,37.022,0.465639
