30
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat
grubhub-12-1.tsp ,9,3,2,76.3446,24.1882,78.2552,4,5.51,22.2776,Optimal
40
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat
grubhub-12-1.tsp ,7,5,3,64.4496,31.5928,77.7952,4,14.22,18.2472,Optimal
30
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat
grubhub-12-1.tsp ,9,3,2,76.3446,24.1882,78.2552,4,7.19,22.2776,Optimal
40
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat
grubhub-12-1.tsp ,7,5,3,64.4496,31.5928,77.7952,4,12.41,18.2472,Optimal
30
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat
grubhub-12-1.tsp ,9,3,2,76.3446,24.1882,75.1272,4,20.51,25.4056,Optimal
40
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat
grubhub-12-1.tsp ,7,5,3,64.4496,31.5928,74.0968,4,275.86,21.9456,Optimal
30
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat
grubhub-12-1.tsp ,9,3,2,76.3446,24.1882,75.1272,4,35.24,25.4056,Optimal
40
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat
grubhub-12-1.tsp ,7,5,3,64.4496,31.5928,74.0968,4,116.21,21.9456,Optimal
