Instance Name , n, m, served, prof Customer, prof Parcel, costs, K, Sol Time, Sol Val, sol Stat, LB, UB, GAP, vrps, e(h), et(%), e(km), ed(%) 
sfsarp-10-10-1,10,10,10,42.9359,42.9276,28.4294,2,428.66,57.4341,Optimal,57.4341,57.4397,0.00971876,-14.4983,0.822707,0.155476,33.731,0.42013
sfsarp-10-10-2,10,10,9,41.7583,72.4464,55.0298,2,227.14,59.1749,Optimal,59.1749,59.1795,0.0077379,-17.4166,0.955488,0.14734,39.175,0.28795
sfsarp-10-10-3,10,10,8,43.5475,53.2367,45.4811,2,75.69,51.3031,Optimal,51.3031,51.3032,0.000110054,-7.75561,0.281463,0.0477987,11.54,0.0974423
sfsarp-10-10-4,10,10,9,40.0557,28.9644,23.8082,2,74.18,45.2118,Optimal,45.2118,45.2161,0.00947029,-5.15616,0.730927,0.153665,29.968,0.459717
sfsarp-20-10-1,20,10,10,92.2615,46.192,37.8819,4,1009.65,100.572,Optimal,100.572,100.581,0.00983117,-8.31011,0.908195,0.110977,37.236,0.285268
sfsarp-10-10-5,10,10,10,62.6436,81.2877,79.9452,3,7169.66,63.9861,Feasible,63.9861,78.9341,18.9373,-1.34251,1.14444,0.129077,46.922,0.206839
sfsarp-20-10-2,20,10,10,108.843,62.1189,78.965,5,7195.45,91.9972,Feasible,91.9973,105.803,13.0482,16.8461,2.60049,0.234881,106.62,0.42831
sfsarp-20-10-3,20,10,9,79.783,55.702,47.2641,4,405.92,88.2209,Optimal,88.2209,88.2284,0.00846232,-8.43792,1.18361,0.148313,48.528,0.376087
sfsarp-20-10-4,20,10,10,94.957,45.3861,49.3263,3,379.41,91.0168,Optimal,91.0168,91.025,0.00894442,3.94016,0.788317,0.0885172,32.321,0.201832
sfsarp-20-10-5,20,10,10,102.505,76.7169,70.4646,4,3140.13,108.757,Optimal,108.757,108.768,0.00992545,-6.2523,1.44283,0.139409,59.156,0.269709
sfsarp-10-15-1,10,15,14,43.2129,91.4119,68.7162,2,7168.98,65.9087,Feasible,65.9087,69.6129,5.32126,-22.6958,1.20676,0.148869,49.477,0.293888
sfsarp-20-15-1,20,15,15,100.293,56.9439,56.3615,4,7191.08,100.876,Feasible,100.876,108.246,6.80874,-0.58237,1.19576,0.115638,49.026,0.265301
sfsarp-10-15-2,10,15,15,53.1047,84.9638,57.0883,3,7183.36,80.9802,Feasible,80.9802,84.0678,3.67271,-27.8755,0.605537,0.0749466,24.827,0.154754
sfsarp-20-15-2,20,15,14,88.2823,53.2834,51.7288,3,7175.26,89.8368,Feasible,89.8368,102.593,12.4336,-1.55456,0.973073,0.103362,39.896,0.259653
sfsarp-10-15-3,10,15,15,43.8872,69.7757,33.1053,4,7174.48,80.5576,Feasible,80.5576,86.9645,7.36724,-36.6704,0.441171,0.0687876,18.088,0.19635
sfsarp-20-15-3,20,15,14,101.039,71.677,36.9748,4,7182.37,135.741,Feasible,135.741,140.173,3.16139,-34.7022,0.864976,0.0942464,35.464,0.246351
sfsarp-10-15-4,10,15,14,49.6528,64.8237,32.7727,3,7162.09,81.7038,Feasible,81.7038,84.3192,3.10179,-32.051,0.470049,0.072584,19.272,0.189848
sfsarp-20-15-4,20,15,14,101.783,80.3497,69.4089,4,7186.92,112.723,Feasible,112.723,117.743,4.26303,-10.9408,1.29449,0.118441,53.074,0.245974
sfsarp-10-15-5,10,15,14,39.81,54.7849,38.4592,2,7169.9,56.1357,Feasible,56.1357,57.6946,2.70215,-16.3257,0.853927,0.134344,35.011,0.362406
sfsarp-20-15-5,20,15,13,113.338,53.7696,50.0742,4,7174.05,117.033,Feasible,117.033,129.836,9.86091,-3.69539,1.64951,0.161212,67.63,0.348588
sfsarp-10-20-1,10,20,19,56.2112,96.5588,65.4497,2,7153.81,87.3202,Feasible,87.3203,116.323,24.9329,-31.1091,0.227439,0.0243968,9.325,0.0506639
sfsarp-20-20-1,20,20,19,92.5841,91.7946,67.5887,6,7174.81,116.79,Feasible,116.79,139.138,16.0619,-24.2059,1.75883,0.156027,72.112,0.368528
sfsarp-10-20-2,10,20,20,53.9375,125.233,76.7432,4,7172.93,102.427,Feasible,102.427,113.562,9.80463,-48.4898,1.76276,0.17644,72.273,0.353209
sfsarp-20-20-2,20,20,16,80.3946,66.9821,46.5635,3,7197.93,100.813,Feasible,100.813,128.294,21.42,-20.4186,0.702024,0.0768399,28.783,0.223846
sfsarp-10-20-3,10,20,19,70.6994,86.8577,54.2386,2,7149.57,103.319,Feasible,103.319,110.796,6.74863,-32.6192,0.343,0.0366923,14.063,0.0759743
sfsarp-20-20-3,20,20,18,87.0995,63.2134,53.8688,3,7166.86,96.4441,Feasible,96.4442,118.46,18.5853,-9.34461,0.743805,0.0733263,30.496,0.195202
sfsarp-10-20-4,10,20,17,61.1343,66.9524,37.1882,3,7153.61,90.8984,Feasible,90.8984,101.889,10.7872,-29.7641,0.87461,0.113566,35.859,0.273201
sfsarp-20-20-4,20,20,19,106.997,69.373,42.1236,4,7162.01,134.246,Feasible,134.246,138.875,3.33258,-27.2494,0.934829,0.0887011,38.328,0.231445
