Instance Name , n, m, served, prof Customer, prof Parcel, costs, K, Sol Time, Sol Val, sol Stat, LB, UB, GAP, vrps, e(h), et(%), e(km), ed(%) 
ghsarp-10-5-0,10,5,4,63.6143,35.3537,58.42,2,1.04,40.548,Optimal,40.548,40.548,0,23.0663,1.518,0.224339,62.238,0.342415
ghsarp-10-5-1,10,5,5,68.4229,36.6146,44.0836,3,0.48,60.9539,Optimal,60.9539,60.9539,-1.16571e-14,7.469,1.28341,0.201199,52.62,0.330877
ghsarp-10-5-2,10,5,5,60.8578,32.712,48.9523,2,0.09,44.6175,Optimal,44.6175,44.6175,0,16.2403,1.86785,0.295862,76.582,0.48983
ghsarp-10-5-3,10,5,4,52.2235,29.4839,39.1929,3,3.17,42.5145,Optimal,42.5145,42.5148,0.000735165,9.70898,1.45166,0.275998,59.518,0.496066
ghsarp-10-5-4,10,5,5,50.0233,42.1175,45.2778,4,2.01,46.863,Optimal,46.863,46.8662,0.00682535,3.16026,0.774,0.136874,31.734,0.245338
ghsarp-10-5-5,10,5,5,60.4805,32.8531,51.9487,3,0.16,41.3848,Optimal,41.3848,41.3848,0,19.0956,1.7961,0.278206,73.64,0.454019
ghsarp-10-5-6,10,5,5,60.5101,29.4351,49.3433,3,144.33,40.602,Optimal,40.602,40.605,0.00745716,19.9081,1.63678,0.25902,67.108,0.428575
ghsarp-10-5-7,10,5,4,63.2564,24.1736,46.7259,2,2.56,40.7041,Optimal,40.7041,40.7079,0.00924578,22.5523,1.79595,0.292921,73.634,0.472886
ghsarp-10-5-8,10,5,5,63.994,39.6956,40.1138,4,15.95,63.5757,Optimal,63.5757,63.5817,0.00935468,0.41824,1.2622,0.211111,51.75,0.362822
ghsarp-10-5-9,10,5,4,58.9221,27.0072,51.9782,3,1,33.9512,Optimal,33.9512,33.954,0.00826436,24.9709,2.0881,0.33548,85.612,0.536665
ghsarp-5-10-0,5,10,9,37.8178,63.0276,55.8633,2,32.06,44.9821,Optimal,44.9821,44.9852,0.00694171,-7.16426,1.08449,0.174345,44.464,0.279002
ghsarp-5-10-1,5,10,10,34.2131,76.5393,61.0549,1,29.49,49.6976,Optimal,49.6976,49.7023,0.00948353,-15.4844,0.573659,0.088146,23.52,0.143127
ghsarp-5-10-2,5,10,8,33.0161,55.0602,48.4693,2,439.64,39.6071,Optimal,39.6071,39.6105,0.00858501,-6.59096,1.14532,0.209912,46.958,0.348172
ghsarp-5-10-3,5,10,8,25.5959,52.3744,37.0079,2,49.43,40.9623,Optimal,40.9623,40.9658,0.00860164,-15.3664,0.516683,0.114034,21.184,0.218536
ghsarp-5-10-4,5,10,8,23.8163,61.3699,51.9423,1,23.77,33.244,Optimal,33.244,33.2462,0.00686171,-9.42762,0.173024,0.032978,7.094,0.0561768
ghsarp-5-10-5,5,10,8,28.8095,55.7873,30.7722,2,10.62,53.8247,Optimal,53.8247,53.8286,0.00731577,-25.0152,0.552049,0.127264,22.634,0.254263
ghsarp-5-10-6,5,10,9,32.6764,55.3053,45.2741,2,57.47,42.7076,Optimal,42.7076,42.7094,0.0042009,-10.0311,0.658049,0.120989,26.98,0.211894
ghsarp-5-10-7,5,10,9,30.0841,61.0621,56.3546,2,12.99,34.7916,Optimal,34.7916,34.7916,0,-4.70754,1.38332,0.233847,56.716,0.38617
ghsarp-5-10-8,5,10,9,32.624,69.5829,47.5493,1,19.46,54.6576,Optimal,54.6576,54.6618,0.00762622,-22.0336,0.158049,0.0284399,6.48,0.0490233
ghsarp-5-10-9,5,10,8,30.6187,53.5994,41.4994,2,6.73,42.7188,Optimal,42.7188,42.7188,-1.6633e-14,-12.1001,1.0019,0.201022,41.078,0.355617
ghsarp-5-5-0,5,5,3,28.3775,23.4024,27.0314,1,0.06,24.7484,Optimal,24.7484,24.7484,0,3.62908,0.594585,0.180853,24.378,0.304238
ghsarp-5-5-1,5,5,4,26.574,26.8329,27.6331,2,0.13,25.7738,Optimal,25.7738,25.7738,0,0.8002,0.882732,0.258936,36.192,0.462388
ghsarp-5-5-2,5,5,4,31.6014,35.8301,39.3456,2,0.66,28.0859,Optimal,28.0859,28.0859,0,3.51552,0.991805,0.233629,40.664,0.361284
ghsarp-5-5-3,5,5,4,27.2899,29.1818,39.1304,2,0.41,17.3414,Optimal,17.3414,17.3414,0,9.94854,1.17385,0.289889,48.128,0.460458
ghsarp-5-5-4,5,5,5,34.6133,39.4981,41.7422,3,0.58,32.3691,Optimal,32.3691,32.3718,0.00831008,2.24418,1.07376,0.230033,44.024,0.357779
ghsarp-5-5-5,5,5,4,26.0849,25.309,25.5475,2,1.36,25.8465,Optimal,25.8465,25.8465,0.000150674,0.23844,0.437317,0.133428,17.93,0.246021
ghsarp-5-5-6,5,5,2,34.6988,14.6349,26.1216,1,0.23,23.2121,Optimal,23.2121,23.2121,0,11.4867,0.606439,0.181392,24.864,0.278619
ghsarp-5-5-7,5,5,5,24.2393,30.6851,33.8394,2,0.33,21.085,Optimal,21.085,21.085,0,3.15432,1.20834,0.317574,49.542,0.565109
ghsarp-5-5-8,5,5,4,42.3778,28.0613,38.8019,3,0.83,31.6372,Optimal,31.6372,31.6372,0,10.7406,1.2519,0.267643,51.328,0.393988
ghsarp-5-5-9,5,5,5,31.7473,29.1828,32.557,2,0.15,28.3732,Optimal,28.3732,28.3732,0,3.37414,0.762,0.187769,31.242,0.318627
ghsarp-5-6-0,5,6,4,32.4108,36.7431,31.9295,2,0.23,37.2244,Optimal,37.2244,37.2244,0,-4.8136,1.04702,0.269391,42.928,0.438703
ghsarp-5-6-1,5,6,5,27.6832,26.9817,18.711,2,0.13,35.9539,Optimal,35.9539,35.9539,0,-8.2707,0.556293,0.176594,22.808,0.374996
ghsarp-5-6-2,5,6,6,28.0993,43.1245,47.1399,2,44.06,24.0839,Optimal,24.0839,24.086,0.00850454,4.01538,1.21532,0.250997,49.828,0.403943
ghsarp-5-6-3,5,6,5,32.2945,31.0022,29.5752,2,0.25,33.7215,Optimal,33.7215,33.7235,0.00607484,-1.42694,0.438683,0.111809,17.986,0.19438
ghsarp-5-6-4,5,6,5,36.6733,31.2877,34.6693,1,0.12,33.2917,Optimal,33.2917,33.2917,0,3.38158,0.366439,0.0836436,15.024,0.135004
ghsarp-5-6-5,5,6,6,34.3625,51.9175,53.6572,2,0.12,32.6228,Optimal,32.6228,32.6228,0,1.73964,1.09898,0.201443,45.058,0.3034
ghsarp-5-6-6,5,6,3,31.59,29.9328,37.7632,1,0.16,23.7596,Optimal,23.7596,23.7596,0,7.83044,0.323756,0.0810573,13.274,0.121675
ghsarp-5-6-7,5,6,5,32.2478,41.5731,45.667,2,0.13,28.1539,Optimal,28.1539,28.1539,0,4.0939,1.04805,0.2195,42.97,0.337205
ghsarp-5-6-8,5,6,6,29.9541,38.0051,37.1156,4,0.39,30.8436,Optimal,30.8436,30.8436,0,-0.8895,1.27356,0.290117,52.216,0.498168
ghsarp-5-6-9,5,6,6,30.442,47.5916,38.1211,2,0.23,39.9125,Optimal,39.9125,39.9125,-1.78025e-14,-9.47044,0.555463,0.124431,22.774,0.211148
ghsarp-5-7-0,5,7,6,27.2398,37.5137,37.0926,2,1,27.6609,Optimal,27.6609,27.6609,0,-0.42114,0.932683,0.218301,38.24,0.382385
ghsarp-5-7-1,5,7,6,27.8132,35.8919,37.8019,2,1.1,25.9032,Optimal,25.9032,25.9032,0,1.91,0.889756,0.205268,36.48,0.355722
ghsarp-5-7-2,5,7,7,29.4753,49.3356,44.263,2,0.23,34.5478,Optimal,34.5478,34.5478,0,-5.07252,0.500683,0.101869,20.528,0.171762
ghsarp-5-7-3,5,7,6,30.0248,43.918,34.5745,2,2.32,39.3682,Optimal,39.3682,39.3691,0.00230732,-9.34346,1.02712,0.241215,42.112,0.423594
ghsarp-5-7-4,5,7,5,25.4739,35.9274,33.3969,2,0.23,28.0044,Optimal,28.0044,28.0044,0,-2.53048,0.881122,0.229801,36.126,0.406495
ghsarp-5-7-5,5,7,6,28.9771,37.7561,30.7832,2,10.49,35.95,Optimal,35.95,35.9523,0.00643302,-6.97286,0.420098,0.104703,17.224,0.1928
ghsarp-5-7-6,5,7,5,28.2749,30.0012,25.3736,2,0.71,32.9025,Optimal,32.9025,32.9025,-2.15954e-14,-4.6276,0.810195,0.229601,33.218,0.43511
ghsarp-5-7-7,5,7,7,29.6794,58.0539,37.5903,2,0.56,50.143,Optimal,50.143,50.143,-1.41703e-14,-20.4636,0.405122,0.08865,16.61,0.157641
ghsarp-5-7-8,5,7,7,26.1807,64.1793,53.8421,3,1.61,36.5179,Optimal,36.5179,36.5179,0,-10.3372,1.23902,0.234579,50.8,0.377532
ghsarp-5-7-9,5,7,7,29.1971,46.1699,43.1241,1,3.04,32.243,Optimal,32.243,32.243,0,-3.04586,0.170244,0.0351549,6.98,0.0598885
ghsarp-5-8-0,5,8,8,28.3136,47.5404,35.5295,2,7.49,40.3246,Optimal,40.3246,40.3283,0.00919792,-12.011,0.230829,0.0505223,9.464,0.096091
ghsarp-5-8-1,5,8,6,31.4498,35.9301,45.5437,1,0.39,21.8362,Optimal,21.8362,21.8362,-1.62699e-14,9.61362,0.195268,0.039845,8.006,0.0636599
ghsarp-5-8-2,5,8,7,31.1374,58.361,48.6008,2,0.29,40.8976,Optimal,40.8976,40.8976,-1.73737e-14,-9.76014,1.20429,0.23088,49.376,0.374458
ghsarp-5-8-3,5,8,8,30.1867,64.4492,47.7563,3,3.97,46.8796,Optimal,46.8796,46.8796,0,-16.6929,1.29639,0.244727,53.152,0.414098
ghsarp-5-8-4,5,8,5,36.1386,38.3859,42.1507,1,0.22,32.3737,Optimal,32.3737,32.3737,0,3.76486,0.562683,0.118341,23.07,0.18221
ghsarp-5-8-5,5,8,6,26.7803,41.6637,30.7961,2,3.26,37.648,Optimal,37.648,37.648,0,-10.8676,0.76122,0.194241,31.21,0.364987
ghsarp-5-8-6,5,8,8,30.898,51.9793,46.7921,3,9.29,36.0852,Optimal,36.0852,36.0852,0,-5.18716,0.945415,0.179171,38.762,0.303997
ghsarp-5-8-7,5,8,7,32.3914,39.1813,28.8889,2,27.63,42.6838,Optimal,42.6838,42.6877,0.00912295,-10.2924,0.505415,0.119637,20.722,0.227195
ghsarp-5-8-8,5,8,7,32.6183,45.8014,47.8713,2,4.37,30.5484,Optimal,30.5484,30.5484,0,2.06986,1.35995,0.259494,55.758,0.419637
ghsarp-5-8-9,5,8,7,27.7334,40.4263,44.1306,1,3.68,24.0292,Optimal,24.0292,24.0292,0,3.70422,0.663463,0.137266,27.202,0.234157
ghsarp-5-9-0,5,9,8,27.9545,56.5393,39.0917,2,10.04,45.4021,Optimal,45.4021,45.4061,0.00878981,-17.4476,0.657756,0.138698,26.968,0.255369
ghsarp-5-9-1,5,9,9,27.6878,52.4617,43.5234,2,19.9,36.6261,Optimal,36.6261,36.6273,0.0031717,-8.93832,0.87039,0.169581,35.686,0.310935
ghsarp-5-9-2,5,9,5,29.9324,26.0189,40.1396,1,3.58,15.8117,Optimal,15.8117,15.8117,-1.12344e-14,14.1207,1.0862,0.247844,44.534,0.399939
ghsarp-5-9-3,5,9,9,30.3371,58.3182,48.081,2,15.89,40.5743,Optimal,40.5743,40.5782,0.00977847,-10.2371,0.73239,0.133462,30.028,0.232188
ghsarp-5-9-4,5,9,8,28.4276,54.0393,42.4562,2,3.18,40.0108,Optimal,40.0108,40.0108,0,-11.5832,0.897122,0.181567,36.782,0.323364
ghsarp-5-9-5,5,9,8,33.886,56.8929,50.2486,2,11.5,40.5303,Optimal,40.5303,40.5303,0,-6.64432,0.743854,0.133122,30.498,0.217433
ghsarp-5-9-6,5,9,8,29.7181,53.5779,40.8471,2,22.32,42.4489,Optimal,42.4489,42.4525,0.00838585,-12.7308,0.595463,0.121253,24.414,0.216986
ghsarp-5-9-7,5,9,8,28.3672,46.2506,37.5047,2,49.69,37.1131,Optimal,37.1131,37.1152,0.00561517,-8.7459,0.68239,0.145938,27.978,0.271953
ghsarp-5-9-8,5,9,7,28.2281,41.922,29.7896,2,0.72,40.3605,Optimal,40.3605,40.3605,0,-12.1324,0.472829,0.115488,19.386,0.225781
ghsarp-5-9-9,5,9,9,34.9918,67.6606,47.2944,2,712.79,55.358,Optimal,55.358,55.3635,0.0099312,-20.3662,0.186634,0.0330613,7.652,0.056355
ghsarp-6-5-0,6,5,3,40.5562,26.8601,29.6433,2,0.18,37.773,Optimal,37.773,37.773,0,2.78318,0.451268,0.113518,18.502,0.182307
ghsarp-6-5-1,6,5,5,34.3877,30.6071,31.1448,2,0.79,33.85,Optimal,33.85,33.8502,0.000649878,0.53766,0.756293,0.183374,31.008,0.330118
ghsarp-6-5-2,6,5,5,35.3761,34.5064,41.7735,3,0.33,28.109,Optimal,28.109,28.109,-2.52781e-14,7.26708,1.11132,0.234943,45.564,0.383632
