Instance Name , n, m, served, prof Customer, prof Parcel, costs, K, Sol Time, Sol Val, sol Stat, LB, UB, GAP, vrps, e(h), et(%), e(km), ed(%) 
sarp-10-5-A-1,10,5,3,57.138,22.413,54.648,3,0.35,24.903,Optimal,24.903,24.903,0,32.235,2,0.32665,82,0.505549
sarp-10-5-A-2,10,5,5,49.329,28.889,58.972,3,0.08,19.246,Optimal,19.246,19.246,0,30.083,2.51463,0.395929,103.1,0.652945
sarp-10-5-B-1,10,5,3,60.045,21.749,40.71,3,0.86,41.084,Optimal,41.084,41.084,-1.72949e-14,18.961,1.68537,0.305978,69.1,0.50438
sarp-10-5-B-2,10,5,5,62.895,62.172,77.142,3,10.02,47.925,Optimal,47.925,47.925,-1.48261e-14,14.97,1.50976,0.191226,61.9,0.279837
sarp-10-5-C-1,10,5,5,124.854,67.982,71.208,3,0.26,121.628,Optimal,121.628,121.628,0,3.226,2.45122,0.239571,100.5,0.317035
sarp-10-5-C-2,10,5,5,108.78,48.56,56.534,3,0.65,100.806,Optimal,100.806,100.806,0,7.974,1.6561,0.188926,67.9,0.264305
sarp-12-6-A-1,12,6,3,59.4,26.895,62.606,3,99.33,23.689,Optimal,23.689,23.689,0,35.711,1.30488,0.194829,53.5,0.310866
sarp-12-6-A-2,12,6,6,57.975,39.431,64.17,3,31.17,33.236,Optimal,33.236,33.236,0,24.739,1.65366,0.229054,67.8,0.391908
sarp-12-6-B-1,12,6,5,67.494,43.663,67.712,3,3.81,43.445,Optimal,43.445,43.445,0,24.049,1.92927,0.252259,79.1,0.400709
sarp-12-6-B-2,12,6,4,72.852,36.275,58.972,3,5.32,50.155,Optimal,50.155,50.155,0,22.697,1.96829,0.271595,80.7,0.429712
sarp-12-6-C-1,12,6,6,138.06,72.299,100.28,3,65.92,110.079,Optimal,110.079,110.089,0.00932966,27.981,2.60976,0.207767,107,0.272959
sarp-12-6-C-2,12,6,6,128.94,87.986,84.226,3,3.14,132.7,Optimal,132.7,132.7,0,-3.76,2.18049,0.192631,89.4,0.262093
sarp-6-3-A-1,6,3,2,37.908,23.906,33.764,3,0.02,28.05,Optimal,28.05,28.05,0,9.858,1.2561,0.320939,51.5,0.486767
sarp-6-3-A-2,6,3,2,32.322,23.242,21.436,3,0.01,34.128,Optimal,34.128,34.128,0,-1.806,0.62439,0.206674,25.6,0.369942
sarp-6-3-B-1,6,3,3,48.567,43.91,43.24,3,0.07,49.237,Optimal,49.237,49.237,0,-0.67,1.10976,0.220232,45.5,0.313577
sarp-6-3-B-2,6,3,3,38.763,37.602,34.73,3,0.07,41.635,Optimal,41.635,41.635,0,-2.872,0.590244,0.141603,24.2,0.221207
sarp-6-3-C-1,6,3,3,53.982,39.843,43.194,3,0.04,50.631,Optimal,50.631,50.631,-1.40337e-14,3.351,1.05854,0.200926,43.4,0.280906
sarp-6-3-C-2,6,3,3,58.314,54.285,40.112,3,0.17,72.487,Optimal,72.487,72.487,0,-14.173,1.1439,0.216229,46.9,0.301802
sarp-8-4-A-1,8,4,2,45.699,16.187,37.122,3,0.05,24.764,Optimal,24.764,24.9552,0.766173,20.935,1.65366,0.369013,67.8,0.587522
sarp-8-4-A-2,8,4,2,40.113,18.345,35.144,3,0.18,23.314,Optimal,23.314,23.314,0,16.799,1.31463,0.317744,53.9,0.532083
sarp-8-4-B-1,8,4,4,53.28,45.986,50.14,3,0.19,49.126,Optimal,49.126,49.126,0,4.154,1.60976,0.276151,66,0.420382
sarp-8-4-B-2,8,4,4,44.388,41.006,50.186,3,0.12,35.208,Optimal,35.208,35.208,0,9.18,1.58293,0.29038,64.9,0.458657
sarp-8-4-C-1,8,4,4,82.635,60.594,51.382,3,0.45,91.847,Optimal,91.847,91.847,0,-9.212,1.27561,0.178377,52.3,0.247633
sarp-8-4-C-2,8,4,4,104.466,76.613,74.796,3,3.72,106.283,Optimal,106.283,106.283,0,-1.817,1.37561,0.14749,56.4,0.18775
sarp-5-30-C-10,5,30,29,46.752,403.16,194.074,4,7155.06,255.838,Feasible,255.838,347.746,26.4297,-209.086,0.612195,0.0354603,25.1,0.0527865
sarp-5-30-C-4,5,30,21,46.752,318.409,163.254,2,7160.83,201.907,Feasible,201.907,268.139,24.7006,-155.155,0.963415,0.067387,39.5,0.0966952
sarp-5-30-C-5,5,30,15,46.752,242.873,151.432,2,149.41,138.193,Optimal,138.193,138.193,-2.05667e-14,-91.441,1.21463,0.0958676,49.8,0.130094
sarp-5-30-C-9,5,30,30,46.752,409.469,214.406,3,7163.48,241.815,Feasible,241.815,342.634,29.4246,-195.063,0.802439,0.0433541,32.9,0.0633058
