Instance Name , n, m, served, prof Customer, prof Cust Part, prof Parcel, costs, K, Sol Time, Sol Val, sol Stat, LB, UB, GAP, vrps, e(h), et(%), e(km), ed(%) 
sfsarp-20-10-11,20,10,10,150.835,112.412,0,81.731,4,0.05,69.1039,Optimal,69.1039,69.1039,0,81.731,2.89317,0.377359,118.62,1.08485
sfsarp-20-10-21,20,10,10,94.3177,81.1351,0,36.3464,4,0.05,57.9713,Optimal,57.9713,57.9713,0,36.3464,1.06059,0.201613,43.484,4.07128
sfsarp-20-10-31,20,10,11,151.511,112.785,0,94.9725,3,0.04,56.538,Optimal,56.538,56.538,-3.77026e-14,94.9725,3.72946,0.441235,152.908,1.107
sfsarp-20-10-41,20,10,11,113.793,91.9126,0,64.9019,4,0.06,48.8911,Optimal,48.8911,48.8911,0,64.9019,1.40576,0.204983,57.636,0.792164
sfsarp-20-10-51,20,10,10,136.627,104.549,0,85.6695,3,0.04,50.9576,Optimal,50.9576,50.9576,0,85.6695,2.58839,0.328654,106.124,0.900083
sfsarp-30-15-11,30,15,15,224.846,167.839,0,125.138,5,0.17,99.7079,Optimal,99.7079,99.7079,0,125.138,3.71937,0.315153,152.494,0.899463
sfsarp-30-15-21,30,15,15,148.955,125.841,0,59.57,6,0.15,89.3854,Optimal,89.3854,89.3854,0,59.57,2.10144,0.257575,86.159,3.19107
sfsarp-30-15-31,30,15,16,219.791,165.041,0,101.579,6,0.18,118.212,Optimal,118.212,118.212,-2.4043e-14,101.579,2.41237,0.228604,98.907,0.835907
sfsarp-30-15-41,30,15,15,235.313,173.631,0,126.369,5,0.18,108.943,Optimal,108.943,108.943,0,126.369,2.14354,0.183202,87.885,0.510318
sfsarp-30-15-51,30,15,15,129.764,115.221,0,42.8729,5,0.14,86.8916,Optimal,86.8916,86.8916,-3.27094e-14,42.8729,0.983146,0.135173,40.309,-4.33523
sfsarp-40-20-11,40,20,22,278.721,212.123,0,155.249,7,0.61,123.472,Optimal,123.472,123.472,-2.30187e-14,155.249,3.48949,0.231629,143.069,0.712384
sfsarp-40-20-21,40,20,22,315.949,232.725,0,171.971,7,0.56,143.977,Optimal,143.977,143.977,-3.94809e-14,171.971,3.66937,0.23003,150.444,0.634291
sfsarp-40-20-31,40,20,23,233.735,187.228,0,112.209,7,0.65,121.526,Optimal,121.526,121.526,-2.33873e-14,112.209,2.96973,0.230816,121.759,1.13512
sfsarp-40-20-41,40,20,20,282.804,214.383,0,148.886,6,0.35,133.918,Optimal,133.918,133.918,-2.12232e-14,148.886,3.24844,0.221823,133.186,0.712227
sfsarp-40-20-51,40,20,21,294.344,220.769,0,145.485,7,0.58,148.859,Optimal,148.859,148.859,-1.9093e-14,145.485,2.38941,0.165198,97.966,0.545452
sfsarp-16-8-11,16,8,8,75.1098,64.7174,0,33.1706,4,0.03,41.9392,Optimal,41.9392,41.9392,0,33.1706,0.838024,0.189365,34.359,1.96975
sfsarp-16-8-21,16,8,8,120.382,89.7712,0,64.6912,3,0.03,55.6912,Optimal,55.6912,55.6912,-1.27586e-14,64.6912,2.45937,0.40339,100.834,1.17295
sfsarp-16-8-31,16,8,8,132.325,96.3804,0,62.7629,3,0.03,69.5624,Optimal,69.5624,69.5624,0,62.7629,0.402512,0.067147,16.503,0.201811
sfsarp-16-8-41,16,8,8,95.3369,75.9111,0,42.3218,3,0.03,53.0151,Optimal,53.0151,53.0151,-2.68053e-14,42.3218,1.21083,0.246571,49.644,1.32961
sfsarp-16-8-51,16,8,8,78.997,66.8686,0,29.4616,3,0.03,49.5354,Optimal,49.5354,49.5354,-1.43442e-14,29.4616,0.703634,0.166391,28.849,3.07548
