Instance Name , n, m, served, prof Customer, prof Cust Part, prof Parcel, costs, K, Sol Time, Sol Val, sol Stat, LB, UB, GAP, vrps, e(h), et(%), e(km), ed(%) 
sarp-50-25-A-10,50,25,25,294.458,235.302,0,247.94,12,0.94,46.518,Optimal,46.518,46.518,-3.05492e-14,247.94,7.83659,0.364837,321.3,0.872703
sarp-50-25-A-9,50,25,25,289.308,232.452,0,210.542,12,1.09,78.766,Optimal,78.766,78.766,-5.41256e-14,210.542,5.9561,0.305492,244.2,0.851267
sarp-50-25-B-10,50,25,25,374.592,279.648,0,278.346,12,1.03,96.246,Optimal,96.246,96.246,0,278.346,7.08537,0.306834,290.5,0.668944
sarp-50-25-B-9,50,25,25,377.682,281.358,0,277.15,12,0.9,100.532,Optimal,100.532,100.532,0,277.15,6.97317,0.302807,285.9,0.662317
sarp-50-25-C-10,50,25,25,1543.75,926.655,0,834.992,16,1.29,708.753,Optimal,708.753,708.753,0,834.992,20.8756,0.396826,855.9,0.520504
sarp-50-25-C-9,50,25,25,1479.06,890.859,0,777.63,16,1.13,701.431,Optimal,701.431,701.431,0,777.63,16.8585,0.34013,691.2,0.454837
sarp-60-30-A-1,60,30,30,343.853,277.107,0,215.372,18,1.91,128.481,Optimal,128.481,128.481,0,215.372,6.36585,0.297199,261,0.991641
sarp-60-30-A-2,60,30,30,349.106,280.014,0,229.218,18,1.86,119.888,Optimal,119.888,119.888,0,229.218,6.79268,0.306617,278.5,0.94954
sarp-60-30-B-1,60,30,30,427.901,323.619,0,266.984,18,2.17,160.917,Optimal,160.917,160.917,0,266.984,8.00488,0.331381,328.2,0.874267
sarp-60-30-B-2,60,30,30,426.665,322.935,0,288.052,18,2.09,138.613,Optimal,138.613,138.613,-2.05044e-14,288.052,7.50976,0.297143,307.9,0.731007
sarp-60-30-C-1,60,30,30,1912.65,1145.27,0,1009.79,18,2.04,902.854,Optimal,902.854,902.854,0,1009.79,27.2415,0.428719,1116.9,0.5612
sarp-60-30-C-2,60,30,30,1886.38,1130.74,0,999.35,18,2.49,887.031,Optimal,887.031,887.031,-1.28166e-14,999.35,22.1634,0.351868,908.7,0.461855
sarp-100-50-A-1,100,50,50,515.889,430.191,0,308.614,26,9.1,207.275,Optimal,207.275,207.275,0,308.614,8.25122,0.249809,338.3,1.02754
sarp-100-50-A-2,100,50,50,556.368,452.592,0,317.354,26,7.65,239.014,Optimal,239.014,239.014,0,317.354,7.63415,0.227929,313,0.898823
sarp-100-50-B-1,100,50,50,614.048,484.512,0,365.7,26,7.47,248.348,Optimal,248.348,248.348,-1.14443e-14,365.7,9.85854,0.273416,404.2,0.891618
sarp-100-50-B-2,100,50,50,646.287,502.353,0,392.058,26,8.19,254.229,Optimal,254.229,254.229,0,392.058,10.2439,0.273503,420,0.822508
sarp-100-50-C-1,100,50,50,2982.22,1795.06,0,1515.24,26,8.23,1466.98,Optimal,1466.98,1466.98,0,1515.24,32.2683,0.332635,1323,0.44812
sarp-100-50-C-2,100,50,50,2949.26,1776.82,0,1572.65,26,9.59,1376.62,Optimal,1376.62,1376.62,0,1572.65,32.9512,0.329067,1351,0.439045
sarp-80-40-A-1,80,40,41,427.09,352.11,0,269.008,22,4.07,158.082,Optimal,158.082,158.082,-1.79791e-14,269.008,7.27561,0.262846,298.3,0.957727
sarp-80-40-A-2,80,40,40,440.789,359.691,0,287.592,22,3.7,153.197,Optimal,153.197,153.197,0,287.592,8.59512,0.300717,352.4,1.00152
sarp-80-40-B-1,80,40,40,507.945,396.855,0,307.786,22,4.01,200.159,Optimal,200.159,200.159,0,307.786,7.50732,0.253174,307.8,0.777731
sarp-80-40-B-2,80,40,40,545.334,417.546,0,315.238,22,3.95,230.096,Optimal,230.096,230.096,0,315.238,8.11707,0.270137,332.8,0.807832
sarp-80-40-C-1,80,40,40,2245.14,1358.22,0,1194.8,22,4.25,1050.34,Optimal,1050.34,1050.34,0,1194.8,27.139,0.353905,1112.7,0.478773
sarp-80-40-C-2,80,40,40,2126.38,1292.5,0,1095.4,22,4.55,1030.99,Optimal,1030.99,1030.99,0,1095.4,22.8415,0.319847,936.5,0.444267
sarp-60-30-A-1,60,30,30,343.853,277.107,0,215.372,18,1.92,128.481,Optimal,128.481,128.481,0,215.372,6.36585,0.297199,261,0.991641
