Instance Name , n, m, served, prof Customer, prof Parcel, costs, K, Sol Time, Sol Val, sol Stat, LB, UB, GAP, vrps, e(h), et(%), e(km), ed(%) 
sfsarp-10-5-1,10,5,5,36.8605,17.7892,32.1493,4,0.11,22.5004,Optimal,22.5004,22.5004,-1.57895E-14,14.3601,1.33999,0.304855,54.9396,0.706934
sfsarp-10-5-2,10,5,5,54.8482,32.4808,26.5321,3,0.14,60.7969,Optimal,60.7969,60.7969,-1.16872E-14,-5.94869,0.873892,0.179542,35.8296,0.369144
sfsarp-10-5-4,10,5,4,46.1233,15.3712,20.8112,3,0.08,40.6832,Optimal,40.6832,40.6832,-1.74653E-14,5.44004,0.973831,0.242005,39.9271,0.576002
sfsarp-10-5-5,10,5,5,55.1392,19.3513,38.2346,2,3.35,36.2559,Optimal,36.2559,36.2559,0,18.8833,1.32036,0.240052,54.1347,0.440076
sfsarp-5-10-1,5,10,10,17.6868,61.857,37.67,2,13.39,41.8738,Optimal,41.8738,41.8757,0.00450622,-24.187,0.542217,0.118882,22.2309,0.263088
sfsarp-5-10-2,5,10,8,28.3478,30.3307,30.9093,2,4.93,27.7692,Optimal,27.7692,27.7692,0,0.578592,0.364674,0.0843108,14.9516,0.168933
sfsarp-5-10-3,5,10,9,16.877,38.9399,23.2299,1,3.75,32.587,Optimal,32.587,32.5878,0.0026225,-15.71,0.357492,0.0994691,14.6572,0.283573
sfsarp-5-10-4,5,10,10,16.9529,44.3815,28.6512,2,740.32,32.6832,Optimal,32.6832,32.6862,0.00918427,-15.7303,0.533108,0.131587,21.8574,0.343637
sfsarp-5-10-5,5,10,10,27.9999,40.4419,35.2118,2,52.02,33.23,Optimal,33.23,33.2331,0.00944415,-5.23013,0.777021,0.15949,31.8579,0.327591
sfsarp-5-5-1,5,5,1,33.3525,2.82784,32.0561,1,0.01,4.12423,Optimal,4.12423,4.12423,0,29.2283,0.347755,0.101279,14.258,0.142895
sfsarp-5-5-2,5,5,5,17.5223,24.4867,18.8649,3,3.09,23.1441,Optimal,23.1441,23.1441,0,-5.62176,0.49481,0.181681,20.2872,0.468197
