
Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
grubhub-14-6.tsp ,5.58439,0.542764,0.419837,4.69366,22.7047,6.75886,40.7042,13.7194,1.33343,1.03143,11.5311,55.7797,16.6048
grubhub-14-7.tsp ,4.44098,0.471057,0.266179,4.16146,17.7798,2.10942e-15,27.1195,16.3756,1.73697,0.981503,15.3449,65.5611,7.77825e-15

Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
grubhub-14-6.tsp ,3.76797,1.88829,1.31073,4.18049,10.981,-7.88258e-15,22.1285,17.0277,8.53332,5.92329,18.8919,49.6238,-3.56219e-14
grubhub-14-7.tsp ,3.60764,0.495447,0.41252,3.16146,22.2879,4.61577,34.5807,10.4325,1.43273,1.19292,9.14227,64.4517,13.3478

Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
grubhub-14-6.tsp ,3.29106,1.88829,1.31073,3.5161,10.9102,1.8926,22.809,14.4287,8.27871,5.74655,15.4154,47.833,8.2976
grubhub-14-7.tsp ,3.39415,0.495447,0.41252,2.82146,14.8866,4.61577,26.6259,12.7475,1.86077,1.54932,10.5967,55.9101,17.3356

Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
grubhub-14-6.tsp ,1.5522,2.96992,2.19675,3.21073,6.74707,2.71293,19.3896,8.0053,15.3171,11.3295,16.559,34.7974,13.9917
grubhub-14-7.tsp ,2.04699,1.89951,0.963415,2.01317,17.042,5.3665,29.3316,6.97879,6.47599,3.28456,6.86348,58.1012,18.296

Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
grubhub-14-6.tsp ,5.58439,0.542764,0.419837,4.69366,24.3867,-3.88578e-16,35.6274,15.6744,1.52345,1.17841,13.1743,68.4494,-1.09067e-15
grubhub-14-7.tsp ,3.98748,0.633008,0.719675,3.9722,24.446,2.32561,36.084,11.0506,1.75426,1.99444,11.0082,67.7476,6.44499

Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
grubhub-14-6.tsp ,3.17252,2.28878,1.90618,3.78,11.5163,7.90561,30.5693,10.3781,7.48717,6.23559,12.3653,37.6726,25.8612
grubhub-14-7.tsp ,3.60764,0.495447,0.41252,3.16146,20.5256,4.61577,32.8185,10.9927,1.50966,1.25698,9.63319,62.5429,14.0646

