Instance,MIP,FIP,BCP,Heuristic
sarp-10-5-A-1,24.903,24.172,24.903,24.903
sarp-10-5-A-2,19.246,19.246,19.246,19.246
sarp-10-5-B-1,41.084,41.084,41.084,41.084
sarp-10-5-B-2,47.925,43.279,47.925,47.925
sarp-10-5-C-1,121.628,121.628,121.628,121.628
sarp-10-5-C-2,100.806,99.722,100.806,100.806
sarp-12-6-A-1,23.689,22.92,23.689,23.689
sarp-12-6-A-2,33.236,32.124,33.236,33.236
sarp-12-6-B-1,43.445,42.157,43.445,43.445
sarp-12-6-B-2,50.155,50.155,50.155,50.155
sarp-12-6-C-1,110.079,109.113,110.079,110.079
sarp-12-6-C-2,132.7,131.504,132.7,132.7
sarp-6-3-A-1,28.05,28.05,28.05,28.05
sarp-6-3-A-2,34.128,34.128,34.128,34.128
sarp-6-3-B-1,49.237,49.237,49.237,49.237
sarp-6-3-B-2,41.635,37.347,41.635,41.635
sarp-6-3-C-1,50.631,48.791,50.631,50.631
sarp-6-3-C-2,72.487,65.495,72.487,72.487
sarp-8-4-A-1,24.764,24.258,24.764,24.764
sarp-8-4-A-2,23.314,21.629,23.314,23.314
sarp-8-4-B-1,49.126,47.562,49.126,49.126
sarp-8-4-B-2,35.208,34.518,35.208,35.208
sarp-8-4-C-1,91.847,88.167,91.847,91.847
sarp-8-4-C-2,106.283,104.857,106.283,106.283
ghsarp-10-5-0,45.982,43.017,45.982,45.982
ghsarp-10-5-1,44.274,41.225,44.274,44.274
ghsarp-10-5-2,50.323,43.354,50.323,50.323
ghsarp-10-5-3,40.512,40.512,40.512,40.512
ghsarp-10-5-4,42.391,42.391,42.391,42.391
ghsarp-12-6-0,63.153,59.657,63.153,63.153
ghsarp-12-6-1,62.077,61.754,62.077,62.076
ghsarp-12-6-2,59.895,59.895,59.895,59.895
ghsarp-12-6-3,48.58,46.072,48.58,48.58
ghsarp-12-6-4,57.126,52.949,57.126,57.126
ghsarp-6-3-0,36.131,36.131,36.131,36.131
ghsarp-6-3-1,30.519,30.242,30.519,30.519
ghsarp-6-3-2,17.895,17.895,17.895,17.895
ghsarp-6-3-3,32.129,31.076,32.129,32.129
ghsarp-6-3-4,31.299,31.299,31.299,31.299
ghsarp-8-4-0,23.667,22.314,23.667,23.667
ghsarp-8-4-1,35.768,35.562,35.768,35.768
ghsarp-8-4-2,36.529,36.019,36.529,36.529
ghsarp-8-4-3,38.166,38.166,38.166,38.166
ghsarp-8-4-4,20.183,17.412,20.183,20.183
sfsarp-10-5-1,44.8316,44.0197,44.83166,44.832
sfsarp-10-5-2,42.5924,42.3744,42.5924,42.592
sfsarp-10-5-3,37.891,37.8795,37.89101,37.891
sfsarp-10-5-4,44.0625,42.2496,44.06247,44.062
sfsarp-10-5-5,22.6781,22.6781,22.678,22.678
sfsarp-12-6-1,50.8962,49.5162,50.89619,50.896
sfsarp-12-6-2,63.6379,60.7965,63.6379,63.638
sfsarp-12-6-3,59.8142,59.8008,59.81415,59.741
sfsarp-12-6-4,53.573,52.7533,53.573,53.573
sfsarp-12-6-5,46.1559,43.9797,46.15588,46.156
sfsarp-6-3-1,22.2917,21.8786,22.29171,22.292
sfsarp-6-3-2,26.1791,26.1791,26.17913,26.179
sfsarp-6-3-3,20.4807,20.4807,20.4806,20.481
sfsarp-6-3-4,25.9656,25.9656,25.96557,25.966
sfsarp-6-3-5,25.2631,25.2631,25.26318,25.263
sfsarp-8-4-1,33.6897,33.6897,33.68967,33.69
sfsarp-8-4-2,29.6884,29.4795,29.68834,29.688
sfsarp-8-4-3,32.3762,32.1356,32.37616,32.376
sfsarp-8-4-4,32.0838,28.3679,32.08377,32.084
sfsarp-8-4-5,41.7589,40.3775,41.75888,41.759
sarp-16-8-A-1,19.011,19.011,19.011,19.011
sarp-16-8-A-2,27.944,27.79,27.944,27.944
sarp-16-8-B-1,50.222,49.19,50.222,50.222
sarp-16-8-B-2,42.241,34.543,42.241,42.241
sarp-16-8-C-1,191.146,179.232,191.146,191.146
sarp-16-8-C-2,162.704,146.742,162.704,162.704
sarp-20-10-A-1,27.998,18.867,27.998,27.998
sarp-20-10-A-2,35.659,28.789,35.659,35.659
sarp-20-10-B-1,60.116,56.007,60.116,60.116
sarp-20-10-B-2,0,56.369,65.446,65.446
sarp-20-10-C-1,196.249,189.303,196.249,196.249
sarp-20-10-C-2,0,219.767,226.713,226.713
sarp-30-15-A-1,0,66.376,0,70.654
sarp-30-15-A-2,72.452,69.002,0,72.452
sarp-30-15-B-1,0,91.597,0,106.751
sarp-30-15-B-2,0,103.86,0,105.792
sarp-30-15-C-1,0,355.349,0,363.445
sarp-30-15-C-2,0,337.013,0,351.969
sarp-40-20-A-1,0,90.947,0,96.909
sarp-40-20-A-2,0,84.727,0,95.18
sarp-40-20-B-1,0,132.062,0,135.945
sarp-40-20-B-2,0,116.983,0,124.712
sarp-40-20-C-1,0,464.642,0,487.32
sarp-40-20-C-2,0,483.072,0,509.154
sfsarp-16-8-1,63.5753,59.9537,63.57524,63.575
sfsarp-16-8-2,74.8261,72.6614,74.8261,74.826
sfsarp-16-8-3,95.3769,92.0856,95.37692,95.377
sfsarp-16-8-4,73.3792,71.9633,73.37916,73.379
sfsarp-16-8-5,70.8077,70.1578,70.80773,70.808
sfsarp-20-10-1,99.2073,98.0458,99.2078,99.207
sfsarp-20-10-2,83.7391,82.4222,83.73916,83.739
sfsarp-20-10-3,90.9456,88.5264,90.9451,90.945
sfsarp-20-10-4,0,86.7667,87.68482,87.685
sfsarp-20-10-5,0,80.24,81.0133,81.01
sfsarp-30-15-1,0,140.961,0,146.265
sfsarp-30-15-2,0,126.14,0,127.387
sfsarp-30-15-3,0,164.812,0,167.24
sfsarp-30-15-4,0,144.086,0,147.358
sfsarp-30-15-5,0,135.13,0,136.84
sfsarp-40-20-1,0,177.272,0,183.086
sfsarp-40-20-2,0,213.635,0,225.876
sfsarp-40-20-3,0,176.861,0,183.644
sfsarp-40-20-4,0,190.126,0,194.62
sfsarp-40-20-5,0,211.798,0,216.508
sarp-16-8-A-1V1,17.907,17.493,17.907,17.907
sarp-16-8-A-2V1,26.641,26.487,26.641,26.641
sarp-16-8-B-1V1,43.435,42.449,43.435,42.035
sarp-16-8-B-2V1,40.059,27.593,40.059,40.059
sarp-16-8-C-1V1,166.168,153.564,166.168,166.168
sarp-16-8-C-2V1,133.609,123.544,133.609,133.609
