Instance,feature_V,feature_avgReqPerVehicle,feature_avgReqTripLen,feature_stdReqTripLen,feature_percLoReqTripLen,feature_percHiReqTripLen,feature_avgPassTripLen,feature_stdPassTripLen,feature_avgParcTripLen,feature_stdParcTripLen,feature_avgPassToParcTrip,feature_stdPassToParcTrip,feature_avgPassToPassTrip,feature_stdPassToPassTrip,feature_avgDepotToPassDist,feature_stdDepotToPassDist,feature_avgDepotToParcDist,feature_stdDepotToParcDist,feature_avgDepotToReqDist,feature_stdDepotToReqDist,feature_avgTWLength,feature_TWEntropy,algo_standardMIP,algo_FIP,algo_BCP
ghsarp-10-5-0,15,3.33333,4.0276,2.70584,0.73333,0.26667,4.1852,2.93019,3.7124,2.1549,7.69118,5.65372,7.29352,3.69202,6.7728,4.14313,4.3864,1.56134,5.97733,3.6772,45.93333,0.79982,45.982,43.017,45.982
ghsarp-10-5-1,15,3.33333,4.5948,2.47441,0.46667,0.53333,4.3136,2.86583,5.1572,1.2115,10.42231,5.39528,11.69287,4.67862,7.3138,4.10847,10.2824,5.61754,8.30333,4.87138,38.86667,0.74971,44.274,41.225,44.274
ghsarp-10-5-2,15,3.33333,5.9272,2.72922,0.6,0.4,6.0502,3.12924,5.6812,1.63427,9.65028,4.92451,7.94143,4.67641,11.9706,3.01015,10.6416,3.00383,11.5276,3.07259,54.46667,0.79202,50.323,43.354,50.323
ghsarp-10-5-3,15,3.33333,5.6216,3.31581,0.6,0.4,5.552,3.39761,5.7608,3.14121,9.048,4.81856,8.69886,4.18452,15.4928,4.98486,12.3148,4.69369,14.43347,5.11408,61.2,0.76224,40.512,40.512,40.512
ghsarp-10-5-4,15,3.33333,4.9572,3.22824,0.6,0.4,5.4124,3.77362,4.0468,1.24133,11.2481,6.02972,12.84862,6.97811,6.6728,2.24006,7.1104,5.12289,6.81867,3.48365,46.63333,0.73963,42.391,42.391,42.391
ghsarp-12-6-0,18,4.0,4.56533,3.19578,0.55556,0.44444,3.993,2.52926,5.71,3.98488,9.08668,4.90808,10.17407,4.62353,8.50467,3.55229,9.922,5.55937,8.97711,4.37734,80.58333,0.77375,63.153,59.657,63.153
ghsarp-12-6-1,18,4.0,4.37067,2.25261,0.61111,0.38889,3.92617,1.8774,5.25967,2.6435,8.27531,4.27438,6.37891,4.5484,7.24567,2.72951,7.196,1.66629,7.22911,2.42753,59.25,0.77821,62.077,61.754,62.077
ghsarp-12-6-2,18,4.0,4.03878,2.26382,0.5,0.5,3.9225,1.75412,4.27133,3.0232,7.70545,3.91308,7.46133,3.97043,9.32233,3.32489,10.60467,4.22523,9.74978,3.69949,63.0,0.81091,59.895,59.895,59.895
ghsarp-12-6-3,18,4.0,4.47989,1.5653,0.55556,0.44444,4.63517,1.61477,4.16933,1.411,9.35975,4.47605,8.80953,4.75468,11.28183,3.97786,13.39533,3.12782,11.98633,3.84742,69.27778,0.81091,48.58,46.072,48.58
ghsarp-12-6-4,18,4.0,5.32722,3.75708,0.66667,0.33333,4.03617,2.84551,7.90933,4.01899,7.45102,3.98344,10.92733,4.23727,14.67683,4.7996,12.67233,5.64289,14.00867,5.18309,66.47222,0.7236,57.126,52.949,57.126
ghsarp-6-3-0,9,2.0,6.578,1.75542,0.55556,0.44444,6.17433,1.61502,7.38533,1.74649,8.93147,2.33781,11.86267,3.53355,8.619,3.94788,14.08933,3.37885,10.44244,4.56573,64.27778,0.70002,36.131,36.131,36.131
ghsarp-6-3-1,9,2.0,4.09422,1.27372,0.55556,0.44444,4.37067,1.37387,3.54133,0.79593,6.88787,3.79111,6.72486,3.69062,7.40067,3.53906,9.98533,2.31374,8.26222,3.40866,63.72222,0.65039,30.519,30.242,30.519
ghsarp-6-3-2,9,2.0,5.45333,1.88805,0.44444,0.55556,4.65967,1.789,7.04067,0.71669,11.75471,4.97257,9.58333,3.85748,10.811,3.38002,16.33,2.30066,12.65067,4.01864,61.44444,0.61651,17.895,17.895,17.895
ghsarp-6-3-3,9,2.0,5.02467,2.10816,0.33333,0.66667,5.629,2.19236,3.816,1.23648,10.15853,3.84773,8.3156,3.17701,5.16667,1.26399,6.54867,0.81362,5.62733,1.30774,79.0,0.64251,32.129,31.076,32.129
ghsarp-6-3-4,9,2.0,5.75067,3.68536,0.66667,0.33333,6.91833,3.91061,3.41533,1.40684,11.14467,5.44375,8.58,2.60392,8.513,1.97078,3.492,1.91388,6.83933,3.068,52.11111,0.62951,31.299,31.299,31.299
ghsarp-8-4-0,12,2.66667,4.02167,2.08535,0.58333,0.41667,4.105,1.90665,3.855,2.39452,8.06059,4.31228,9.72547,4.03331,14.01175,3.95024,20.349,3.59522,16.12417,4.86169,54.16667,0.746,23.667,22.314,23.667
ghsarp-8-4-1,12,2.66667,3.70133,1.82529,0.58333,0.41667,3.65,1.96794,3.804,1.49453,8.82926,5.42224,9.55821,4.64035,8.07475,3.11795,7.977,1.90552,8.04217,2.77372,70.95833,0.69312,35.768,35.562,35.768
ghsarp-8-4-2,12,2.66667,4.47083,2.81148,0.5,0.5,4.73975,3.00909,3.933,2.27378,6.64304,3.25314,6.43483,2.29002,9.36325,3.14466,11.0975,3.2142,9.94133,3.27179,44.25,0.71469,36.529,36.019,36.529
ghsarp-8-4-3,12,2.66667,4.5965,2.45134,0.58333,0.41667,5.43375,2.38678,2.922,1.55814,8.76377,4.77731,12.176,4.94374,10.77475,3.0462,7.8725,6.00971,9.80733,4.48296,72.58333,0.70878,38.166,38.166,38.166
ghsarp-8-4-4,12,2.66667,3.5305,1.76723,0.5,0.5,2.844,1.33395,4.9035,1.72707,7.68948,4.58987,10.55486,5.74809,10.628,4.98109,10.316,3.42357,10.524,4.52431,56.375,0.65205,20.183,17.412,20.183
sarp-10-5-A-1,15,3.33333,4.3,2.77801,0.66667,0.33333,4.34,1.98605,4.22,3.90559,12.14286,6.75775,13.14091,5.00542,16.95333,7.29108,14.77333,5.72567,16.22667,6.88649,55.06667,0.73718,24.903,24.172,24.903
sarp-10-5-A-2,15,3.33333,3.2,0.80994,0.46667,0.4,2.97,0.53488,3.66,1.03846,13.15111,5.98014,13.47059,5.58936,10.57667,5.89037,11.76667,4.47343,10.97333,5.48782,48.86667,0.75444,19.246,19.246,19.246
sarp-10-5-B-1,15,3.33333,5.24,3.30692,0.46667,0.53333,4.85,2.75036,6.02,4.09458,12.05227,6.03778,14.52,6.5503,15.62333,8.04246,15.56667,5.2624,15.60444,7.2355,68.93333,0.77169,41.084,41.084,41.084
sarp-10-5-B-2,15,3.33333,7.46,4.48193,0.6,0.4,5.35,3.23365,11.68,3.55494,12.0625,5.42083,12.3,4.7017,12.71333,6.24717,14.94,6.25479,13.45556,6.33725,75.9,0.59595,47.925,43.279,47.925
sarp-10-5-C-1,15,3.33333,15.17333,5.60351,0.6,0.4,16.22,4.56351,13.08,6.78038,13.02045,6.15348,11.28696,6.23826,14.38,6.23385,11.0,6.7219,13.25333,6.59601,41.06667,0.75444,121.628,121.628,121.628
sarp-10-5-C-2,15,3.33333,11.73333,6.39538,0.46667,0.53333,13.4,6.06564,8.4,5.69667,12.08837,5.62954,11.06538,5.73538,11.33667,4.77308,10.02,5.19104,10.89778,4.95538,43.33333,0.68708,100.806,99.722,100.806
sarp-12-6-A-1,18,4.0,3.75556,2.75383,0.72222,0.27778,3.0,1.53677,5.26667,3.82129,14.51094,6.47377,16.8125,6.04044,11.66389,4.4635,13.17778,4.38692,12.16852,4.49513,61.69444,0.75682,23.689,22.92,23.689
sarp-12-6-A-2,18,4.0,3.4,2.39815,0.5,0.5,2.79167,1.65149,4.61667,3.09484,12.27778,5.94572,10.55313,6.22098,14.175,6.82192,14.81111,7.16511,14.38704,6.94468,82.75,0.6779,33.236,32.124,33.236
sarp-12-6-B-1,18,4.0,5.12222,2.67199,0.66667,0.33333,4.18333,2.1509,7.0,2.62234,13.87541,6.18326,11.59333,5.3995,16.24444,6.71807,16.74444,7.04645,16.41111,6.83335,68.61111,0.74434,43.445,42.157,43.445
sarp-12-6-B-2,18,4.0,5.48889,2.2462,0.55556,0.44444,4.96667,2.23656,6.53333,1.86964,11.27538,5.27339,14.86571,6.24596,14.73056,5.96577,14.74444,7.06967,14.73519,6.35508,38.77778,0.71164,50.155,50.155,50.155
sarp-12-6-C-1,18,4.0,13.40556,4.71964,0.44444,0.55556,14.5,3.85097,11.21667,5.47522,13.70161,5.51521,10.91389,5.704,11.06667,6.43748,12.50556,5.08598,11.5463,6.05887,47.41667,0.732,110.079,109.113,110.079
sarp-12-6-C-2,18,4.0,13.56667,6.07865,0.55556,0.44444,13.16667,5.84784,14.36667,6.4417,12.69683,6.27416,11.26579,5.51196,11.72222,5.82972,9.55,5.71861,10.99815,5.88273,50.66667,0.71558,132.7,131.504,132.7
sarp-16-8-A-1,24,5.33333,2.68333,1.22667,0.45833,0.54167,2.53125,1.25435,2.9875,1.10842,11.31913,5.34601,14.55938,6.35936,14.53958,5.58632,16.85,7.2317,15.30972,6.2788,58.0625,0.81543,19.011,19.011,19.011
sarp-16-8-A-1V1,24,5.33333,2.68333,1.22667,0.45833,0.54167,2.53125,1.25435,2.9875,1.10842,11.31913,5.34601,14.55938,6.35936,14.53958,5.58632,16.85,7.2317,15.30972,6.2788,20.0,0.81543,17.907,17.493,17.907
sarp-16-8-A-1V2,24,2.66667,6.02083,2.89381,0.54167,0.45833,5.2875,2.40906,7.4875,3.20758,25.1367,11.59376,24.40667,11.63169,25.4,12.83788,26.59375,11.9019,25.79792,12.54628,69.47917,0.79347,41.257,38.313,41.257
sarp-16-8-A-1V3,24,2.66667,6.02083,2.89381,0.54167,0.45833,5.2875,2.40906,7.4875,3.20758,25.1367,11.59376,24.40667,11.63169,25.4,12.83788,26.59375,11.9019,25.79792,12.54628,20.0,0.79347,39.555,34.905,39.555
sarp-16-8-A-2,24,5.33333,3.1375,1.76158,0.58333,0.41667,2.43125,1.26477,4.55,1.76564,12.90982,5.66969,12.5614,5.78266,12.38125,6.19448,14.75417,6.33969,13.17222,6.34267,55.16667,0.78308,27.944,27.79,27.944
sarp-16-8-A-2V1,24,5.33333,3.1375,1.76158,0.58333,0.41667,2.43125,1.26477,4.55,1.76564,12.90982,5.66969,12.5614,5.78266,12.38125,6.19448,14.75417,6.33969,13.17222,6.34267,20.0,0.78308,26.641,26.487,26.641
sarp-16-8-A-2V2,24,2.66667,7.01667,4.56734,0.625,0.375,5.41875,3.29037,10.2125,5.06049,23.62095,10.74703,23.53636,12.36297,23.24583,12.15984,22.83542,10.55038,23.10903,11.6497,54.70833,0.79977,52.711,50.779,52.711
sarp-16-8-A-2V3,24,2.66667,7.01667,4.56734,0.625,0.375,5.41875,3.29037,10.2125,5.06049,23.62095,10.74703,23.53636,12.36297,23.24583,12.15984,22.83542,10.55038,23.10903,11.6497,20.0,0.79977,51.945,50.013,51.945
sarp-16-8-B-1,24,5.33333,4.4875,2.40387,0.5,0.5,3.35,1.66883,6.7625,2.00059,12.19304,5.69967,13.36667,6.46075,13.15,5.09432,14.54167,7.84745,13.61389,6.18541,55.875,0.78269,50.222,49.19,50.222
sarp-16-8-B-1V1,24,5.33333,4.4875,2.40387,0.5,0.5,3.35,1.66883,6.7625,2.00059,12.19304,5.69967,13.36667,6.46075,13.15,5.09432,14.54167,7.84745,13.61389,6.18541,20.0,0.78269,43.435,42.449,43.435
sarp-16-8-B-1V2,24,2.66667,8.4125,3.89394,0.625,0.375,7.1125,2.3856,11.0125,4.89552,24.12727,11.5249,26.554,11.09863,23.84687,10.58771,27.22292,13.09156,24.97222,11.59291,47.72917,0.77333,73.719,62.857,73.719
sarp-16-8-B-1V3,24,2.66667,8.4125,3.89394,0.625,0.375,7.1125,2.3856,11.0125,4.89552,24.12727,11.5249,26.554,11.09863,23.84687,10.58771,27.22292,13.09156,24.97222,11.59291,20.0,0.77333,65.065,62.857,65.065
sarp-16-8-B-2,24,5.33333,4.62917,2.91183,0.625,0.375,3.425,1.21372,7.0375,3.71347,12.16757,5.76623,13.59167,6.0161,13.875,6.60096,14.475,7.48895,14.075,6.91544,49.6875,0.7465,42.241,34.543,42.241
sarp-16-8-B-2V1,24,5.33333,4.62917,2.91183,0.625,0.375,3.425,1.21372,7.0375,3.71347,12.16757,5.76623,13.59167,6.0161,13.875,6.60096,14.475,7.48895,14.075,6.91544,20.0,0.7465,40.059,27.593,40.059
sarp-16-8-B-2V2,24,2.66667,9.13333,5.21366,0.54167,0.45833,8.725,5.07586,9.95,5.38679,22.82252,10.15475,24.94839,11.14198,25.81042,13.10144,27.70833,11.45345,26.44306,12.60791,55.9375,0.81248,88.41,78.75,88.41
sarp-16-8-B-2V3,24,2.66667,9.13333,5.21366,0.54167,0.45833,8.725,5.07586,9.95,5.38679,22.82252,10.15475,24.94839,11.14198,25.81042,13.10144,27.70833,11.45345,26.44306,12.60791,20.0,0.81248,85.236,76.435,85.236
sarp-16-8-C-1,24,4.0,12.73333,6.65361,0.54167,0.45833,12.2875,6.74017,13.625,6.38431,13.43274,6.10458,10.72927,6.73525,12.43438,5.54051,12.44375,6.21937,12.4375,5.77567,66.27083,0.78077,191.146,179.232,191.146
sarp-16-8-C-1V1,24,4.0,12.73333,6.65361,0.54167,0.45833,12.2875,6.74017,13.625,6.38431,13.43274,6.10458,10.72927,6.73525,12.43438,5.54051,12.44375,6.21937,12.4375,5.77567,20.0,0.78077,166.168,153.564,166.168
sarp-16-8-C-1V2,24,2.66667,28.6125,10.42838,0.45833,0.54167,27.6625,9.17319,30.5125,12.35085,24.05766,12.11745,23.07872,12.21431,25.70313,10.04889,30.63333,11.45259,27.34653,10.79084,56.27083,0.77639,344.461,323.48,344.461
sarp-16-8-C-1V3,24,2.66667,28.6125,10.42838,0.45833,0.54167,27.6625,9.17319,30.5125,12.35085,24.05766,12.11745,23.07872,12.21431,25.70313,10.04889,30.63333,11.45259,27.34653,10.79084,20.0,0.77639,280.783,270.249,280.783
sarp-16-8-C-2,24,5.33333,13.2,7.2608,0.5,0.5,11.89375,7.0974,15.8125,6.8683,14.01983,6.08537,14.43091,6.75907,10.45,4.5575,11.15417,5.7111,10.68472,4.98293,61.20833,0.79002,162.704,146.742,162.704
sarp-16-8-C-2V1,24,5.33333,13.2,7.2608,0.5,0.5,11.89375,7.0974,15.8125,6.8683,14.01983,6.08537,14.43091,6.75907,10.45,4.5575,11.15417,5.7111,10.68472,4.98293,20.0,0.79002,133.609,123.544,133.609
sarp-16-8-C-2V2,24,2.66667,24.375,9.12886,0.58333,0.41667,23.71875,8.92638,25.6875,9.38422,23.96842,11.37855,24.80556,12.68565,28.33333,11.38157,31.36875,13.9596,29.34514,12.38404,64.125,0.79682,266.612,247.798,266.612
sarp-16-8-C-2V3,24,2.66667,24.375,9.12886,0.58333,0.41667,23.71875,8.92638,25.6875,9.38422,23.96842,11.37855,24.80556,12.68565,28.33333,11.38157,31.36875,13.9596,29.34514,12.38404,20.0,0.79682,226.187,210.087,226.187
sarp-20-10-A-1,30,6.66667,2.83,1.65895,0.66667,0.33333,2.47,1.57801,3.55,1.58066,13.30714,6.19087,12.07629,5.92423,12.44333,5.89006,14.23667,6.33669,13.04111,6.10146,59.08333,0.80265,27.998,18.867,27.998
sarp-20-10-A-1V1,30,6.66667,2.83,1.65895,0.66667,0.33333,2.47,1.57801,3.55,1.58066,13.30714,6.19087,12.07629,5.92423,12.44333,5.89006,14.23667,6.33669,13.04111,6.10146,20.0,0.80265,25.928,17.364,25.928
