Instances,feature_V,feature_avgReqPerVehicle,feature_avgReqTripLen,feature_avgPassTripLen,feature_avgParcTripLen,feature_avgPassToParcTrip,feature_avgPassToPassTrip,feature_avgDepotToReqDist,feature_entropyPass,feature_entropyParc,feature_entropyReq,feature_depotIsolationRatio,feature_requestSpreadRadius,feature_convexHullArea,feature_avgTWLength,feature_TWEntropy,algo_standardMIP,algo_FIP,algo_BCP,algo_heuristic
sarp-30-15-A-2,45,9,2.11111,1.77,2.79333,13.53264,12.98148,13.73733,0.98641,1,1,1.09664,32,499.54381,52.76667,0.83,72.452,69.002,0,72.452
sarp-20-10-C-2V3,30,3.75,26.88667,29.375,21.91,29.69844,25.07576,29.265,1.05821,1,1.01934,1.10283,58.4,1666.65182,20,0.7935,369.904,366.04,369.904,369.904
sfsarp-16-8-1,24,6,1.33358,1.412,1.17675,4.14824,3.69392,6.42358,1.03333,1,1.0196,1.7598,19.034,77.43448,61.91667,0.71823,63.5753,59.9537,63.57524,63.575
sfsarp-16-8-3V1,24,8,3.56396,4.88381,0.92425,5.21556,7.87267,6.0605,1,1,1.01886,1.13942,24.491,57.56724,20,0.78668,93.1652,90.1812,93.16524,93.165
sarp-16-8-C-1,24,6,12.73333,12.2875,13.625,10.72927,13.43274,12.4375,1,1,1,1.04648,31.5,439.2115,66.27083,0.78077,191.146,179.232,191.146,191.146
sarp-40-20-A-1V3,60,6,3.615,3.55,3.745,26.61719,26.56823,25.89133,0.9906,1,0.98858,0.97101,65.7,1921.05156,20,0.90311,56.786,52.094,56.786,56.786
ghsarp-8-4-3,12,4,4.5965,5.43375,2.922,12.176,8.76377,9.80733,0.91667,1,0.95351,1.16848,22.528,216.70215,72.58333,0.70878,38.166,38.166,38.166,38.166
sarp-16-8-C-1V2,24,4,28.6125,27.6625,30.5125,23.07872,24.05766,27.34653,1.06667,1,1.05767,1.09933,63,1657.23825,56.27083,0.77639,344.461,323.48,344.461,344.461
sfsarp-30-15-3V1,45,7.5,3.28518,3.96733,1.92087,5.58228,7.95109,6.66693,1.03509,1.09539,1.08328,0.89024,48.973,199.93504,20,0.8475,162.717,160.7,162.71685,162.717
sarp-8-4-B-1,12,4,7.51667,6,10.55,8.83,11.7,12.13333,1,1,1,1.07666,25.4,318.10979,57.45833,0.65205,49.126,47.562,49.126,49.126
sfsarp-30-15-5,45,9,1.27347,1.05387,1.71267,3.44315,2.92237,5.52111,0.99473,1,1.0053,1.88273,10.662,42.79368,49.15556,0.86297,0,135.13,0,136.84
sarp-30-15-B-1V3,45,5.625,5.94889,4.71,8.42667,25.73941,25.90392,26.25472,0.97245,1,0.97512,1.03765,59.4,1799.15458,20,0.86325,89.877,81.662,89.877,89.877
