Instance,MIP,FIP,VRPSolver
sarp-10-5-A-1,0,0.0293538931052483,0
sarp-10-5-A-2,0,0,0
sarp-10-5-B-1,0,0,0
sarp-10-5-B-2,0,0.0969431403234219,0
sarp-10-5-C-1,0,0,0
sarp-10-5-C-2,0,0.0107533281749103,0
sarp-12-6-A-1,0,0.0324623242855333,0
sarp-12-6-A-2,0,0.0334576964737031,0
sarp-12-6-B-1,0,0.0296466797099782,0
sarp-12-6-B-2,0,0,0
sarp-12-6-C-1,0,0.00877551576594986,0
sarp-12-6-C-2,0,0.00901281085154482,0
sarp-6-3-A-1,0,0,0
sarp-6-3-A-2,0,0,0
sarp-6-3-B-1,0,0,0
sarp-6-3-B-2,0,0.102990272607181,0
sarp-6-3-C-1,0,0.0363413718867888,0
sarp-6-3-C-2,0,0.0964586753486831,0
sarp-8-4-A-1,0,0.0204328864480698,0
sarp-8-4-A-2,0,0.0722741700265934,0
sarp-8-4-B-1,0,0.0318365020559378,0
sarp-8-4-B-2,0,0.0195978186775732,0
sarp-8-4-C-1,0,0.0400666325519613,0
sarp-8-4-C-2,0,0.0134170093053452,0
ghsarp-10-5-0,0,0.0644817537297203,0
ghsarp-10-5-1,0,0.0688666034241315,0
ghsarp-10-5-2,0,0.138485384416668,0
ghsarp-10-5-3,0,0,0
ghsarp-10-5-4,0,0,0
ghsarp-12-6-0,0,0.0553576235491584,0
ghsarp-12-6-1,0,0.00520321536156709,0
ghsarp-12-6-2,0,0,0
ghsarp-12-6-3,0,0.0516261836146561,0
ghsarp-12-6-4,0,0.0731190701256871,0
ghsarp-6-3-0,0,0,0
ghsarp-6-3-1,0,0.0090763131164192,0
ghsarp-6-3-2,0,0,0
ghsarp-6-3-3,0,0.0327741292912944,0
ghsarp-6-3-4,0,0,0
ghsarp-8-4-0,0,0.0571682088984663,0
ghsarp-8-4-1,0,0.00575933795571469,0
ghsarp-8-4-2,0,0.0139615100331245,0
ghsarp-8-4-3,0,0,0
ghsarp-8-4-4,0,0.137293762076996,0
sfsarp-10-5-1,1.33833991419743E-06,0.0181113079462148,0
sfsarp-10-5-2,0,0.00511828401311024,0
sfsarp-10-5-3,2.63914844264487E-07,0.000303765985652038,0
sfsarp-10-5-4,0,0.041143829787234,6.80851063884641E-07
sfsarp-10-5-5,0,0,4.40954048177612E-06
sfsarp-12-6-1,0,0.027114008511441,1.96478322609038E-07
sfsarp-12-6-2,0,0.0446494934622293,0
sfsarp-12-6-3,0,0.000224027070494919,8.35921904859713E-07
sfsarp-12-6-4,0,0.0153006178485431,0
sfsarp-12-6-5,0,0.0471489018738666,4.33314050841666E-07
sfsarp-6-3-1,4.48597258784608E-07,0.0185320013583525,0
sfsarp-6-3-2,1.14595099235219E-06,1.14595099235219E-06,0
sfsarp-6-3-3,0,0,4.88264561268741E-06
sfsarp-6-3-4,0,0,1.15537480354254E-06
sfsarp-6-3-5,3.16666389571588E-06,3.16666389571588E-06,0
sfsarp-8-4-1,0,0,8.90479879678863E-07
sfsarp-8-4-2,0,0.00703641826437261,2.0209913636734E-06
sfsarp-8-4-3,0,0.007431384782649,1.23547544179013E-06
sfsarp-8-4-4,0,0.11581857510644,9.35051334172123E-07
sfsarp-8-4-5,0,0.0330803732856948,4.78939818798935E-07
sarp-16-8-A-1,0,0,0
sarp-16-8-A-2,0,0.00551102204408817,0
sarp-16-8-B-1,0,0.020548763490104,0
sarp-16-8-B-2,0,0.182240003787789,0
sarp-16-8-C-1,0,0.0623293189499126,0
sarp-16-8-C-2,0,0.0981045333857804,0
sarp-20-10-A-1,0,0.326130437888421,0
sarp-20-10-A-2,0,0.192658234947699,0
sarp-20-10-B-1,0,0.0683511877037727,0
sarp-20-10-B-2,0.0453962045044769,0.138694496225896,0
sarp-20-10-C-1,0,0.0353938109238773,0
sarp-20-10-C-2,0.00223189671523027,0.03063785490907,0
sarp-30-15-A-1,0,0.0287670831992039,1
sarp-30-15-A-2,0,0.0476177331198587,1
sarp-30-15-B-1,0,0.0866604179961711,1
sarp-30-15-B-2,1,0,1
sarp-30-15-C-1,0,0.00232468688320703,1
sarp-30-15-C-2,0.0388827730681012,0,1
sarp-40-20-A-1,1,0,1
sarp-40-20-A-2,1,0,1
sarp-40-20-B-1,0.220744801684058,0,1
sarp-40-20-B-2,0.170067445697238,0,1
sarp-40-20-C-1,1,0,1
sarp-40-20-C-2,0.0715214295177531,0,1
sfsarp-16-8-1,0,0.0569655196279058,9.43762750592267E-07
sfsarp-16-8-2,0,0.0289297451023105,0
sfsarp-16-8-3,2.0969433687036E-07,0.034508558254974,0
sfsarp-16-8-4,0,0.0192956587152762,5.45113601653952E-07
sfsarp-16-8-5,4.23682555697272E-07,0.00917880011123096,0
sfsarp-20-10-1,5.03992629614191E-06,0.0117127887121779,0
sfsarp-20-10-2,7.16510650510872E-07,0.0157269311036795,0
sfsarp-20-10-3,0.00688877135766515,0.0265951656548841,0
sfsarp-20-10-4,0.00256509621619794,0.0104706835231001,0
sfsarp-20-10-5,0.00177254845809276,0.00954534625796019,0
sfsarp-30-15-1,0,0.0310293864925244,1
sfsarp-30-15-2,0,0.00232532388439816,1
sfsarp-30-15-3,0,0.00124834866499405,1
sfsarp-30-15-4,0.0592701581000237,0,1
sfsarp-30-15-5,0,0.00119002742237105,1
sfsarp-40-20-1,1,0,1
sfsarp-40-20-2,0,0.0395837079661932,1
sfsarp-40-20-3,0.0442664012981945,0,1
sfsarp-40-20-4,0.182142368744938,0,1
sfsarp-40-20-5,0.0356943880489901,0,1
sarp-16-8-A-1V1,0,0.0231194504942202,0
sarp-16-8-A-2V1,0,0.00578056379265042,0
sarp-16-8-B-1V1,0,0.0227005870841488,0
sarp-16-8-B-2V1,0,0.311190993284905,0
sarp-16-8-C-1V1,0,0.0758509460305234,0
sarp-16-8-C-2V1,0,0.0753317516035597,0
sarp-20-10-A-1V1,0,0.330299290342487,0
sarp-20-10-A-2V1,0,0.109983963003021,0
sarp-20-10-B-1V1,0,0.0496256142266594,0
sarp-20-10-B-2V1,0,0.123195962994113,0
sarp-20-10-C-1V1,0,0.0809674446126011,0
sarp-20-10-C-2V1,0,0.0382251064470639,0
sarp-30-15-A-1V1,0,0.0382111436950148,0
sarp-30-15-A-2V1,0,0.0476177331198587,0
sarp-30-15-B-1V1,0,0.169434910517284,0
sarp-30-15-B-2V1,0,0,0
sarp-30-15-C-1V1,0.000371170099008081,0.092279956520074,0
sarp-30-15-C-2V1,0.00952227139119474,0.0671856326108723,0
sarp-40-20-A-1V1,0,0.0642348679499599,0
sarp-40-20-A-2V1,0,0.0757944825242168,0
sarp-40-20-B-1V1,0.00212679062670958,0.0741371471723702,0
sarp-40-20-B-2V1,0,0.0755365873870887,0
sarp-40-20-C-1V1,0.0894562322598731,0.0808993587272663,0
sarp-40-20-C-2V1,0.0733494214205415,0.104271091313278,0
sarp-50-25-A-1V1,0.116653554510303,0.0613063055523008,0
sarp-50-25-A-2V1,0,0.0228106603555932,1
sarp-50-25-B-1V1,0.0406626258193687,0.0570362853459861,0
sarp-50-25-B-2V1,0.0359431084541035,0,1
sarp-50-25-C-1V1,0.115809587686847,0,1
sarp-50-25-C-2V1,0.0403875003514761,0,1
sfsarp-16-8-1V1,0,0.0353562159926799,0
sfsarp-16-8-2V1,0,0.0235636741464782,1.37437586160749E-06
sfsarp-16-8-3V1,4.2934467832086E-07,0.0320295423486269,0
sfsarp-16-8-4V1,2.80530404535339E-07,0.012214574339996,0
sfsarp-16-8-5V1,0,0.00058069677878169,7.16909603254325E-07
sfsarp-20-10-1V1,4.22837450712024E-06,0.0327984439581814,0
sfsarp-20-10-2V1,7.32012084114459E-07,7.32012084114459E-07,0
sfsarp-20-10-3V1,0,0.0545248728620263,4.50544313848119E-06
sfsarp-20-10-4V1,2.42713380159266E-07,0.0131407451203688,0
sfsarp-20-10-5V1,0,0.00883465225560335,0
sfsarp-30-15-1V1,6.90807630131368E-07,0.0335877577835025,0
sfsarp-30-15-2V1,0.00156983057097779,0.0159028574501649,0
sfsarp-30-15-3V1,0,0.0123957545923292,9.21845904356584E-07
sfsarp-30-15-4V1,0.00236082866873739,0.0123775070914233,0
sfsarp-30-15-5V1,7.37805368443914E-07,0.00985781752745201,0
sfsarp-40-20-1V1,1,0.0395910621972144,0
sfsarp-40-20-2V1,0.00561202071679537,0.0132723607347656,0
sfsarp-40-20-3V1,0.023965901429275,0.00392662945466264,0
sfsarp-40-20-4V1,0.0626401031158932,0.0230609728760367,0
sfsarp-40-20-5V1,0.012752222248114,0.0305766233947935,0
sfsarp-50-25-1V1,0.289613474411574,0,1
sfsarp-50-25-2V1,0.0425085652210245,0,1
sfsarp-50-25-3V1,0.0556923942173148,0,1
sfsarp-50-25-4V1,0.0185607395740846,0,1
sfsarp-50-25-5V1,0,0.0304454096040872,1
sarp-16-8-A-1V2,0,0.0713575878032818,0
sarp-16-8-A-2V2,0,0.0366526910891464,0
sarp-16-8-B-1V2,0,0.147343290060907,0
sarp-16-8-B-2V2,0,0.109263657957245,0
sarp-16-8-C-1V2,0,0.0609096530521597,0
sarp-16-8-C-2V2,0,0.0705669662280768,0
sarp-20-10-A-1V2,0,0.373278879813302,0
sarp-20-10-A-2V2,0,0,0
sarp-20-10-B-1V2,0,0.149360676421294,0
sarp-20-10-B-2V2,0,0.0774511482085424,0
sarp-20-10-C-1V2,0.017656847602236,0.0909251802000589,0
sarp-20-10-C-2V2,0,0.0169483609492327,0
sarp-30-15-A-1V2,0,0.137354861290764,0
sarp-30-15-A-2V2,0,0.150538925751344,0
sarp-30-15-B-1V2,0,0.0784521600848131,0
sarp-30-15-B-2V2,0,0.0584874323540397,0
sarp-30-15-C-1V2,0.0647191443072204,0.0475922488015292,0
sarp-30-15-C-2V2,0.0706507222256468,0.156398323368058,0
sarp-40-20-A-1V2,0,0.0490427849626847,1
sarp-40-20-A-2V2,0,0.075434969228723,1
sarp-40-20-B-1V2,0,0.0105509433962264,1
sarp-40-20-B-2V2,0.287838792430383,0,1
sarp-40-20-C-1V2,0.0718691950572175,0,1
sarp-40-20-C-2V2,1,0,1
sarp-50-25-A-1V2,0.317927462868294,0,1
sarp-50-25-A-2V2,0.341297333462829,0,1
sarp-50-25-B-1V2,0.75260212294279,0,1
sarp-50-25-B-2V2,1,0,1
sarp-50-25-C-1V2,0.393551341210779,0,1
sarp-50-25-C-2V2,0.338074097913748,0,1
sarp-16-8-A-1V3,0,0.117557830868411,0
sarp-16-8-A-2V3,0,0.0371931850996246,0
sarp-16-8-B-1V3,0,0.033935295473757,0
sarp-16-8-B-2V3,0,0.103254493406542,0
sarp-16-8-C-1V3,0,0.0375165163133095,0
sarp-16-8-C-2V3,0,0.0711800412932663,0
sarp-20-10-A-1V3,0,0.463566936208446,0
sarp-20-10-A-2V3,0.860240457814879,0,0.860240457814879
sarp-20-10-B-1V3,0.698082530760957,0,0.698082530760957
sarp-20-10-B-2V3,0,0.877849284739191,0
sarp-20-10-C-1V3,0,0.789930251880357,0
sarp-20-10-C-2V3,0,0.0104459535447034,0
sarp-30-15-A-1V3,0,0.123067650556289,0
sarp-30-15-A-2V3,0,0.213212968102125,0
sarp-30-15-B-1V3,0,0.0914026947939961,0
sarp-30-15-B-2V3,0,0.0572127994404616,0
sarp-30-15-C-1V3,0.000182401433833849,0.0946960835239956,0
sarp-30-15-C-2V3,0.0133379106906723,0.170330671684806,0
sarp-40-20-A-1V3,0,0.0826259993660409,0
sarp-40-20-A-2V3,0,0.105847573725575,0
sarp-40-20-B-1V3,0,0.00397317712831949,0
sarp-40-20-B-2V3,0.0675397509690149,0.121695834207194,0
sarp-40-20-C-1V3,0.0540491355777979,0.158708200636943,0
sarp-40-20-C-2V3,0.0704128975483573,0.146242051381623,0
sarp-50-25-A-1V3,0,0.0524460079191063,0
sarp-50-25-A-2V3,0,0.190636739293764,0
sarp-50-25-B-1V3,0.00218978536533115,0.101616751858045,0
sarp-50-25-B-2V3,0.0328360982237732,0.140135525116276,0
sarp-50-25-C-1V3,0.0424771457412844,0.111291576053855,0
sarp-50-25-C-2V3,0.0369988197540395,0.0914986408260365,0
sarp-60-30-A-1V3,0.272556137678703,0.332877344429517,0
sarp-60-30-A-2V3,0.277474568579495,0.32786351971663,0
sarp-60-30-B-1V3,0.311523329308998,0.326834741850721,0
sarp-60-30-B-2V3,0.0592434081070445,0,1
sarp-60-30-C-1V3,1,0.430289503771365,0
sarp-60-30-C-2V3,0.453356137785818,0.445509837535723,0
sarp-50-25-A-1,1,0,1
sarp-50-25-A-2,0.747646753096757,0,1
sarp-50-25-B-1,0.264609615642159,0,1
sarp-50-25-B-2,0.513178435390755,0,1
sarp-50-25-C-1,1,0,1
sarp-50-25-C-2,0.190169438888385,0,1
sfsarp-50-25-1,0.0991900567333533,0,1
sfsarp-50-25-2,0.225022910973324,0,1
sfsarp-50-25-3,0.392962724295309,0,1
sfsarp-50-25-4,0.411365920103611,0,1
sfsarp-50-25-5,0.50834994834636,0,1
