,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55
P0,0.0,2.095,3.313,3.418,6.846,2.459,5.159,2.064,3.239,1.251,1.12,5.243,2.675,1.034,2.675,2.994,1.46,2.101,3.854,3.338,6.813,0.777,4.148,1.473,2.992,5.625,2.07,3.895,2.6,3.54,2.6,3.383,2.678,4.04,4.04,16.97,2.678,3.185,1.07,3.561,2.678,3.888,3.888,16.916,2.678,3.233,3.113,4.333,8.058,8.058,8.058,8.058,0,0,0,0
P1,2.095,0.0,4.798,1.39,7.015,0.365,3.064,4.158,1.144,3.345,1.13,7.272,0.774,1.238,0.774,0.966,1.678,0.029,5.567,1.31,6.982,2.805,2.054,3.568,0.964,3.53,0.042,5.923,0.804,1.445,0.804,2.197,2.724,2.012,2.012,14.874,2.724,1.157,3.165,5.589,2.724,1.861,1.861,14.82,2.724,1.138,1.018,6.361,5.963,5.963,5.963,5.963,0,0,0,0
P2,3.313,4.798,0.0,6.188,3.533,5.03,4.488,5.377,4.654,4.564,3.667,2.474,4.024,3.56,4.024,5.764,4.23,4.826,0.769,6.108,3.5,3.291,6.341,4.787,5.762,2.69,4.84,2.858,3.994,5.932,3.994,6.153,2.074,6.809,6.809,13.657,2.074,5.955,4.384,1.946,2.074,6.658,6.658,13.604,2.074,4.537,5.394,4.561,4.746,4.746,4.746,4.746,0,0,0,0
P3,3.418,1.39,6.188,0.0,8.406,1.159,2.051,5.171,1.534,4.358,2.521,8.662,2.164,2.628,2.164,1.645,2.691,1.362,6.958,0.098,8.372,4.195,1.04,4.581,0.959,3.499,1.348,7.314,2.194,0.432,2.194,3.21,4.115,2.376,2.376,13.86,4.115,0.433,4.178,6.98,4.115,1.839,1.839,13.806,4.115,1.651,0.794,7.751,4.95,4.95,4.95,4.95,0,0,0,0
P4,6.846,7.015,3.533,8.406,0.0,7.247,6.706,8.91,6.871,8.097,5.884,5.675,6.241,5.812,6.241,7.981,6.447,7.044,2.992,8.326,0.033,6.824,8.559,8.32,7.979,4.907,7.057,6.391,6.211,8.149,6.211,8.37,4.291,9.027,9.027,10.124,4.291,8.172,7.917,5.479,4.291,8.876,8.876,10.071,4.291,6.754,7.611,8.094,3.966,3.966,3.966,3.966,0,0,0,0
P5,2.459,0.365,5.03,1.159,7.247,0.0,2.7,4.523,0.779,3.71,1.362,7.503,1.005,1.47,1.005,0.997,2.043,0.358,5.799,1.079,7.213,3.037,1.689,3.933,0.732,3.165,0.389,6.155,1.036,1.08,1.036,2.562,2.956,1.78,1.78,14.509,2.956,0.925,3.53,5.821,2.956,1.629,1.629,14.455,2.956,0.773,0.653,6.592,5.598,5.598,5.598,5.598,0,0,0,0
P6,5.159,3.064,4.488,2.051,6.706,2.7,0.0,7.223,1.921,6.41,4.04,6.963,2.484,4.125,2.484,3.697,4.742,3.058,5.257,1.954,6.672,5.137,1.853,6.633,3.011,1.799,3.089,5.614,2.559,1.62,2.559,5.261,2.481,4.427,4.427,11.809,2.481,2.485,6.23,5.28,2.481,3.89,3.89,11.755,2.481,1.927,2.047,6.407,2.898,2.898,2.898,2.898,0,0,0,0
P7,2.064,4.158,5.377,5.171,8.91,4.523,7.223,0.0,5.302,0.813,3.183,5.71,4.739,3.098,4.739,3.525,2.48,4.164,5.918,5.269,8.877,2.086,6.211,0.59,4.212,7.689,4.134,4.362,4.664,5.603,4.664,2.915,4.742,3.572,3.572,19.034,4.742,4.738,0.993,4.028,4.742,3.421,3.421,18.98,4.742,5.296,5.176,4.799,10.122,10.122,10.122,10.122,0,0,0,0
P8,3.239,1.144,4.654,1.534,6.871,0.779,1.921,5.302,0.0,4.489,2.119,7.128,0.63,2.204,0.63,1.776,2.822,1.137,5.423,1.454,6.838,3.216,1.687,4.712,1.108,2.386,1.168,5.78,0.66,1.278,0.66,3.341,2.58,2.506,2.506,13.73,2.58,1.301,4.309,5.446,2.58,2.004,2.004,13.676,2.58,0.117,0.74,6.217,4.819,4.819,4.819,4.819,0,0,0,0
P9,1.251,3.345,4.564,4.358,8.097,3.71,6.41,0.813,4.489,0.0,2.37,5.546,3.926,2.285,3.926,2.713,1.667,3.352,5.105,4.456,8.064,1.273,5.399,0.223,3.399,6.876,3.321,4.198,3.851,4.79,3.851,3.079,3.929,3.736,3.736,18.221,3.929,3.925,0.469,3.864,3.929,3.585,3.585,18.167,3.929,4.483,4.363,4.636,9.309,9.309,9.309,9.309,0,0,0,0
