Instance,LB,UB,Time,bcCountNodeProc,bcCountCutR1C,bcCountCutInMaster,bcCountCut3rowPackR1C
sarp-16-8-A-7.txt,58.805,58.805,287,1,0,0,0
sarp-16-8-A-8.txt,48.548,48.548,179,1,0,0,0
sarp-16-8-B-7.txt,42.987,42.987,166,1,0,0,0
sarp-16-8-B-8.txt,43.002,43.002,170,1,0,0,0
sarp-16-8-C-7.txt,-40.339,-40.339,190,1,12,12,12
sarp-16-8-C-8.txt,1.543,1.543,480,3,25,25,25
sarp-50-25-A-7.txt,-1000000000000.0,102.9,1507759,1,0,0,0
sarp-50-25-A-8.txt,-1000000000000.0,123.5,1507268,1,0,0,0
sarp-50-25-B-7.txt,-1000000000000.0,82.5,1508580,1,0,0,0
sarp-50-25-B-8.txt,-1000000000000.0,87.9,1511680,1,0,0,0
sarp-50-25-C-7.txt,-1000000000000.0,-287.3,2039947,1,0,0,0
sarp-50-25-C-8.txt,-1000000000000.0,-206.5,2635400,1,0,0,0
