Instance,LB,UB,Time,bcCountNodeProc,bcCountCutR1C,bcCountCutInMaster,bcCountCut3rowPackR1C
sarp-20-10-A-9.txt,85.347,85.347,97,1,0,0,0
sarp-20-10-A-10.txt,108.302,108.302,81,1,0,0,0
sarp-20-10-B-9.txt,41.325,41.325,88,1,18,18,18
sarp-20-10-B-10.txt,55.149,55.149,94,1,0,0,0
sarp-20-10-C-9.txt,-1.439,-1.439,77,1,0,0,0
sarp-20-10-C-10.txt,29.771,29.771,89,1,0,0,0
sarp-30-15-A-9.txt,97.77,97.77,428,1,0,0,0
sarp-30-15-A-10.txt,99.041,99.041,398,1,0,0,0
sarp-30-15-B-9.txt,87.864,87.864,293,1,0,0,0
sarp-30-15-B-10.txt,79.72,79.72,398,1,0,0,0
sarp-30-15-C-9.txt,6.809,6.809,353,1,0,0,0
sarp-30-15-C-10.txt,68.715,68.715,386,1,0,0,0
sarp-40-20-A-9.txt,153.754,153.754,13691,1,8,8,8
sarp-40-20-A-10.txt,109.314,109.314,3130,1,0,0,0
sarp-40-20-B-9.txt,101.198,101.198,7365,1,0,0,0
sarp-40-20-B-10.txt,105.855,105.855,6684,5,0,0,0
sarp-40-20-C-9.txt,-25.363,-25.363,10601,1,0,0,0
sarp-40-20-C-10.txt,2.713,2.713,6343,3,103,103,103
