Instance,LB,UB,Time,bcCountNodeProc,bcCountCutR1C,bcCountCutInMaster,bcCountCut3rowPackR1C
sfsarp-10-5-1.txt,7.27954,7.27954,12,1,0,0,0
sfsarp-10-5-2.txt,12.1436,12.1436,17,1,0,0,0
sfsarp-10-5-3.txt,2.39499,2.39499,14,1,0,0,0
sfsarp-10-5-4.txt,-0.13027,-0.13027,14,1,0,0,0
sfsarp-10-5-5.txt,23.9788,23.9788,8,1,0,0,0
sfsarp-12-6-1.txt,9.97041,9.97041,50,1,30,30,30
sfsarp-12-6-2.txt,10.1529,10.1529,27,1,0,0,0
sfsarp-12-6-3.txt,-0.69745,-0.69745,24,1,0,0,0
sfsarp-12-6-4.txt,14.7276,14.7276,26,1,0,0,0
sfsarp-12-6-5.txt,7.33832,7.33832,21,1,0,0,0
sfsarp-6-3-1.txt,7.09709,7.09709,4,1,0,0,0
sfsarp-6-3-2.txt,-0.21773,-0.21773,4,1,0,0,0
sfsarp-6-3-3.txt,15.4181,15.4181,2,1,0,0,0
sfsarp-6-3-4.txt,6.65793,6.65793,2,1,0,0,0
sfsarp-6-3-5.txt,4.61072,4.61072,3,1,0,0,0
sfsarp-8-4-1.txt,-2.91497,-2.91497,12,1,0,0,0
sfsarp-8-4-2.txt,1.30976,1.30976,5,1,0,0,0
sfsarp-8-4-3.txt,4.24384,4.24384,14,3,0,0,0
sfsarp-8-4-4.txt,-0.66727,-0.66727,3,1,0,0,0
sfsarp-8-4-5.txt,3.39232,3.39232,8,1,0,0,0
