Instance,LB,UB,Time,bcCountNodeProc,bcCountCutR1C,bcCountCutInMaster,bcCountCut3rowPackR1C
sarp-16-8-A-1.txt,55.914,55.914,168,1,0,0,0
sarp-16-8-A-2.txt,46.069,46.069,190,1,0,0,0
sarp-16-8-B-1.txt,32.17,32.17,219,1,0,0,0
sarp-16-8-B-2.txt,40.835,40.835,272,1,11,11,11
sarp-16-8-C-1.txt,-27.244,-27.244,461,1,26,26,26
sarp-16-8-C-2.txt,-2.393,-2.393,180,1,0,0,0
sarp-20-10-A-1.txt,64.96,64.96,3692,1,0,0,0
sarp-20-10-A-2.txt,53.366,53.366,3731,1,72,72,72
sarp-20-10-B-1.txt,43.957,43.957,2393,1,0,0,0
sarp-20-10-B-2.txt,37.487,37.487,3481,1,0,0,0
sarp-20-10-C-1.txt,-1.033,-1.033,2006,1,0,0,0
sarp-20-10-C-2.txt,-33.834,-33.834,2646,1,0,0,0
sarp-30-15-A-1.txt,-1000000000000.0,54.8,631731,1,0,0,0
sarp-30-15-A-2.txt,-1000000000000.0,55.1,625507,1,0,0,0
sarp-30-15-B-1.txt,-1000000000000.0,41.1,628882,1,0,0,0
sarp-30-15-B-2.txt,-1000000000000.0,39.5,626367,1,0,0,0
sarp-30-15-C-1.txt,-1000000000000.0,-32.0,751937,1,0,0,0
sarp-30-15-C-2.txt,-1000000000000.0,-35.5,625801,1,0,0,0
sarp-40-20-A-1.txt,-1000000000000.0,68.8,754819,1,0,0,0
sarp-40-20-A-2.txt,-1000000000000.0,67.1,754469,1,0,0,0
sarp-40-20-B-1.txt,-1000000000000.0,51.3,754264,1,0,0,0
sarp-40-20-B-2.txt,-1000000000000.0,52.5,756249,1,0,0,0
