Instance,LB,UB,Time,bcCountNodeProc,bcCountCutR1C,bcCountCutInMaster,bcCountCut3rowPackR1C
ghsarp-10-5-0.txt,10.274,10.274,11,1,0,0,0
ghsarp-10-5-1.txt,12.7135,12.7135,8,1,0,0,0
ghsarp-10-5-2.txt,16.5633,16.5633,10,1,0,0,0
ghsarp-10-5-3.txt,23.534,23.534,8,1,0,0,0
ghsarp-10-5-4.txt,20.8598,20.8598,7,1,0,0,0
ghsarp-12-6-0.txt,3.03872,3.03872,29,1,0,0,0
ghsarp-12-6-1.txt,3.6585,3.6585,33,1,64,64,64
ghsarp-12-6-2.txt,5.81488,5.81488,23,1,0,0,0
ghsarp-12-6-3.txt,22.0042,22.0042,24,1,0,0,0
ghsarp-12-6-4.txt,9.36136,9.36136,29,1,4,4,4
ghsarp-6-3-0.txt,4.42488,4.42488,3,1,0,0,0
ghsarp-6-3-1.txt,3.86908,3.86908,3,1,0,0,0
ghsarp-6-3-2.txt,17.4812,17.4812,2,1,0,0,0
ghsarp-6-3-3.txt,6.56248,6.56248,6,1,0,0,0
ghsarp-6-3-4.txt,11.8013,11.8013,2,1,0,0,0
ghsarp-8-4-0.txt,20.9718,20.9718,3,1,0,0,0
ghsarp-8-4-1.txt,6.79556,6.79556,6,1,0,0,0
ghsarp-8-4-2.txt,11.0041,11.0041,4,1,0,0,0
ghsarp-8-4-3.txt,12.5324,12.5324,6,1,0,0,0
ghsarp-8-4-4.txt,18.7058,18.7058,3,1,0,0,0
