Instance,Served,Sol Value,LB,UB,Time,Empty hours,Empty kms,Pass Free Km
sfsarp-16-8-11,8,-21.92,-21.92,-21.92,21.0,0.0,0.0,144.029
sfsarp-16-8-21,8,-21.92,-21.92,-21.92,596.0,0.0,0.0,155.02900000000002
sfsarp-16-8-31,8,-21.92,-21.92,-21.92,1241.0,0.0,0.0,128.415
sfsarp-16-8-41,8,-21.92,-21.92,-21.92,48875.0,0.0,0.0,119.63899999999998
sfsarp-16-8-51,8,-21.92,-21.92,-21.92,12.0,0.0,0.0,163.661
sfsarp-50-25-11,-1,-1,-1e+12,3.7,144192.0,-1,-1,-1
sfsarp-50-25-21,-1,-1,-1e+12,-21,125771.0,-1,-1,-1
sfsarp-50-25-31,-1,-1,-1e+12,-9.6,125222.0,-1,-1,-1
sfsarp-50-25-41,-1,-1,-1e+12,-15,136277.0,-1,-1,-1
sfsarp-50-25-51,-1,-1,-1e+12,8.5,172757.0,-1,-1,-1
