Instance,Served,Sol Value,LB,UB,Time,Empty hours,Empty kms,Pass Free Km
sarp-20-10-A-11,7,67.03,67.03,67.03,120.0,3.8024390243902433,155.89999999999998,240.1
sarp-20-10-A-12,6,62.212,62.212,62.212,84.0,4.114634146341464,168.70000000000002,228.0
sarp-20-10-B-11,6,52.789,52.789,52.789,98.0,3.909756097560976,160.29999999999998,234.4
sarp-20-10-B-12,10,43.483,43.483,43.483,71.0,3.573170731707317,146.5,256.4
sarp-20-10-C-11,8,19.454,19.454,19.454,116.0,3.7390243902439035,153.29999999999998,262.79999999999995
sarp-20-10-C-12,10,-26.244,-26.244,-26.244,150.0,3.258536585365854,133.6,279.3
sarp-30-15-A-11,9,57.215,57.215,57.215,1217.0,4.536585365853659,186.0,223.99999999999997
sarp-30-15-A-12,9,55.015,55.015,55.015,7379.0,4.1121951219512205,168.60000000000002,220.30000000000004
sarp-30-15-B-11,12,49.863,49.863,49.863,1545.0,4.312195121951219,176.8,289.4000000000001
sarp-30-15-B-12,12,49.129,49.129,49.129,1647.0,4.565853658536586,187.19999999999993,294.3
sarp-30-15-C-11,13,-8.054,-8.054,-8.054,1456.0,5.095121951219511,208.9,356.20000000000016
sarp-30-15-C-12,13,6.832,6.832,6.832,2237.0,6.017073170731706,246.70000000000002,446.2999999999998
sarp-40-20-A-11,14,70.717,70.717,70.717,42201.0,5.736585365853657,235.20000000000007,301.90000000000003
sarp-40-20-A-12,14,73.996,73.996,73.996,160725.0,5.336585365853659,218.79999999999993,322.2
sarp-40-20-B-11,16,57.397,57.397,57.397,47340.0,5.339024390243902,218.89999999999998,336.1000000000001
sarp-40-20-B-12,16,56.525,56.525,56.525,123627.0,4.609756097560976,189.00000000000003,324.09999999999997
sarp-40-20-C-11,20,-59.719,-59.719,-59.719,378562.0,5.05609756097561,207.29999999999998,509.5
sarp-40-20-C-12,20,-55.436,-55.436,-55.436,101885.0,4.81219512195122,197.29999999999998,472.7999999999999
