Instance,LB,UB,Time,bcCountNodeProc,bcCountCutR1C,bcCountCutInMaster,bcCountCut3rowPackR1C
sarp-16-8-A-9.txt,60.507,60.507,35,1,0,0,0
sarp-16-8-A-10.txt,49.314,49.314,35,1,0,0,0
sarp-16-8-B-9.txt,51.641,51.641,35,1,0,0,0
sarp-16-8-B-10.txt,46.176,46.176,37,1,0,0,0
sarp-16-8-C-9.txt,23.339,23.339,29,1,0,0,0
sarp-16-8-C-10.txt,41.968,41.968,40,1,23,23,23
sarp-50-25-A-9.txt,107.943,107.943,153563,1,0,0,0
sarp-50-25-A-10.txt,128.822,128.822,42414,1,0,0,0
sarp-50-25-B-9.txt,113.305,113.305,29707,1,0,0,0
sarp-50-25-B-10.txt,107.429,107.429,295042,1,104,104,104
sarp-50-25-C-9.txt,-168.134,-168.134,93624,1,0,0,0
sarp-50-25-C-10.txt,-104.486,-104.486,28446,1,0,0,0
