Instance,LB,UB,Time,bcCountNodeProc,bcCountCutR1C,bcCountCutInMaster,bcCountCut3rowPackR1C
sarp-10-5-A-1.txt,32.235,32.235,24,1,0,0,0
sarp-10-5-A-2.txt,30.083,30.083,20,1,0,0,0
sarp-10-5-B-1.txt,18.961,18.961,82,3,6,6,6
sarp-10-5-B-2.txt,14.97,14.97,29,1,0,0,0
sarp-10-5-C-1.txt,3.226,3.226,22,1,0,0,0
sarp-10-5-C-2.txt,7.974,7.974,27,1,20,20,20
sarp-12-6-A-1.txt,35.711,35.711,68,1,32,32,32
sarp-12-6-A-2.txt,24.739,24.739,77,1,0,0,0
sarp-12-6-B-1.txt,24.049,24.049,46,1,0,0,0
sarp-12-6-B-2.txt,22.697,22.697,28,1,0,0,0
sarp-12-6-C-1.txt,27.981,27.981,57,1,40,40,40
sarp-12-6-C-2.txt,-3.76,-3.76,83,1,122,122,122
sarp-6-3-A-1.txt,9.858,9.858,7,1,0,0,0
sarp-6-3-A-2.txt,-1.806,-1.806,9,1,0,0,0
sarp-6-3-B-1.txt,-0.67,-0.67,6,1,0,0,0
sarp-6-3-B-2.txt,-2.872,-2.872,9,1,6,6,6
sarp-6-3-C-1.txt,3.351,3.351,6,1,0,0,0
sarp-6-3-C-2.txt,-14.173,-14.173,8,1,0,0,0
sarp-8-4-A-1.txt,20.935,20.935,15,1,0,0,0
sarp-8-4-A-2.txt,16.799,16.799,16,1,0,0,0
sarp-8-4-B-1.txt,4.154,4.154,15,1,0,0,0
sarp-8-4-B-2.txt,9.18,9.18,13,1,0,0,0
sarp-8-4-C-1.txt,-9.212,-9.212,8,1,0,0,0
sarp-8-4-C-2.txt,-1.817,-1.817,41,3,41,41,41
