Instance,LB,UB,Time,bcCountNodeProc,bcCountCutR1C,bcCountCutInMaster,bcCountCut3rowPackR1C
sfsarp-16-8-1.txt,1.14216,1.14216,92,1,0,0,0
sfsarp-16-8-2.txt,14.9451,14.9451,117,1,150,150,150
sfsarp-16-8-3.txt,1.00348,1.00348,116,1,0,0,0
sfsarp-16-8-4.txt,2.53194,2.53194,197,1,150,150,150
sfsarp-16-8-5.txt,-3.93913,-3.93913,116,1,150,150,150
sfsarp-20-10-1.txt,13.2042,13.2042,1394,1,0,0,0
sfsarp-20-10-2.txt,-2.60406,-2.60406,607,1,112,112,112
sfsarp-20-10-3.txt,21.8399,21.8399,1374,1,144,144,144
sfsarp-20-10-4.txt,4.22778,4.22778,2680,1,150,150,150
sfsarp-20-10-5.txt,23.5357,23.5357,1111,1,326,326,326
sfsarp-30-15-1.txt,-1000000000000.0,22.4,125213,1,0,0,0
sfsarp-30-15-2.txt,-1000000000000.0,-20.4,125692,1,0,0,0
sfsarp-30-15-3.txt,-1000000000000.0,0.1,125358,1,0,0,0
sfsarp-30-15-4.txt,-1000000000000.0,6.4,126147,1,0,0,0
sfsarp-30-15-5.txt,-1000000000000.0,-32.1,125236,1,0,0,0
sfsarp-40-20-1.txt,-1000000000000.0,75.3,127197,1,0,0,0
sfsarp-40-20-2.txt,-1000000000000.0,10.3,125395,1,0,0,0
sfsarp-40-20-3.txt,-1000000000000.0,-38.6,130195,1,0,0,0
sfsarp-40-20-4.txt,-1000000000000.0,30.8,125691,1,0,0,0
sfsarp-40-20-5.txt,-1000000000000.0,16.6,125904,1,0,0,0
