Instance,LB,UB,Time,bcCountNodeProc,bcCountCutR1C,bcCountCutInMaster,bcCountCut3rowPackR1C
sfsarp-20-10-11.txt,17.813,17.813,47,1,0,0,0
sfsarp-20-10-21.txt,-0.83076,-0.83076,59,1,0,0,0
sfsarp-20-10-31.txt,24.0039,24.0039,74,1,0,0,0
sfsarp-20-10-41.txt,9.51088,9.51088,113,1,226,226,226
sfsarp-20-10-51.txt,25.4061,25.4061,70,1,0,0,0
sfsarp-30-15-11.txt,23.0809,23.0809,446,1,0,0,0
sfsarp-30-15-21.txt,0.88484,0.88484,1541,1,0,0,0
sfsarp-30-15-31.txt,2.32415,2.32415,699,1,150,150,150
sfsarp-30-15-41.txt,28.1736,28.1736,847,1,0,0,0
sfsarp-30-15-51.txt,-20.3161,-20.3161,3408,1,104,104,104
sfsarp-40-20-11.txt,30.5795,30.5795,50841,1,0,0,0
sfsarp-40-20-21.txt,34.953,34.9531,24255,1,0,0,0
sfsarp-40-20-31.txt,11.1736,11.1737,98789,1,254,254,254
sfsarp-40-20-41.txt,28.8054,28.8054,73205,1,300,300,300
sfsarp-40-20-51.txt,9.20509,9.20509,10296,1,0,0,0
