sarp-10-10-A-1	9	8	 0 1 2 3 4 5 6 7 
sarp-10-10-A-2	9	9	 0 1 2 3 4 5 6 7 8 
sarp-10-10-B-1	9	7	 0 1 2 3 4 7 8 
sarp-10-10-B-2	9	8	 0 1 3 4 5 6 7 8 
sarp-10-10-C-1	9	6	 1 3 4 5 6 7 
sarp-10-10-C-2	9	7	 0 2 3 4 6 7 8 
sarp-10-15-A-1	9	7	 0 1 2 4 6 7 8 
sarp-10-15-A-2	9	9	 0 1 2 3 4 5 6 7 8 
sarp-10-15-B-1	9	8	 0 1 3 4 5 6 7 8 
sarp-10-15-B-2	9	7	 0 1 2 4 5 6 8 
sarp-10-15-C-1	9	5	 0 1 3 6 7 
sarp-10-15-C-2	9	6	 1 3 4 6 7 8 
sarp-10-20-A-1	9	9	 0 1 2 3 4 5 6 7 8 
sarp-10-20-A-2	9	8	 0 1 2 3 4 5 6 8 
sarp-10-20-B-1	9	7	 1 2 3 4 6 7 8 
sarp-10-20-B-2	9	6	 1 2 3 4 5 7 
sarp-10-20-C-1	9	7	 0 2 4 5 6 7 8 
sarp-10-20-C-2	9	7	 0 1 2 5 6 7 8 
sarp-10-30-A-1	9	6	 0 1 2 4 6 7 
sarp-10-30-A-2	9	9	 0 1 2 3 4 5 6 7 8 
sarp-10-30-B-1	9	7	 0 1 2 3 4 6 7 
sarp-10-30-B-2	9	6	 0 1 3 4 6 8 
sarp-10-30-C-1	9	7	 0 1 3 4 6 7 8 
sarp-10-30-C-2	9	7	 0 1 2 3 4 5 8 
sarp-15-10-A-1	14	11	 0 2 3 4 5 7 8 10 11 12 13 
sarp-15-10-A-2	14	11	 0 1 2 4 7 8 9 10 11 12 13 
sarp-15-10-B-1	14	10	 0 1 2 3 4 5 6 7 8 9 
sarp-15-10-B-2	14	11	 0 1 2 4 5 6 8 9 11 12 13 
sarp-15-10-C-1	14	12	 0 1 2 3 4 5 6 7 9 10 11 12 
sarp-15-10-C-2	14	10	 0 1 3 4 6 7 8 10 11 12 
sarp-15-15-A-1	14	12	 0 1 2 3 4 5 6 7 8 9 11 12 
sarp-15-15-A-2	14	11	 0 1 2 4 5 6 7 8 9 11 12 
sarp-15-15-B-1	14	10	 1 2 3 4 5 6 7 10 11 13 
sarp-15-15-B-2	14	11	 0 3 4 5 6 7 8 10 11 12 13 
sarp-15-15-C-1	14	11	 0 1 2 3 4 5 6 7 10 12 13 
sarp-15-15-C-2	14	9	 0 4 5 7 8 10 11 12 13 
sarp-15-20-A-1	14	9	 0 1 2 3 4 9 10 11 12 
sarp-15-20-A-2	14	12	 0 1 2 3 5 6 7 8 9 11 12 13 
sarp-15-20-B-1	14	13	 0 1 2 3 4 5 6 7 8 9 10 12 13 
sarp-15-20-B-2	14	10	 2 3 4 6 8 9 10 11 12 13 
sarp-15-20-C-1	14	10	 2 3 4 5 7 8 10 11 12 13 
sarp-15-20-C-2	14	11	 0 1 2 4 5 6 7 9 11 12 13 
sarp-15-30-A-1	14	9	 0 2 5 7 8 9 10 11 12 
sarp-15-30-A-2	14	10	 0 3 4 5 6 7 8 9 11 12 
sarp-15-30-B-1	14	10	 0 1 2 3 4 5 6 7 12 13 
sarp-15-30-B-2	14	10	 0 2 3 4 7 8 9 10 11 13 
sarp-15-30-C-1	14	9	 0 2 4 5 6 8 9 12 13 
sarp-15-30-C-2	14	12	 0 1 2 3 4 5 7 9 10 11 12 13 
sarp-20-10-A-1	19	15	 0 2 3 4 5 6 7 10 11 13 14 15 16 17 18 
sarp-20-10-A-2	19	14	 0 1 2 3 4 6 7 8 10 11 12 13 15 16 
sarp-20-10-B-1	19	14	 1 2 3 4 5 6 8 9 11 12 13 14 15 17 
sarp-20-10-B-2	19	17	 0 1 2 3 5 6 7 8 9 10 11 12 13 14 16 17 18 
sarp-20-10-C-1	19	15	 0 1 2 3 4 5 6 7 8 9 11 13 15 16 17 
sarp-20-10-C-2	19	14	 0 1 2 3 4 5 6 7 8 12 13 14 17 18 
sarp-20-15-A-1	19	11	 0 2 3 5 8 9 12 14 15 16 18 
sarp-20-15-A-2	19	12	 0 1 2 4 5 6 7 8 10 12 13 16 
sarp-20-15-B-1	19	18	 0 1 2 3 4 5 6 7 8 9 10 11 12 14 15 16 17 18 
sarp-20-15-B-2	19	13	 0 1 3 4 5 8 10 12 13 14 15 16 18 
sarp-20-15-C-1	19	16	 0 1 2 3 5 6 7 8 9 10 11 12 13 14 15 18 
sarp-20-15-C-2	19	14	 0 1 2 4 5 6 7 8 11 12 13 16 17 18 
sarp-20-20-A-1	19	14	 0 1 2 3 4 5 6 7 8 9 11 13 15 16 
sarp-20-20-A-2	19	14	 1 3 4 5 6 9 10 11 12 13 15 16 17 18 
sarp-20-20-B-1	19	16	 1 3 4 5 6 7 9 10 11 12 13 14 15 16 17 18 
sarp-20-20-B-2	19	15	 2 3 4 5 6 7 8 9 10 11 12 13 15 16 18 
sarp-20-20-C-1	19	13	 1 2 4 6 8 9 10 12 13 14 16 17 18 
sarp-20-20-C-2	19	16	 0 1 2 3 4 5 6 7 8 11 12 13 14 15 16 18 
sarp-20-30-A-1			
sarp-20-30-A-2			
sarp-20-30-B-1			
