grubhub-15-0-03-0.tsp	1A		126.239		0.15	Infeasible	2.18352331606218	0.599430051813471	0.548445595854922		
grubhub-15-0-05-0.tsp	1A		134.419		0.16	Optimal	1.82345423143351	0.993592400690846	0.908514680483592		
grubhub-15-0-05-1.tsp	1A		134.737		0.26	Infeasible	1.84055267702936	0.940120898100173	0.891416234887737		
grubhub-15-0-05-2.tsp	1A		133.739		0.35	Optimal	1.81386873920553	0.966390328151986	0.918100172711572		
grubhub-15-0-05-3.tsp	1A		135.323		0.25	Infeasible	1.83858376511226	0.953488773747841	0.893385146804836		
grubhub-15-0-05-4.tsp	1A		135.207		0.55	Optimal	1.81210708117444	0.946493955094992	0.91986183074266		
grubhub-15-0-05-5.tsp	1A		134		0.24	Infeasible	1.8394127806563	0.962556131260794	0.892556131260794		
grubhub-15-0-05-6.tsp	1A		134.775		0.62	Optimal	1.80008635578584	0.99146804835924	0.931882556131261		
grubhub-15-0-05-7.tsp	1A		134.087		0.25	Infeasible	1.83594127806563	1.00089810017271	0.896027633851468		
grubhub-15-0-05-8.tsp	1A		134.895		0.40	Optimal	1.83029360967185	0.925975820379965	0.90167530224525		
grubhub-15-0-05-9.tsp	1A		133.267		0.27	Infeasible	1.82982728842832	0.935250431778929	0.902141623488774		
grubhub-15-0-10-0.tsp	1A		154.68		0.31	Optimal	0.91405872193437	1.89086355785838	1.81791018998273		
grubhub-15-0-10-1.tsp	1A		153.057		0.23	Infeasible	0.910224525043178	1.98221070811744	1.82174438687392		
grubhub-15-0-10-2.tsp	1A		155.621		0.79	Optimal	0.91405872193437	1.9114335060449	1.81791018998273		
grubhub-15-0-10-3.tsp	1A		153.195		0.26	Infeasible	0.918514680483592	1.9133506044905	1.81345423143351		
grubhub-15-0-10-4.tsp	1A		155.49		0.70	Optimal	0.912037996545769	1.92552677029361	1.81993091537133		
grubhub-15-0-10-5.tsp	1A		152.239		0.25	Infeasible	0.910224525043178	1.99863557858376	1.82174438687392		
grubhub-15-0-10-6.tsp	1A		155.018		0.68	Optimal	0.91587219343696	1.93060449050086	1.81609671848014		
grubhub-15-0-10-7.tsp	1A		153.527		0.20	Infeasible	0.92447322970639	1.90189982728843	1.80749568221071		
grubhub-15-0-10-8.tsp	1A		154.82		0.35	Optimal	0.927582037996546	2.00371329879102	1.80438687392055		
grubhub-15-0-10-9.tsp	1A		153.843		0.27	Infeasible	0.904421416234888	1.96946459412781	1.82754749568221		
grubhub-15-0-15-1.tsp	1A		177.009		0.66	Optimal	0	2.82212435233161	2.7319689119171		
grubhub-15-0-15-2.tsp	1A		174.356		0.79	Infeasible	0	2.90186528497409	2.7319689119171		
grubhub-15-0-15-3.tsp	1A		171.926		1.60	Optimal	0	2.94834196891192	2.7319689119171		
grubhub-15-0-15-4.tsp	1A		174.595		0.63	Infeasible	0	2.81279792746114	2.7319689119171		
grubhub-15-0-15-5.tsp	1A		171.889		2.43	Optimal	0	3.03937823834197	2.7319689119171		
grubhub-15-0-15-6.tsp	1A		173.606		0.76	Infeasible	0	2.93580310880829	2.7319689119171		
grubhub-15-0-15-7.tsp	1A		172.633		2.55	Optimal	0	3.01647668393782	2.7319689119171		
grubhub-15-0-15-8.tsp	1A		174.337		0.80	Infeasible	0	2.9579792746114	2.7319689119171		
grubhub-15-0-15-9.tsp	1A		172.554		1.23	Optimal	0	2.92772020725389	2.7319689119171		
grubhub-15-1-03-1.tsp	1A		126.584		0.78	Infeasible	2.21010362694301	0.600569948186528	0.525181347150259		
grubhub-15-1-05-0.tsp	1A		136.037		3.16	Optimal	1.83806563039724	0.98006908462867	0.897219343696028		
grubhub-15-1-05-1.tsp	1A		135.197		0.74	Infeasible	1.84179620034542	0.956027633851468	0.893488773747841		
grubhub-15-1-05-2.tsp	1A		134.648		1.60	Optimal	1.8273920552677	0.940742659758204	0.907892918825561		
grubhub-15-1-05-3.tsp	1A		135.483		0.64	Infeasible	1.83500863557858	0.977685664939551	0.90027633851468		
grubhub-15-1-05-4.tsp	1A		135.611		2.81	Optimal	1.83578583765112	0.961157167530225	0.899499136442142		
grubhub-15-1-05-5.tsp	1A		135.429		0.68	Infeasible	1.81376511226252	1.0007426597582	0.921519861830743		
grubhub-15-1-05-6.tsp	1A		135.043		2.37	Optimal	1.82682210708117	1.01742659758204	0.90846286701209		
grubhub-15-1-05-7.tsp	1A		134.913		0.76	Infeasible	1.82666666666667	0.991934369602764	0.908618307426597		
grubhub-15-1-05-8.tsp	1A		135.659		1.34	Optimal	1.83692573402418	0.90426597582038	0.898359240069085		
grubhub-15-1-05-9.tsp	1A		133.869		0.66	Infeasible	1.83029360967185	0.97126079447323	0.904991364421416		
grubhub-15-1-10-0.tsp	1A		155.802		1.11	Optimal	0.915716753022452	1.89459412780656	1.81956822107081		
grubhub-15-1-10-1.tsp	1A		154.191		2.06	Infeasible	0.923385146804836	1.96791018998273	1.81189982728843		
grubhub-15-1-10-2.tsp	1A		155.522		3.39	Optimal	0.928514680483592	1.95879101899827	1.80677029360967		
grubhub-15-1-10-3.tsp	1A		154.256		1.55	Infeasible	0.948773747841105	1.90221070811744	1.78651122625216		
grubhub-15-1-10-4.tsp	1A		156.62		3.34	Optimal	0.887115716753022	1.93231433506045	1.84816925734024		
grubhub-15-1-10-5.tsp	1A		152.947		2.02	Infeasible	0.923385146804836	1.97915371329879	1.81189982728843		
grubhub-15-1-10-6.tsp	1A		157.104		7.53	Optimal	0.922504317789292	1.91951640759931	1.81278065630397		
grubhub-15-1-10-7.tsp	1A		153.73		1.56	Infeasible	0.935146804835924	1.90371329879102	1.80013816925734		
grubhub-15-1-10-8.tsp	1A		155.961		5.27	Optimal	0.916493955094991	1.97620034542314	1.81879101899827		
grubhub-15-1-10-9.tsp	1A		154.67		1.48	Infeasible	0.935146804835924	1.92018998272884	1.80013816925734		
grubhub-15-1-15-0.tsp	1A		176.743		7.20	Optimal	0	2.86124352331606	2.73528497409326		
grubhub-15-1-15-2.tsp	1A		175.259		1.59	Infeasible	0	2.88248704663213	2.73528497409326		
grubhub-15-1-15-3.tsp	1A		173.651		3.16	Optimal	0	2.90238341968912	2.73528497409326		
grubhub-15-1-15-4.tsp	1A		175.107		1.50	Infeasible	0	2.84989637305699	2.73528497409326		
grubhub-15-1-15-5.tsp	1A		174.146		6.63	Optimal	0	2.96450777202073	2.73528497409326		
grubhub-15-1-15-6.tsp	1A		174.364		2.04	Infeasible	0	2.88341968911917	2.73528497409326		
grubhub-15-1-15-7.tsp	1A		173.75		8.81	Optimal	0	2.97518134715026	2.73528497409326		
grubhub-15-1-15-8.tsp	1A		176.534		1.96	Infeasible	0	2.90419689119171	2.73528497409326		
grubhub-15-1-15-9.tsp	1A		174.087		2.98	Optimal	0	2.91025906735751	2.73528497409326		
grubhub-15-2-03-2.tsp	1A		123.402		0.15	Infeasible	2.14046632124352	0.557616580310881	0.548238341968912		
grubhub-15-2-05-0.tsp	1A		133.341		0.17	Optimal	1.77645941278066	0.958359240069085	0.912245250431779		
grubhub-15-2-05-1.tsp	1A		132.913		0.26	Infeasible	1.81827288428325	0.943488773747841	0.870431778929188		
grubhub-15-2-05-2.tsp	1A		132.092		0.36	Optimal	1.78842832469775	0.942348877374784	0.90027633851468		
grubhub-15-2-05-3.tsp	1A		133.477		0.26	Infeasible	1.78635578583765	0.951364421416235	0.902348877374784		
grubhub-15-2-05-4.tsp	1A		132.666		0.31	Optimal	1.79987910189983	0.963333333333333	0.888825561312608		
grubhub-15-2-05-5.tsp	1A		132.318		0.22	Infeasible	1.77283246977548	0.963488773747841	0.91587219343696		
grubhub-15-2-05-6.tsp	1A		133.267		0.30	Optimal	1.7693091537133	0.967841105354059	0.919395509499136		
grubhub-15-2-05-7.tsp	1A		132.542		0.21	Infeasible	1.80008635578584	0.961157167530225	0.888618307426598		
grubhub-15-2-05-8.tsp	1A		132.465		0.64	Optimal	1.78656303972366	0.935043177892919	0.902141623488774		
grubhub-15-2-05-9.tsp	1A		130.5		0.23	Infeasible	1.79842832469775	0.964421416234888	0.89027633851468		
grubhub-15-2-10-0.tsp	1A		152.71		0.60	Optimal	0.885198618307427	1.87433506044905	1.80350604490501		
grubhub-15-2-10-1.tsp	1A		151.483		0.25	Infeasible	0.874576856649395	1.9393609671848	1.81412780656304		
grubhub-15-2-10-2.tsp	1A		153.63		0.33	Optimal	0.90566493955095	1.89412780656304	1.78303972366149		
grubhub-15-2-10-3.tsp	1A		151.641		0.25	Infeasible	0.883436960276338	1.86723661485319	1.8052677029361		
grubhub-15-2-10-4.tsp	1A		153.374		1.42	Optimal	0.91006908462867	1.94993091537133	1.77863557858377		
grubhub-15-2-10-5.tsp	1A		150.74		0.26	Infeasible	0.895094991364421	1.95832469775475	1.79360967184801		
grubhub-15-2-10-6.tsp	1A		153.096		0.34	Optimal	0.907426597582038	1.92226252158895	1.7812780656304		
grubhub-15-2-10-7.tsp	1A		150.777		0.26	Infeasible	0.889343696027634	1.91101899827288	1.7993609671848		
grubhub-15-2-10-8.tsp	1A		152.584		0.68	Optimal	0.882504317789292	1.99873920552677	1.80620034542314		
