,,,,,,,,,,,,,,,,,,,,,
100000,100000,100000,100000,100000,7.778,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
100000,100000,100000,100000,100000,100000,9.522,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
100000,100000,100000,100000,100000,100000,100000,7.068,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
100000,100000,100000,100000,100000,100000,100000,100000,2.024,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
100000,100000,100000,100000,100000,100000,100000,100000,100000,5.912,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
100000,7.438,100000,14.028,100000,100000,100000,100000,100000,100000,4.544,4.486,13.172,13.322,16.21,12.354,5.556,11.242,9.31,12.404,0,0
100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,6.84,6.968,12.472,15.468,14.944,14.404,5.456,9.52,11.888,10.418,0,0
11.608,3.904,100000,2.968,100000,100000,100000,100000,100000,100000,6.84,7.236,12.06,3.042,16.24,1.78,9.184,14.848,5.68,16.61,0,0
100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,8.532,8.666,15.21,0.494,19.384,1.416,12,17.96,5.106,19.716,0,0
9.49,18.636,15.008,22.102,100000,100000,100000,100000,100000,100000,18.022,18.704,8.008,22.662,4.718,21.412,12.508,5.7,22.612,4.54,0,0
8.568,2.948,3.094,9.526,14.548,100000,100000,100000,100000,100000,100000,0.786,12.348,8.78,16.132,7.83,5.52,12.396,5.236,13.944,100000,100000
9.226,3.338,3.846,9.802,15.312,100000,100000,100000,100000,100000,0.786,100000,13.126,8.95,16.888,8.08,6.196,13.054,4.934,14.572,100000,100000
5.934,11.962,9.314,14.284,2.474,100000,100000,100000,100000,100000,12.348,13.126,100000,15.002,4.186,13.794,7.64,5.43,15.974,6.774,100000,100000
14.592,5.946,9.74,1.532,17.466,100000,100000,100000,100000,100000,8.78,8.95,15.002,100000,19.166,1.266,12.046,17.886,5.552,19.646,100000,100000
8.448,16.036,13.04,18.402,1.71,100000,100000,100000,100000,100000,16.132,16.888,4.186,19.166,100000,17.968,10.958,5.806,20.064,6.074,100000,100000
13.334,4.92,8.564,1.74,16.262,100000,100000,100000,100000,100000,100000,8.08,13.794,1.266,17.968,100000,10.82,16.618,5.322,18.38,0,0
3.054,6.678,2.628,12.14,9.506,100000,100000,100000,100000,100000,5.52,100000,7.64,12.046,10.958,10.82,100000,6.878,10.38,8.458,0,0
3.828,13.278,9.45,17.568,5.242,100000,100000,100000,100000,100000,12.396,13.054,100000,17.886,5.806,16.618,6.878,100000,17.164,1.764,0,0
13.4,4.032,7.752,6.914,18.382,100000,100000,100000,100000,100000,5.236,4.934,15.974,100000,20.064,5.322,10.38,17.164,100000,18.81,0,0
5.412,14.964,11.066,19.332,6.002,100000,100000,100000,100000,100000,13.944,14.572,6.774,19.646,100000,18.38,8.458,1.764,18.81,100000,0,0
13.288,5.832,7.924,10.62,19.36,100000,100000,100000,100000,100000,4.828,4.094,17.12,9.318,20.956,100000,100000,100000,100000,100000,0,100000
13.288,5.832,7.924,10.62,19.36,100000,100000,100000,100000,100000,4.828,4.094,17.12,9.318,20.956,100000,100000,100000,100000,100000,100000,0
