
Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
grubhub-10-0.tsp ,3.32553,0.754959,0.593984,3.52829,23.4746,0.322602,32,10.3923,2.35925,1.8562,11.0259,73.3582,1.00813
grubhub-10-1.tsp ,3.63951,0.417886,0,2.99024,16.2198,1.52656e-16,23.2675,15.6421,1.79601,0,12.8516,69.7103,6.5609e-16
grubhub-10-2.tsp ,3.48341,0.516423,0,3.08341,11.4937,-4.02456e-16,18.577,18.7512,2.77991,0,16.598,61.8708,-2.16642e-15
grubhub-10-3.tsp ,2.84211,0.516423,0.367642,2.8922,13.7567,1.19325,21.5684,13.1772,2.39435,1.70454,13.4094,63.782,5.53242
grubhub-10-4.tsp ,3.77675,0.43935,0.427642,3.43561,10.435,3.35,21.8643,17.2736,2.00944,1.95589,15.7133,47.726,15.3218
grubhub-10-5.tsp ,3.8439,0.533496,0,3.89366,23.6752,2.42861e-15,31.9463,12.0324,1.66998,0,12.1882,74.1095,7.60218e-15
grubhub-10-6.tsp ,3.51659,0.477886,0,2.59171,15.5611,-6.89726e-15,22.1473,15.8782,2.15776,0,11.7021,70.262,-3.11426e-14
grubhub-10-7.tsp ,3.12146,0.428618,0,2.96683,13.2273,0.126341,19.8706,15.709,2.15705,0,14.9308,66.5674,0.635821
grubhub-10-8.tsp ,4.06195,0.280325,0,3.4439,16.3833,-9.71445e-17,24.1694,16.8061,1.15983,0,14.249,67.785,-4.01931e-16
grubhub-10-9.tsp ,3.20585,0.357398,0,2.75951,12.8846,2.71699,21.9244,14.6223,1.63014,0,12.5865,58.7685,12.3926

Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
grubhub-10-0.tsp ,3.0252,0.754959,0.593984,3.21561,24.0876,0.322602,32,9.45376,2.35925,1.8562,10.0488,75.2739,1.00813
grubhub-10-1.tsp ,3.21333,0.844065,0,2.99024,16.2198,6.93889e-16,23.2675,13.8104,3.62766,0,12.8516,69.7103,2.98223e-15
grubhub-10-2.tsp ,2.84764,0.922602,0.304228,2.68293,10.5539,0.328699,17.64,16.1431,5.23017,1.72465,15.2093,59.8294,1.86337
grubhub-10-3.tsp ,2.62569,0.974797,0.297398,2.46439,14.0353,-9.5618e-15,20.3976,12.8726,4.77899,1.45801,12.0818,68.8086,-4.68772e-14
grubhub-10-4.tsp ,3.37642,0.839675,0.427642,3.20341,10.6038,3.35,21.801,15.4875,3.85155,1.96157,14.6939,48.6392,15.3663
grubhub-10-5.tsp ,3.41431,0.963089,0,3.50439,20.1474,4.57967e-15,28.0292,12.1813,3.43602,0,12.5026,71.8801,1.63389e-14
grubhub-10-6.tsp ,2.25902,1.32894,0.960163,1.85024,13.2616,0.704715,20.3647,11.0928,6.52571,4.71483,9.08554,65.1206,3.46047
grubhub-10-7.tsp ,2.41593,1.2226,0.270569,2.54439,13.5624,3.59171,23.6076,10.2337,5.17885,1.14611,10.7778,57.4493,15.2142
grubhub-10-8.tsp ,3.15447,0.895285,0.523252,2.8322,18.5639,5.32163,31.2907,10.0812,2.86118,1.67223,9.05123,59.3272,17.007
grubhub-10-9.tsp ,2.94748,0.615772,0,2.62927,14.4256,1.19528,21.8134,13.5122,2.82291,0,12.0534,66.1318,5.47958

Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
grubhub-10-0.tsp ,2.54049,1.23967,0.593984,2.58049,24.7228,0.322602,32,7.93902,3.87398,1.8562,8.06402,77.2586,1.00813
grubhub-10-1.tsp ,1.69008,1.7961,1.08878,1.89122,12.716,4.8178,24,7.04201,7.48374,4.53659,7.88008,52.9834,20.0742
grubhub-10-2.tsp ,0.873171,2.3522,1.78081,1.4039,9.42317,1.73276,17.566,4.9708,13.3906,10.1378,7.99215,53.6443,9.8643
grubhub-10-3.tsp ,1.89724,1.22878,0.665041,2.2239,14.7038,0.980163,21.6989,8.74345,5.66286,3.06485,10.2489,67.7628,4.5171
grubhub-10-4.tsp ,2.94049,1.25561,0.435935,2.78293,8.30171,6.7761,22.4928,13.073,5.58228,1.93811,12.3725,36.9083,30.1257
grubhub-10-5.tsp ,2.47171,1.48195,0.458374,2.44488,16.4003,6.245e-15,23.2572,10.6277,6.372,1.97089,10.5123,70.5171,2.68519e-14
grubhub-10-6.tsp ,1.86748,1.78195,0.960163,1.49805,16.5768,-8.72913e-15,22.6845,8.23241,7.85538,4.23269,6.60385,73.0757,-3.84806e-14
grubhub-10-7.tsp ,2.38081,1.16927,0,2.68341,10.5382,1.67935,18.4511,12.9034,6.33713,0,14.5434,57.1144,9.10164
grubhub-10-8.tsp ,2.55951,1.3478,0.573008,2.41463,6.73577,6.20829,19.839,12.9014,6.79371,2.88829,12.1711,33.9521,31.2933
grubhub-10-9.tsp ,2.36098,0.929268,0.293008,2.2161,18.2007,-7.09155e-15,24,9.8374,3.87195,1.22087,9.23374,75.836,-2.95481e-14

Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
grubhub-10-0.tsp ,1.12976,1.9478,1.39951,1.95512,16.6216,0.946179,24,4.70732,8.11585,5.8313,8.14634,69.2568,3.94241
grubhub-10-1.tsp ,0.792846,2.4413,1.48911,1.38585,17.712,0.178943,24,3.30352,10.1721,6.20461,5.77439,73.7998,0.745596
grubhub-10-2.tsp ,1.2278,2.01106,1.14341,1.98146,13.357,0.836667,20.5574,5.97257,9.78264,5.56206,9.63869,64.9741,4.06991
