Instance,SumCol2,SumCol3,SumCol4,Col5_from_csv2,Col6_from_csv2,Col7_from_csv2,Status
ghsarp,,,,,,,
ghsarp-10-5-0,0.29,52.7157,52.7157,5.0,1.9593,80.332,Feasible
ghsarp-10-5-1,0.27,63.3054,63.3054,5.0,1.3547,55.544,Optimal
ghsarp-10-5-2,0.25,48.7419,48.7419,5.0,1.6654,68.282,Feasible
ghsarp-10-5-3,0.3,45.7271,45.7271,4.0,1.3594,55.736,Feasible
ghsarp-10-5-4,0.4,43.9291,43.9291,5.0,1.4285,58.57,Feasible
ghsarp-10-5-5,0.38,56.4508,56.4508,5.0,1.5248,62.516,Optimal
ghsarp-10-5-6,0.29,47.3014,47.3014,5.0,1.6107,66.038,Feasible
ghsarp-10-5-7,0.33,58.5016,58.5016,5.0,1.5099,61.906,Optimal
ghsarp-10-5-8,0.33,65.3706,65.3706,5.0,1.3338,54.686,Feasible
ghsarp-10-5-9,0.31,45.4974,45.4974,5.0,1.8981,77.82,Optimal
ghsarp-5-10-0,0.27,53.355,53.355,9.0,0.9841,40.348,Optimal
ghsarp-5-10-1,0.51,66.3348,66.3348,10.0,0.5953,24.408,Optimal
ghsarp-5-10-2,0.24,44.4893,44.4893,10.0,1.6354,67.05,Optimal
ghsarp-5-10-3,0.26,47.1206,47.1206,9.0,0.386,15.824,Optimal
ghsarp-5-10-4,126.29,43.0537,43.0525,10.0,0.2746,11.26,Optimal
ghsarp-5-10-5,0.24,60.4547,60.4547,10.0,0.7583,31.092,Optimal
ghsarp-5-10-6,6.0,43.4059,43.4049,10.0,1.1509,47.188,Optimal
ghsarp-5-10-7,0.91,52.7511,52.7503,10.0,0.7506,30.774,Optimal
ghsarp-5-10-8,0.23,70.2437,70.2433,9.0,0.24,9.84,Optimal
ghsarp-5-10-9,1.19,49.2378,49.2378,9.0,0.8417,34.51,Optimal
ghsarp-5-5-0,0.03,23.3952,23.3952,4.0,1.2423,50.934,Optimal
ghsarp-5-5-1,0.05,32.9424,32.9424,5.0,0.8979,36.812,Optimal
