2.3885	4.6563
1.1156	1.084
2.2378	2.4631
2.3746	0.1683
4.7702	4.7925
0.7696	1.3054
0.9487	1.8039
3.1129	0.8343
0.4201	2.9492
4.8065	1.0466
3.8906	2.4841
3.9621	4.7246
2.1986	2.5229
4.1406	4.4873
3.6839	1.222
3.8142	4.6372
0.3211	3.5844
4.4297	1.0906
4.8899	0.3784
2.8945	3.0028
0.1892	4.5302
0.952	1.0193
2.8468	2.3689
2.2626	0.1528
4.9298	4.3967
0.842	1.5923
1.0376	1.6948
3.2407	0.6592
1.2295	2.7096
4.5673	0.702
3.8002	3.1306
4.2075	4.7995
2.3059	1.4453
4.3612	4.8426
4.3297	2.2358
3.2696	4.3706
1.2128	3.3146
3.5034	3.3233
1.1333	2.2504
0.8462	3.7079
0.0094	2.0853
2.3885	4.6563
