 1A
Instance,c(km),p(km),b(km),e(km),Total,c(%),p(%),b(%),e(%)
 sarp-10-10-A-1,33.9714,99.1958,3.57692,66.3232,203.067,16.7291,48.8487,1.76144,32.6607
 sarp-10-10-A-2,24.7345,73.1476,1.56837,79.6079,179.058,13.8136,40.8513,0.875901,44.4592
 sarp-10-10-B-1,40.2487,35.9929,5.38009,43.4547,125.076,32.1793,28.7767,4.30144,34.7425
 sarp-10-10-B-2,30.0331,56.0008,7.02628,54.604,147.664,20.3388,37.9244,4.75829,36.9785
 sarp-10-10-C-1,122.382,96.9499,22.3362,27.6068,269.275,45.4488,36.004,8.29493,10.2522
 sarp-10-10-C-2,94.5543,147.133,56.0998,31.796,329.583,28.6891,44.6422,17.0214,9.64734
 sarp-10-15-A-1,21.7927,81.715,2.71463,38.6261,144.848,15.0452,56.4141,1.87412,26.6666
 sarp-10-15-A-2,20.55,61.0617,6.54658,37.4398,125.598,16.3617,48.6167,5.21233,29.8092
 sarp-10-15-B-1,45.166,0,0,78.9333,124.099,36.3951,0,0,63.6049
 sarp-10-15-B-2,34.3575,0,0,66.1298,100.487,34.1909,0,0,65.8091
 sarp-10-15-C-1,50.4907,92.0732,71.4322,48.871,262.867,19.2077,35.0265,27.1743,18.5915
 sarp-10-15-C-2,120.94,101.154,31.1599,36.343,289.598,41.7615,34.9293,10.7597,12.5495
 sarp-20-30-A-1,29.0505,0,0,113.36,142.411,20.3991,0,0,79.6009
 sarp-20-30-A-2,28.9268,86.5329,2.28333,74.9185,192.661,15.0143,44.9145,1.18515,38.8861
 sarp-20-30-B-1,32.9659,70.4679,10.7801,82.3173,196.531,16.7739,35.8558,5.48517,41.8851
 sarp-20-30-B-2,46.1747,62.0039,6.69784,88.7888,203.665,22.6719,30.444,3.28865,43.5954
 sarp-20-30-C-1,246.675,0,0,109.51,356.185,69.2547,0,0,30.7453
 sarp-20-30-C-2,242.194,0,0,87.6891,329.884,73.4181,0,0,26.5819
 sarp-30-10-A-1,59.9026,0,0,121.477,181.379,33.0261,0,0,66.9739
 sarp-30-10-A-2,49.0235,73.2162,10.8883,184.688,317.816,15.4251,23.0373,3.42597,58.1116
 sarp-30-10-B-1,76.1846,107.543,20.3737,127.242,331.344,22.9926,32.4568,6.1488,38.4018
 sarp-30-10-B-2,73.9898,108.33,16.93,114.523,313.773,23.5807,34.5251,5.39562,36.4986
 sarp-30-10-C-1,337.544,118.542,82.7765,141.97,680.832,49.5781,17.4113,12.1581,20.8525
 sarp-30-10-C-2,335.424,129.219,97.2863,101.373,663.303,50.5688,19.4811,14.6669,15.2831
 sarp-30-15-A-1,43.937,69.4043,4.8762,127.636,245.854,17.8712,28.2299,1.98337,51.9155
 sarp-30-15-A-2,53.1953,58.6904,15.1762,100.382,227.444,23.3884,25.8044,6.67251,44.1348
 sarp-30-15-B-1,64.8531,81.6468,8.56687,81.2522,236.319,27.4431,34.5494,3.62513,34.3824
 sarp-30-15-B-2,64.8923,99.38,11.1049,65.1608,240.538,26.978,41.3157,4.61668,27.0896
 sarp-30-15-C-1,375.948,165.722,66.9546,177.042,785.667,47.8508,21.0932,8.52201,22.534
 sarp-30-15-C-2,409.172,0,0,131.404,540.577,75.6918,0,0,24.3082
