Instance Name , n, m, served, prof Customer, prof Cust Part, prof Parcel, costs, K, Sol Time, Sol Val, sol Stat, LB, UB, GAP, vrps, e(h), et(%), e(km), ed(%) 
sarp-10-10-A-1,10,10,10,57.326,46.194,0,63.158,2,0.01,-5.832,Optimal,-5.832,-5.832,6.09176e-14,63.158,1.11707,0.222727,45.8,0.444085
sarp-10-10-A-2,10,10,10,62.064,48.816,0,54.28,3,0.01,7.784,Optimal,7.784,7.784,-2.28206e-14,54.28,1.01707,0.223792,41.7,0.497416
sarp-10-10-B-1,10,10,10,71.643,54.117,0,52.67,3,0.01,18.973,Optimal,18.973,18.973,0,52.67,0.780488,0.175023,32,0.39834
sarp-10-10-B-2,10,10,10,71.025,53.775,0,50.462,3,0.01,20.563,Optimal,20.563,20.563,0,50.462,0.856098,0.197154,35.1,0.464695
sarp-10-10-C-1,10,10,10,143.331,93.789,0,80.086,3,0.01,63.245,Optimal,63.245,63.245,-1.12348e-14,80.086,1.07805,0.182318,44.2,0.315865
sarp-10-10-C-2,10,10,10,154.455,99.945,0,88.642,3,0,65.813,Optimal,65.813,65.813,0,88.642,1.12195,0.176223,46,0.29016
sarp-10-15-A-1,10,15,10,54.133,44.427,0,37.26,4,0.01,16.873,Optimal,16.873,16.873,0,37.26,0.77561,0.212946,31.8,0.679004
sarp-10-15-A-2,10,15,10,53.721,44.199,0,57.086,3,0.01,-3.365,Optimal,-3.365,-3.365,1.05578e-13,57.086,1.1561,0.246319,47.4,0.527057
sarp-10-15-B-1,10,15,10,69.171,52.749,0,51.014,3,0.01,18.157,Optimal,18.157,18.157,-1.95666e-14,51.014,1.00976,0.230984,41.4,0.539531
sarp-10-15-B-2,10,15,10,68.862,52.578,0,44.85,4,0.02,24.012,Optimal,24.012,24.012,-1.47956e-14,44.85,1.03902,0.256884,42.6,0.672632
sarp-10-15-C-1,10,15,10,147.966,96.354,0,84.64,3,0.02,63.326,Optimal,63.326,63.326,0,84.64,1.42195,0.231044,58.3,0.389099
sarp-10-15-C-2,10,15,10,202.041,126.279,0,124.016,3,0.01,78.025,Optimal,78.025,78.025,0,124.016,2.10488,0.255376,86.3,0.366558
sarp-10-20-A-1,10,20,10,51.558,43.002,0,52.394,2,0.01,-0.836,Optimal,-0.836,-0.836,-0,52.394,0.682927,0.153649,28,0.351171
sarp-10-20-A-2,10,20,10,56.811,45.909,0,46.092,3,0.01,10.719,Optimal,10.719,10.719,0,46.092,0.797561,0.194027,32.7,0.495204
sarp-10-20-B-1,10,20,10,68.759,52.521,0,59.57,2,0.01,9.189,Optimal,9.189,9.189,0,59.57,0.753659,0.156192,30.9,0.324126
sarp-10-20-B-2,10,20,10,68.965,52.635,0,53.406,3,0.01,15.559,Optimal,15.559,15.559,0,53.406,0.697561,0.15507,28.6,0.349064
sarp-10-20-C-1,10,20,10,175.055,111.345,0,100.418,4,0.02,74.637,Optimal,74.637,74.637,0,100.418,1.95122,0.279102,80,0.434468
sarp-10-20-C-2,10,20,10,187.724,118.356,0,104.788,4,0.02,82.936,Optimal,82.936,82.936,0,104.788,1.9,0.263057,77.9,0.402307
sarp-5-15-A-1,5,15,5,28.457,22.983,0,15.916,2,0,12.541,Optimal,12.541,12.541,0,15.916,0.290244,0.173049,11.9,0.679353
sarp-5-15-A-2,5,15,5,29.693,23.667,0,18.262,2,0,11.431,Optimal,11.431,11.431,-4.66195e-14,18.262,0.302439,0.16787,12.4,0.548268
sarp-5-15-B-1,5,15,5,26.294,21.786,0,25.99,2,0,0.304,Optimal,0.304,0.304,-2.92164e-13,25.99,0.421951,0.190809,17.3,0.438901
sarp-5-15-B-2,5,15,5,34.74,26.46,0,25.576,2,0,9.164,Optimal,9.164,9.164,-7.75363e-14,25.576,0.590244,0.269588,24.2,0.628299
sarp-5-15-C-1,5,15,5,90.154,57.126,0,55.706,2,0,34.448,Optimal,34.448,34.448,0,55.706,1.56341,0.412838,64.1,0.616247
sarp-5-15-C-2,5,15,5,86.137,54.903,0,52.946,3,0.01,33.191,Optimal,33.191,33.191,0,52.946,1.7,0.46695,69.7,0.711104
sarp-5-20-A-1,5,20,5,28.251,22.869,0,30.912,3,0,-2.661,Optimal,-2.661,-2.661,-0,30.912,0.939024,0.379809,38.5,0.768208
sarp-5-20-A-2,5,20,5,28.354,22.926,0,27.554,2,0,0.8,Optimal,0.8,0.8,-2.22045e-13,27.554,0.863415,0.376329,35.4,0.826781
sarp-5-20-B-1,5,20,5,32.989,25.491,0,31.05,2,0.01,1.939,Optimal,1.939,1.939,0,31.05,0.880488,0.355082,36.1,0.716033
sarp-5-20-B-2,5,20,5,35.152,26.688,0,27.462,2,0.01,7.69,Optimal,7.69,7.69,-5.77489e-14,27.462,0.639024,0.279119,26.2,0.614783
sarp-5-20-C-1,5,20,5,94.686,59.634,0,64.814,2,0,29.872,Optimal,29.872,29.872,1.18931e-14,64.814,0.563415,0.13195,23.1,0.186566
sarp-5-20-C-2,5,20,5,64.095,42.705,0,41.262,2,0.01,22.833,Optimal,22.833,22.833,0,41.262,1.22195,0.404467,50.1,0.689924
sarp-5-30-A-1,5,30,5,20.938,18.822,0,24.196,2,0.01,-3.258,Optimal,-3.258,-3.258,-0,24.196,0.395122,0.186708,16.2,0.456124
sarp-5-30-A-2,5,30,5,25.676,21.444,0,22.632,3,0,3.044,Optimal,3.044,3.044,-8.7534e-14,22.632,0.565854,0.278289,23.2,0.722366
sarp-5-30-B-1,5,30,5,25.779,21.501,0,23.046,3,0,2.733,Optimal,2.733,2.733,-3.24983e-14,23.046,0.660976,0.321598,27.1,0.820798
sarp-5-30-B-2,5,30,5,33.71,25.89,0,28.75,2,0,4.96,Optimal,4.96,4.96,-3.58136e-14,28.75,0.790244,0.335172,32.4,0.713394
sarp-5-30-C-1,5,30,5,74.91,48.69,0,34.178,3,0.01,40.732,Optimal,40.732,40.732,-1.74443e-14,34.178,1.23902,0.468347,50.8,0.887853
sarp-5-30-C-2,5,30,5,71.408,46.752,0,52.854,2,0,18.554,Optimal,18.554,18.554,0,52.854,1.35854,0.373658,55.7,0.569433
sarp-10-30-A-1,10,30,10,49.704,41.976,0,57.684,2,0.01,-7.98,Optimal,-7.98,-7.98,-0,57.684,1.04878,0.221955,43,0.471319
sarp-10-30-A-2,10,30,10,52.382,43.458,0,55.66,2,0.01,-3.278,Optimal,-3.278,-3.278,5.41903e-14,55.66,0.463415,0.100352,19,0.21881
sarp-10-30-B-1,10,30,10,52.794,43.686,0,42.228,2,0.01,10.566,Optimal,10.566,10.566,0,42.228,0.443902,0.113655,18.2,0.315789
sarp-10-30-B-2,10,30,10,56.399,45.681,0,41.492,3,0.02,14.907,Optimal,14.907,14.907,0,41.492,0.6,0.155172,24.6,0.439024
sarp-10-30-C-1,10,30,10,134.885,89.115,0,76.452,4,0.03,58.433,Optimal,58.433,58.433,0,76.452,1.66341,0.29079,68.2,0.516536
sarp-10-30-C-2,10,30,10,151.571,98.349,0,96.922,3,0.02,54.649,Optimal,54.649,54.649,0,96.922,1.20732,0.177398,49.5,0.2804
sarp-15-10-A-1,15,10,10,93.817,73.623,0,88.78,3,0.02,5.037,Optimal,5.037,5.037,-1.41065e-13,88.78,1.11707,0.154992,45.8,0.323104
sarp-15-10-A-2,15,10,10,82.59,67.41,0,69.046,3,0.03,13.544,Optimal,13.544,13.544,-1.04924e-13,69.046,1.42439,0.231196,58.4,0.590794
sarp-15-10-B-1,15,10,10,90.624,71.856,0,75.9,5,0.03,14.724,Optimal,14.724,14.724,0,75.9,1.76829,0.271028,72.5,0.637363
sarp-15-10-B-2,15,10,10,100.821,77.499,0,78.844,3,0.03,21.977,Optimal,21.977,21.977,0,78.844,2.05854,0.308142,84.4,0.702455
sarp-15-10-C-1,15,10,10,245.124,157.356,0,145.774,3,0.03,99.35,Optimal,99.35,99.35,0,145.774,3.42195,0.334526,140.3,0.528139
sarp-15-10-C-2,15,10,10,206.911,136.209,0,114.678,4,0.03,92.233,Optimal,92.233,92.233,0,114.678,2.27561,0.265208,93.3,0.471093
sarp-15-15-A-1,15,15,15,98.452,76.188,0,62.56,5,0.04,35.892,Optimal,35.892,35.892,0,62.56,1.29024,0.221803,52.9,0.624189
sarp-15-15-A-2,15,15,15,88.049,70.431,0,79.35,4,0.02,8.699,Optimal,8.699,8.699,-6.12607e-14,79.35,1.30976,0.195273,53.7,0.442887
sarp-15-15-B-1,15,15,15,100.615,77.385,0,78.016,3,0.02,22.599,Optimal,22.599,22.599,0,78.016,0.65122,0.0981257,26.7,0.225602
sarp-15-15-B-2,15,15,15,99.07,76.53,0,82.938,4,0.04,16.132,Optimal,16.132,16.132,0,82.938,0.936585,0.135785,38.4,0.297559
sarp-15-15-C-1,15,15,15,275.303,174.057,0,142.186,8,0.05,133.117,Optimal,133.117,133.117,0,142.186,4.16341,0.414723,170.7,0.662013
sarp-15-15-C-2,15,15,15,237.811,153.309,0,151.846,3,0.02,85.965,Optimal,85.965,85.965,0,151.846,2.0561,0.194868,84.3,0.302313
sarp-15-20-A-1,15,20,15,75.586,63.534,0,53.452,4,0.03,22.134,Optimal,22.134,22.134,-1.60509e-14,53.452,0.853659,0.160037,35,0.538876
sarp-15-20-A-2,15,20,15,74.865,63.135,0,54.142,3,0.03,20.723,Optimal,20.723,20.723,0,54.142,0.482927,0.0899183,19.8,0.297968
sarp-15-20-B-1,15,20,15,79.912,65.928,0,66.148,3,0.03,13.764,Optimal,13.764,13.764,0,66.148,0.67561,0.112464,27.7,0.299298
