Instance,SumCol2,SumCol3,SumCol4,Col5_from_csv2,Col6_from_csv2,Col7_from_csv2,Status
ghsarp,,,,,,,
ghsarp-10-5-0,0.02,44.4912,44.4912,4.0,1.9751,57.062,Optimal
ghsarp-10-5-1,0.01,59.1221,59.1221,5.0,0.5144,10.842,Optimal
ghsarp-10-5-2,0.01,46.6807,46.6807,4.0,1.4636,42.924,Optimal
ghsarp-10-5-3,0.02,47.1844,47.1844,4.0,0.9166,23.912,Optimal
ghsarp-10-5-4,0.03,38.0793,38.0793,3.0,2.4592,66.662,Optimal
ghsarp-10-5-5,0.02,45.7343,45.7343,4.0,2.0518,53.376,Optimal
ghsarp-10-5-6,0.01,44.5653,44.5653,4.0,2.0212,52.12,Optimal
ghsarp-10-5-7,0.02,51.9537,51.9537,4.0,1.3587,28.374,Optimal
ghsarp-10-5-8,0.01,61.6263,61.6263,5.0,1.9165,51.244,Optimal
ghsarp-10-5-9,0.02,38.407,38.407,5.0,1.8495,51.914,Optimal
ghsarp-5-10-0,0.01,30.1473,30.1473,3.0,0.5214,14.544,Optimal
ghsarp-5-10-1,0.01,41.7156,41.7156,3.0,0.937,21.334,Optimal
ghsarp-5-10-2,0.0,25.5638,25.5638,2.0,0.9158,23.882,Optimal
ghsarp-5-10-3,0.0,26.6573,26.6573,3.0,0.2497,6.822,Optimal
ghsarp-5-10-4,0.01,15.24,15.24,2.0,1.382,39.578,Optimal
ghsarp-5-10-5,0.02,28.8091,28.8091,3.0,0.8263,20.212,Optimal
ghsarp-5-10-6,0.01,24.5871,24.5871,2.0,0.5167,14.35,Optimal
ghsarp-5-10-7,0.01,28.9297,28.9297,3.0,1.0832,27.326,Optimal
ghsarp-5-10-8,0.02,34.6232,34.6232,3.0,0.4888,9.79,Optimal
ghsarp-5-10-9,0.01,29.7036,29.7036,3.0,0.7429,20.21,Optimal
ghsarp-5-5-0,0.01,21.5742,21.5742,2.0,0.5198,14.478,Optimal
ghsarp-5-5-1,0.01,26.7576,26.7576,3.0,0.8247,20.148,Optimal
ghsarp-5-5-2,0.01,28.4008,28.4008,2.0,1.1502,33.49,Optimal
ghsarp-5-5-3,0.01,15.3968,15.3968,2.0,1.0065,31.018,Optimal
ghsarp-5-5-4,0.0,34.2135,34.2135,3.0,1.1972,32.002,Optimal
ghsarp-5-5-5,0.01,23.0355,23.0355,2.0,0.9275,20.946,Optimal
ghsarp-5-5-6,0.0,26.445,26.445,2.0,0.9563,22.126,Optimal
ghsarp-5-5-7,0.01,9.9033,9.9033,3.0,1.3875,39.804,Optimal
ghsarp-5-5-8,0.01,31.9709,31.9709,3.0,0.8593,24.982,Optimal
ghsarp-5-5-9,0.01,22.3887,22.3887,3.0,0.9632,29.242,Optimal
ghsarp-5-6-0,0.0,34.6021,34.6021,3.0,0.7536,17.232,Optimal
ghsarp-5-6-1,0.0,16.4975,16.4975,3.0,0.5831,13.656,Optimal
ghsarp-5-6-2,0.0,15.0861,15.0861,1.0,1.2884,35.742,Optimal
ghsarp-5-6-3,0.0,25.1421,25.1421,2.0,0.912,20.308,Optimal
ghsarp-5-6-4,0.0,31.9601,31.9601,2.0,1.1855,31.524,Optimal
ghsarp-5-6-5,0.0,30.7989,30.7989,3.0,0.8604,25.026,Optimal
ghsarp-5-6-6,0.0,25.7238,25.7238,2.0,1.0698,26.78,Optimal
ghsarp-5-6-7,0.0,21.1867,21.1867,2.0,1.0931,31.15,Optimal
ghsarp-5-6-8,0.0,31.7758,31.7758,3.0,1.0487,25.914,Optimal
ghsarp-5-6-9,0.01,32.2828,32.2828,3.0,0.4378,11.116,Optimal
ghsarp-5-7-0,0.0,22.2989,22.2989,3.0,1.1253,29.052,Optimal
ghsarp-5-7-1,0.01,19.0777,19.0777,3.0,0.2668,7.524,Optimal
ghsarp-5-7-2,0.01,23.7585,23.7585,3.0,0.9349,24.664,Optimal
ghsarp-5-7-3,0.0,16.9778,16.9778,3.0,0.8115,23.022,Optimal
ghsarp-5-7-4,0.0,17.0453,17.0453,2.0,1.0873,27.494,Optimal
ghsarp-5-7-5,0.0,30.5873,30.5873,3.0,0.5534,12.438,Optimal
ghsarp-5-7-6,0.0,28.4909,28.4909,3.0,0.1988,4.736,Optimal
ghsarp-5-7-7,0.0,31.2129,31.2129,3.0,0.1491,2.696,Optimal
