Instance Name , K
sarp-20-50-A-1,3
sarp-20-50-A-2,5
sarp-20-50-B-1,5
sarp-20-50-B-2,4
sarp-20-50-C-1,7
sarp-20-50-C-2,5
sarp-20-60-A-1,5
sarp-20-60-A-2,7
sarp-20-60-B-1,5
sarp-20-60-B-2,6
sarp-20-60-C-1,5
sarp-20-60-C-2,6
sarp-20-70-A-1,4
sarp-20-70-A-2,4
sarp-20-70-B-1,4
sarp-20-70-B-2,3
sarp-20-70-C-1,7
sarp-20-70-C-2,6
sarp-30-40-A-1,5
sarp-30-40-A-2,5
sarp-30-40-B-1,6
sarp-30-40-B-2,5
sarp-30-40-C-1,5
sarp-30-40-C-2,6
sarp-30-50-A-1,6
sarp-30-50-A-2,6
sarp-30-50-B-1,6
sarp-30-50-B-2,5
sarp-30-50-C-1,5
sarp-30-50-C-2,7
sarp-30-60-A-1,4
sarp-30-60-A-2,5
sarp-30-60-B-1,5
sarp-30-60-B-2,5
sarp-30-60-C-1,7
sarp-30-60-C-2,6
sarp-30-70-A-1,5
sarp-30-70-A-2,5
sarp-30-70-B-1,6
sarp-30-70-B-2,4
sarp-30-70-C-1,6
sarp-30-70-C-2,7
sarp-40-40-A-1,6
sarp-40-40-A-2,7
sarp-40-40-B-1,7
sarp-40-40-B-2,5
sarp-40-40-C-1,9
sarp-40-40-C-2,8
sarp-40-50-A-1,7
sarp-40-50-A-2,7
sarp-40-50-B-1,6
sarp-40-50-B-2,8
sarp-40-50-C-1,9
sarp-40-50-C-2,9
sarp-40-60-A-1,5
sarp-40-60-A-2,7
sarp-40-60-B-1,7
sarp-40-60-B-2,6
sarp-40-60-C-1,9
sarp-40-60-C-2,8
sarp-40-70-A-1,5
sarp-40-70-A-2,7
sarp-40-70-B-1,7
sarp-40-70-B-2,7
sarp-40-70-C-1,10
sarp-40-70-C-2,8
sarp-50-40-A-1,8
sarp-50-40-A-2,6
sarp-50-40-B-1,8
sarp-50-40-B-2,8
sarp-50-40-C-1,8
sarp-50-40-C-2,8
sarp-50-50-A-1,8
sarp-50-50-A-2,8
sarp-50-50-B-1,8
sarp-50-50-B-2,8
sarp-50-50-C-1,10
sarp-50-50-C-2,10
sarp-50-60-A-1,8
sarp-50-60-A-2,8
sarp-50-60-B-1,8
sarp-50-60-B-2,6
sarp-50-60-C-1,10
sarp-50-60-C-2,8
sarp-50-70-A-1,6
sarp-50-70-A-2,6
sarp-50-70-B-1,8
sarp-50-70-B-2,8
sarp-50-70-C-1,10
sarp-50-70-C-2,12
sarp-50-40-C-2,8
sarp-50-40-C-1,8
sarp-50-60-C-2,8
