sarp-30-10-A-1	29	24	 0 1 2 3 4 5 6 7 8 9 10 11 13 16 17 18 19 21 23 24 25 26 27 28 
sarp-30-10-A-2	29	23	 0 1 2 3 4 5 7 8 9 10 11 12 13 14 16 17 19 21 22 24 26 27 28 
sarp-30-10-B-1	29	20	 1 3 4 6 8 9 11 12 13 17 18 19 20 21 22 23 24 26 27 28 
sarp-30-10-B-2	29	24	 0 1 2 3 4 5 6 7 8 10 12 13 14 15 16 17 18 20 21 22 24 25 27 28 
sarp-30-10-C-1	29	22	 0 1 2 3 5 6 8 9 10 11 12 13 14 16 18 19 22 23 24 26 27 28 
sarp-30-10-C-2	29	23	 0 1 3 4 5 6 7 9 12 13 14 15 16 17 18 19 20 21 23 24 26 27 28 
sarp-30-15-A-1	29	25	 0 1 2 3 4 5 7 8 9 10 11 12 13 14 15 16 19 20 21 22 23 24 25 26 27 
sarp-30-15-A-2	29	22	 1 3 4 5 6 7 9 10 11 13 14 15 16 17 19 21 22 23 25 26 27 28 
sarp-30-15-B-1	29	20	 0 1 2 5 8 9 10 11 12 15 17 18 19 20 21 23 24 25 26 28 
sarp-30-15-B-2	29	22	 0 1 2 3 4 5 6 7 8 9 10 13 14 16 17 18 19 21 23 25 26 28 
sarp-30-15-C-1	29	22	 0 1 3 4 5 7 9 10 11 12 13 14 15 16 17 19 20 21 23 25 26 28 
sarp-30-15-C-2	29	21	 0 1 2 5 6 7 8 9 10 12 13 14 15 18 19 20 22 23 24 25 27 
